OBJID,RA,DEC
587730775499407394,00:00:07.62,+15:50:03.2
588015510343188562,00:00:51.56,+00:53:23.9
587727226764001335,00:01:00.19,-09:36:12.4
587730773889581202,00:07:40.42,+14:45:06.7
587727225691177077,00:09:47.97,-10:28:36.5
587727180061147206,00:09:52.94,-09:24:17.3
587727225691177110,00:09:58.47,-10:36:59.9
587727177913794628,00:10:49.70,-11:08:13.0
588015508733820990,00:12:06.09,-00:24:54.8
587727178987733143,00:13:05.54,-10:22:38.5
588015508734017670,00:13:52.45,-00:23:48.2
587731187816136707,00:14:26.23,+01:03:50.9
588015509270954123,00:14:31.89,+00:00:29.8
587731186205524102,00:14:34.70,-00:00:45.0
588290882175697039,00:15:04.13,+16:08:38.3
588290882175762627,00:15:55.69,+16:14:57.9
587730774427435164,00:16:58.28,+15:01:05.0
587731187279593490,00:17:34.47,+00:44:35.0
588015508197671026,00:18:32.54,-00:46:03.3
587727227302838422,00:19:28.08,-09:12:52.4
587730773890826309,00:19:38.79,+14:42:01.2
587727180599066732,00:19:40.24,-08:59:22.3
587727180599132320,00:20:17.07,-09:01:29.6
587731186206179425,00:20:32.95,-00:08:47.0
587727178452303992,00:26:33.61,-10:46:44.8
587727179526111364,00:26:58.10,-09:48:14.8
588015510346137716,00:27:32.17,+00:59:54.6
587724198274400379,00:28:44.83,+14:44:35.7
588015508735721577,00:29:28.42,-00:12:45.4
588015508735721609,00:29:35.59,-00:14:06.6
588015508735983718,00:31:48.96,-00:19:20.4
587727178452959334,00:32:41.19,-10:39:58.2
587727225157124149,00:35:59.88,-10:56:00.0
587727227304738903,00:37:15.66,-09:20:11.6
587724197738512497,00:37:55.67,+14:13:58.2
587724234248159295,00:38:51.51,+16:04:50.6
587724198275449013,00:38:54.22,+14:44:03.0
587727227842003062,00:40:46.48,-08:50:05.1
587727227305197792,00:41:33.41,-09:09:23.4
587727180064620635,00:41:50.17,-09:25:47.5
587727227305263139,00:41:50.47,-09:18:11.3
587727179527815279,00:42:33.99,-09:54:42.2
587727227305394267,00:42:54.69,-09:13:49.5
587724197739036855,00:43:10.19,+14:08:02.7
587724233174876337,00:43:11.82,+15:16:02.2
588015510348169354,00:46:18.43,+01:01:31.8
587727179528404997,00:47:54.12,-09:45:14.0
587724234249404575,00:50:49.14,+15:59:33.7
587727180602474580,00:50:56.05,-08:58:58.4
588015507664470176,00:52:22.20,-01:03:27.8
588015508201472118,00:53:12.56,-00:48:00.4
587727180065996868,00:54:44.99,-09:26:52.2
587727226233028742,00:55:51.89,-09:59:08.4
587731185136304258,00:56:06.29,-00:52:44.9
588015507664928923,00:56:10.67,-01:07:00.9
587731185136304288,00:56:17.02,-00:57:11.8
587727226769965185,00:56:21.88,-09:37:56.3
587724231565705291,00:56:23.01,+13:52:34.8
588015509812543622,00:57:53.27,+00:25:49.5
587727226770096309,00:57:56.52,-09:31:30.9
587727177918971996,00:59:06.88,-10:56:11.9
587727177918972029,00:59:30.08,-10:54:20.0
587727180603392098,00:59:39.22,-08:52:52.4
587724234250715257,01:02:57.91,+15:59:22.6
587724199888748690,01:04:35.80,+15:36:35.0
587724199888814227,01:04:51.24,+15:41:53.2
587727226770882649,01:05:08.38,-09:25:04.4
587727227844690017,01:05:34.80,-08:36:12.7
587724197204721900,01:07:06.47,+13:27:40.9
587731513678692455,01:07:21.93,+00:38:43.2
588015509276721307,01:07:26.81,+00:08:49.7
588015510350528621,01:07:40.54,+01:02:53.0
587731512068210861,01:08:52.24,-00:34:29.9
587724231567081560,01:09:12.34,+13:39:43.0
587731512068341957,01:10:14.26,-00:27:13.9
587724232104018111,01:10:24.52,+14:12:38.8
587727227308408903,01:10:55.23,-09:03:14.7
587724198278922335,01:11:28.47,+14:15:14.3
587724231567605823,01:14:25.02,+13:43:10.0
587731513142608119,01:14:54.25,+00:18:11.8
587724197205573681,01:15:12.59,+13:27:51.4
587731513142673426,01:15:15.78,+00:12:48.5
587727179531354171,01:15:20.75,-09:38:30.8
587731512605868288,01:16:12.79,-00:06:28.4
587724198279446676,01:16:20.68,+14:13:43.5
587724197742641347,01:17:08.05,+13:51:56.2
587727227309129853,01:17:54.20,-08:57:43.4
587731514216743005,01:18:21.20,+01:03:34.7
587727178458071148,01:19:39.47,-10:17:59.4
587724233178808343,01:20:02.00,+14:51:39.8
587724233715810474,01:21:55.54,+15:12:10.3
587724199353843805,01:22:39.19,+14:57:29.4
587724233716400303,01:27:23.31,+15:04:41.4
588015508205273102,01:28:02.13,-00:44:17.9
587724197744148500,01:31:04.76,+13:38:58.8
587727179533189263,01:32:49.03,-09:28:12.9
587724234254057632,01:35:02.60,+15:29:15.8
588015507669188641,01:35:04.77,-01:09:12.1
587727232132513820,01:36:07.65,-08:16:44.0
587727231058903086,01:37:23.42,-09:10:07.2
587724233717448914,01:37:24.45,+14:53:07.2
588015510353739953,01:37:25.41,+00:58:38.4
587731511534616681,01:38:30.89,-00:52:00.2
587724197208326241,01:40:40.41,+12:51:49.3
587727180070977657,01:41:08.32,-08:49:55.3
587727231596429435,01:43:20.70,-08:36:42.8
587724231570751577,01:43:56.53,+13:03:41.3
587731514220019851,01:48:14.19,+01:07:46.8
587731513683411131,01:50:45.47,+00:47:47.8
587724198819987650,01:51:10.24,+13:55:38.3
587724232645345480,01:52:10.96,+13:43:05.0
587727179535351910,01:52:41.02,-09:09:03.4
587731511536124087,01:52:49.23,-01:00:06.1
587731513683673258,01:53:21.17,+00:38:25.2
587727180609421420,01:55:16.90,-08:07:52.5
587724199894188233,01:55:51.08,+14:40:07.5
587731514220937427,01:56:52.19,+01:04:27.9
587724199894319183,01:57:12.97,+14:44:07.6
587731511536976068,02:00:18.30,-00:51:41.6
587724199357841564,02:00:31.83,+14:10:30.7
587727882819534983,02:01:05.94,-09:32:52.6
587731512074043511,02:02:00.25,-00:28:54.7
587724233183395925,02:03:28.88,+13:58:16.4
587724199358300336,02:04:55.76,+14:00:55.4
588015509283078324,02:05:28.24,+00:00:58.0
587731513685049436,02:05:57.03,+00:46:24.0
587731514222051499,02:06:44.61,+01:13:45.7
587727780279484498,02:09:47.29,-09:01:02.5
587727779742613568,02:09:50.74,-09:22:11.3
588015508746731538,02:09:58.60,-00:15:12.5
587724198285344963,02:11:49.09,+13:01:15.8
587727180611256452,02:12:20.71,-07:56:03.6
587727179000643637,02:12:22.46,-09:06:00.2
587724233184510023,02:13:44.08,+13:33:31.8
587727779743138012,02:14:30.00,-09:21:56.3
588015510358327499,02:19:05.36,+00:51:58.9
587727179538563165,02:21:58.95,-08:33:49.6
587727179538759837,02:23:56.51,-08:29:58.7
587724241225580643,02:37:29.53,-08:17:09.5
587727179003920399,02:42:48.69,-08:23:56.6
587724240152625253,02:44:45.71,-09:01:34.3
587727179004182597,02:45:13.27,-08:20:54.2
588015508213727352,02:45:13.77,-00:44:46.0
588015508213727424,02:45:27.01,-00:45:02.7
588015508750860453,02:47:56.35,-00:19:51.4
587724242300895371,02:51:41.58,-07:15:09.1
587731512616419440,02:52:32.24,-00:02:52.2
587727180079628384,03:00:29.84,-07:10:38.0
587731513154535471,03:03:52.91,+00:24:55.0
587731512081121308,03:06:38.46,-00:30:35.9
587727179543543902,03:08:05.38,-07:21:58.6
587731513691996289,03:09:20.06,+00:43:58.5
587727180080808073,03:11:08.25,-06:54:54.9
588015507680002103,03:13:54.84,-01:06:48.1
588015510364881085,03:19:10.25,+00:58:52.5
587727178471178287,03:20:37.17,-07:49:12.2
588015509828403335,03:22:22.55,+00:26:12.9
587731512083087505,03:24:38.13,-00:25:19.3
587731512619958356,03:25:01.55,-00:11:34.6
587724242304630955,03:25:37.39,-06:07:29.6
587727178471702700,03:25:48.16,-07:35:39.4
587731513694027945,03:28:02.62,+00:45:02.4
587727180619579491,03:28:27.51,-05:55:03.4
587731512620351684,03:28:32.00,-00:09:16.7
588015510365929606,03:28:33.19,+01:00:24.1
587724241768480959,03:32:34.45,-06:26:42.7
587731512084005054,03:32:51.33,-00:28:39.3
587727178472554674,03:33:20.85,-07:20:26.9
587731514231816228,03:36:01.59,+01:06:17.1
587724241232003222,03:36:02.09,-06:42:57.8
587724240695197794,03:37:10.36,-07:08:39.0
587724240696443008,03:48:15.74,-06:42:17.5
587727177937911917,03:53:42.67,-07:08:27.7
587727179549311104,04:00:20.11,-05:35:06.9
587724240161931380,04:09:42.20,-06:18:56.0
587738067262046698,07:23:37.01,+41:41:43.9
587737933581582435,07:25:37.12,+41:18:55.2
587737826744140047,07:27:41.68,+39:30:27.7
587737809564074350,07:27:51.83,+39:02:23.6
587737810101338410,07:28:16.98,+40:05:02.7
587737933044842951,07:28:43.93,+41:25:49.2
587737810101469287,07:28:47.63,+40:16:23.5
587737809026941094,07:28:59.04,+38:15:38.7
587738067800555624,07:29:20.08,+45:13:19.7
587737826744402063,07:29:33.58,+39:57:02.1
587737809564598721,07:30:40.97,+40:11:30.5
587737825670201756,07:30:55.72,+38:39:27.9
587737809027596748,07:32:05.69,+39:43:08.3
587737810102125043,07:32:13.16,+41:43:35.4
587737826207924502,07:33:22.72,+40:36:00.3
587725775066628306,07:37:43.84,+39:31:21.3
587732054307701270,07:38:00.26,+23:58:52.3
587727865641632172,07:38:24.65,+31:30:55.6
587728930795487599,07:38:32.52,+29:11:07.9
587728931869884866,07:39:10.59,+31:00:00.3
587738196112310318,07:39:24.04,+47:30:12.6
587738195037782383,07:39:52.06,+45:32:27.6
587737826209169802,07:40:51.04,+43:05:56.5
587738196649836792,07:41:33.09,+48:58:44.6
587725775067480340,07:42:37.46,+41:08:27.3
587728669875700029,07:42:58.81,+34:50:18.5
587725550655308001,07:43:30.15,+39:05:27.0
