OBJID,RA,DEC
587727221413642408,00:00:52.91,+14:24:48.7
587727180060295268,00:01:51.29,-09:24:30.4
587727223561257129,00:01:53.70,+16:08:15.5
587727221413904728,00:03:48.03,+14:20:20.3
587731187278086304,00:04:03.27,+00:38:44.4
587727179523817590,00:05:30.43,-09:57:01.2
587727226764722299,00:08:04.10,-09:36:42.4
587731186741739641,00:08:26.51,+00:22:09.4
587727223025107185,00:09:03.09,+15:38:42.7
587730774963519495,00:09:20.50,+15:32:34.4
588015508196687961,00:09:49.38,-00:41:03.2
587727221951496296,00:10:10.72,+14:47:04.2
587731185131323634,00:10:46.65,-00:53:32.5
587731187815874690,00:12:03.93,+01:06:19.2
587727177913925789,00:12:07.37,-11:12:04.9
588015509270954201,00:14:26.40,+00:06:51.8
587731186205589586,00:15:05.87,-00:00:22.6
587730775501045957,00:15:55.40,+16:00:13.3
587730773353562270,00:15:56.51,+14:11:51.0
588015507660537942,00:16:15.28,-01:12:13.9
587727180061933748,00:17:27.49,-09:34:27.2
587727178451386525,00:17:49.09,-10:47:03.7
587730775501439168,00:19:44.69,+15:51:30.5
588015509271806052,00:22:19.86,+00:00:32.8
587730775501766791,00:22:20.33,+15:56:30.4
588290880565870747,00:22:44.62,+14:56:59.1
587731186743443616,00:24:08.71,+00:22:44.7
587727178989240486,00:27:10.54,-10:19:20.4
587731187817840787,00:30:32.14,+01:10:46.9
588015508199112844,00:31:47.25,-00:43:59.4
587731185133748384,00:32:39.05,-00:55:52.5
588015508736114824,00:33:10.45,-00:21:00.8
587727177916219465,00:33:27.76,-11:06:12.4
588015508736507988,00:36:30.30,-00:17:14.6
587724233711157418,00:37:52.17,+15:36:15.3
587724198275514505,00:39:38.32,+14:39:51.2
587727178990747862,00:40:44.65,-10:17:12.1
587727226231783500,00:44:07.09,-10:03:45.4
587731185671995534,00:45:22.14,-00:26:06.3
587724231564918985,00:49:23.00,+13:56:00.9
587727226232307811,00:49:26.97,-10:06:22.6
587727180065472682,00:49:56.03,-09:26:01.8
588015510348693596,00:50:51.59,+00:51:04.6
588015507664404627,00:51:48.75,-01:08:00.2
587731185135910926,00:52:13.42,-00:56:35.7
