,objid,ra,dec,petroRad_g,group
0,587722981738807434,177.15497546,-1.2128314,7.406617,test
1,587722981740249191,180.45402199,-1.13405986,8.151043,train
2,587722982277513270,181.3133436,-0.75026279,12.069117,train
3,587722982279872662,186.73602934,-0.68326081,6.734304,valid
4,587722982287933622,205.07296866,-0.68261644,5.731065,train
5,587722982288785718,207.09127461,-0.68267987,4.373499,valid
6,587722982290948308,212.00218596,-0.82181131,8.384898,train
7,587722982295863624,223.21327317,-0.73994406,9.843832,valid
8,587722982298615895,229.46393455,-0.67875802,6.068036,train
9,587722982300516593,233.79045618,-0.66389192,11.636387,train
10,587722982808158312,167.06679312,-0.26587805,4.175928,test
11,587722982808748226,168.4778263,-0.2654423,7.35578,train
12,587722982809796673,170.76011979,-0.22877622,5.703665,test
13,587722982812942488,178.05279344,-0.23538013,4.44113,test
14,587722982813925514,180.27133872,-0.32820738,5.758629,valid
15,587722982814449762,181.45421281,-0.31513666,8.324272,train
16,587722982816022623,185.04392798,-0.27029442,5.703716,test
17,587722982818906242,191.57295729,-0.28264858,4.597665,test
18,587722982825001153,205.53341269,-0.27543561,12.598472,valid
19,587722982828605660,213.74052453,-0.34962141,7.90937,test
20,587722982834700468,227.73236532,-0.32354306,8.274836,test
21,587722982836666724,232.22468705,-0.30615307,4.792613,test
22,587722983345553592,168.26833193,0.12342847,6.41885,valid
23,587722983352172680,183.41564661,0.16452347,9.423959,train
24,587722983352172684,183.42229892,0.19650743,10.128953,train
25,587722983365148913,213.09089206,0.07697111,9.226933,test
26,587722983367901477,219.31858464,0.17731686,7.9758,test
27,587722983369408573,222.71914109,0.09450239,7.128902,train
28,587722983373209693,231.41542452,0.00610691,6.115612,train
29,587722983375110182,235.71579943,0.02662637,6.889172,train
30,587722983891861671,189.87360398,0.42281558,7.27656,train
31,587722983891992696,190.1034909,0.58267429,7.240811,valid
32,587722983892517006,191.33231293,0.47065075,6.669463,train
33,587722983892910212,192.20978544,0.49682862,5.372904,test
34,587722983902019858,213.09023813,0.53044097,7.298901,train
35,587722983903985828,217.44493793,0.42414861,10.064745,train
36,587722983906148504,222.50903232,0.57878033,7.70299,train
37,587722983908573308,227.97120048,0.62032883,5.977562,valid
38,587722983909818674,230.81808119,0.55491006,10.601269,train
39,587722983910867088,233.24180117,0.44073263,14.869774,train
40,587722983911063983,233.74931972,0.58793981,7.53768,test
41,587722983911129122,233.78648072,0.49266736,7.480253,train
42,587722983911784770,235.34455639,0.51455395,7.433464,valid
43,587722984418246760,165.83200701,1.03468684,11.439291,valid
44,587722984419295329,168.23234703,0.87345015,5.024574,valid
45,587722984420212833,170.3107896,0.9716316,6.116648,train
46,587722984421982293,174.43995002,0.99049657,10.505583,train
47,587722984422572172,175.77802491,1.02100751,5.504189,test
48,587722984425193574,181.70640902,0.89135978,5.839427,test
49,587722984429584520,191.79664145,0.86043774,8.189149,valid
50,587722984441381170,218.73716002,0.9725589,5.156625,test
51,587724197204721900,16.77698377,13.46136954,8.959903,valid
52,587724197205573681,18.80244027,13.46428533,13.259413,valid
53,587724197208326241,25.16836015,12.86371271,6.734704,train
54,587724197738512497,9.4819762,14.23282767,8.6874,valid
55,587724197739036855,10.79244556,14.13407418,5.284894,train
56,587724197742641347,19.28351674,13.86562986,5.630933,test
57,587724197744148500,22.7698397,13.64967795,7.954751,test
58,587724198274400379,7.18679761,14.74325329,5.483259,test
59,587724198275449013,9.72592242,14.73417829,4.006797,valid
60,587724198278922335,17.86863049,14.25399116,4.377027,train
61,587724198279446676,19.08616502,14.22876475,9.40238,train
62,587724198285344963,32.9545571,13.02105689,13.023702,test
63,587724198819987650,27.7926862,13.9273204,11.956212,test
64,587724199353843805,20.66328679,14.95813973,7.015379,train
65,587724199357841564,30.13262019,14.175208,5.531717,train
66,587724199358300336,31.23233438,14.015381,11.777086,test
67,587724199888748690,16.14917466,15.60974449,3.57009,test
68,587724199888814227,16.2135116,15.69810605,9.505332,valid
69,587724199894188233,28.96282442,14.6687546,3.815498,train
70,587724199894319183,29.30404794,14.73545771,11.543105,test
71,587724231565705291,14.09586986,13.87633372,13.875973,valid
72,587724231567081560,17.30140545,13.66196154,5.731797,valid
73,587724231567605823,18.60424201,13.71944194,7.958715,train
74,587724231570751577,25.98556044,13.06146826,6.924151,test
75,587724232104018111,17.60215877,14.21077049,9.78512,train
76,587724232645345480,28.04564296,13.71805524,9.54252,train
77,587724233174876337,10.79925596,15.26727476,11.458677,train
78,587724233178808343,20.00834041,14.86105302,12.484184,train
79,587724233183395925,30.87034733,13.97123801,9.259665,train
80,587724233184510023,33.43367817,13.55883885,4.613802,train
81,587724233715810474,20.48144067,15.20287293,4.221801,train
82,587724233716400303,21.84713631,15.07818313,7.744169,train
83,587724233717448914,24.35187063,14.8853539,5.046544,valid
84,587724234248159295,9.71463224,16.08072771,7.412447,train
85,587724234249404575,12.70475964,15.99271291,6.578846,test
86,587724234250715257,15.74128096,15.9896144,4.830659,test
87,587724234254057632,23.76079282,15.48773508,11.244799,test
88,587724240152625253,41.19045409,-9.02618512,6.730065,train
89,587724240161931380,62.42585081,-6.31554662,10.51836,train
90,587724240695197794,54.29317388,-7.14415681,6.359781,train
91,587724240696443008,57.06557822,-6.70486848,4.993196,valid
92,587724241225580643,39.3730581,-8.28597184,7.090551,test
93,587724241232003222,54.00870058,-6.7160504,6.13817,train
94,587724241768480959,53.1435429,-6.4451781,6.445129,train
95,587724242300895371,42.92323372,-7.2525353,8.778152,test
96,587724242304630955,51.40581241,-6.12489748,6.154663,train
97,587724648180089001,172.60988009,-3.34272793,5.831985,valid
98,587724648722464836,185.28406727,-3.04464606,8.602789,valid
99,587724649256911057,179.78371815,-2.66515328,8.236656,train
100,587724649263857833,195.58952728,-2.50169735,6.831696,valid
101,587724649263857841,195.59262847,-2.61113555,3.701737,train
102,587724649792012309,175.62894786,-2.25148913,12.338574,valid
103,587724649798566090,190.69305726,-2.10473038,6.574398,train
104,587724649801908416,198.31736201,-2.17855135,5.101739,valid
105,587724650329014315,175.93007315,-1.7767109,4.910651,test
106,587724650330193960,178.6348784,-1.78635985,5.118144,train
107,587724650336092348,192.2259061,-1.68029292,6.693716,test
108,587724650336419980,192.87385613,-1.83852233,6.071301,train
109,587724650338386031,197.32957043,-1.62252833,16.498583,valid
110,587724650867523794,179.75917021,-1.31307917,8.627892,valid
111,587724650873094280,192.47906932,-1.35678788,11.967341,test
112,587725039016017972,175.05058035,-3.5323501,17.474384,valid
113,587725039016607908,176.44431276,-3.54316518,7.85512,train
114,587725039017590848,178.66615934,-3.69645072,10.984294,test
115,587725039019294859,182.55937446,-3.66564657,8.893307,train
116,587725039020933165,186.35872184,-3.70827463,7.892351,train
117,587725039022375062,189.67684662,-3.62190438,7.870545,train
118,587725039556296821,182.87201597,-3.19058737,9.75414,train
119,587725040089235629,173.90054521,-2.69975232,9.154419,train
120,587725040093298701,183.16356111,-2.72125053,5.770515,train
121,587725040097427630,192.65781231,-2.74762373,3.764762,train
122,587725040098738222,195.67855535,-2.70867431,5.271842,train
123,587725040626434159,174.59693866,-2.33576991,7.820333,train
124,587725040636788911,198.38895152,-2.26078242,7.969244,train
125,587725041164091499,176.42566982,-2.03109841,15.68549,train
126,587725041165664404,180.09140347,-2.03132921,8.408187,valid
127,587725041166844075,182.68032391,-1.96692642,8.203393,train
128,587725075529662689,140.87899642,0.52249758,7.68439,train
129,587725075530383596,142.47164921,0.44645873,6.55286,train
130,587725076067844321,143.89049392,0.93730237,6.786179,train
131,587725468523430056,135.05674965,52.58541985,8.037627,train
