,objid,ra,dec,petroRad_g,group
0,587722981739331673,178.36422964,-1.18102425,8.162338,train
1,587722981739331736,178.36218912,-1.13567911,10.270581,train
2,587722981742084144,184.53564653,-1.06411418,22.441891,train
3,587722981742149718,184.70616986,-1.23694027,12.927135,train
4,587722981748048006,198.15411314,-1.1975094,15.592801,train
5,587722982272532664,169.94120276,-0.73579783,8.100131,valid
6,587722982280724639,188.63142788,-0.76511714,13.684395,test
7,587722982290686153,211.3552463,-0.81134372,13.13373,test
8,587722982298616131,229.44368389,-0.77612454,13.616385,train
9,587722982809534568,170.2080072,-0.21143716,11.106834,valid
10,587722982815629407,184.15444263,-0.37780896,9.267891,test
11,587722982817529962,188.53689318,-0.35529603,17.586525,test
12,587722982824214723,203.76895237,-0.30639748,18.370275,train
13,587722982826573968,209.11539304,-0.37312183,9.418146,train
14,587722982827163944,210.54409228,-0.23619206,21.370571,train
15,587722982833062291,224.02348138,-0.26188738,8.483188,valid
16,587722982838501889,236.41371276,-0.28477999,7.970533,train
17,587722982838829513,237.15488174,-0.24384404,10.616036,train
18,587722983345488023,168.16260136,0.06623307,16.810131,valid
19,587722983355842686,191.79984107,0.18780294,10.107216,train
20,587722983360430255,202.20470864,0.04950572,20.44693,valid
21,587722983362134299,206.14034845,0.16491308,6.734646,train
22,587722983364165873,210.81916537,0.12584168,7.555602,train
23,587722983365869710,214.64774986,0.15771696,11.490615,train
24,587722983369998691,224.16413776,0.0499106,10.174184,test
25,587722983370719473,225.74020057,0.14670718,9.027264,test
26,587722983881965739,167.18222649,0.45761776,11.513546,train
27,587722983883276339,170.20181962,0.58058621,15.82801,train
28,587722983891075142,188.06013555,0.55442109,4.072535,valid
29,587722983893434557,193.42038514,0.50787811,10.415726,test
30,587722983897432343,202.59830377,0.49029156,8.681185,train
31,587722983898939610,205.93940569,0.46672518,9.86065,train
32,587722983901954064,212.81851166,0.48943547,11.694255,train
33,587722983905100085,220.12240871,0.58408682,17.216356,train
34,587722983910211819,231.71070643,0.59012997,14.169556,test
35,587722983912309120,236.50253624,0.55685282,7.270939,test
36,587722984419623022,169.05249973,0.99315448,9.915473,test
37,587722984429387955,191.36213295,1.00239438,10.695679,train
38,587722984432730286,198.99882125,0.94173963,10.45975,valid
39,587722984432861243,199.29553874,0.9135623,14.980674,train
40,587722984440529128,216.83485001,1.02586407,29.985897,train
41,587722984446296391,229.93854386,0.87929542,12.649203,train
42,587724197207015534,22.19485268,13.28733574,9.72778,train
43,587724197746311361,27.874673,13.13171921,32.093166,train
44,587724197746704505,28.74116003,13.02534817,10.147326,test
45,587724198276038851,11.17665635,14.70303131,11.080983,train
46,587724198276169809,11.34291848,14.56668441,15.225528,test
47,587724198276890723,13.11633035,14.51833432,25.956926,valid
48,587724198817825040,22.74055139,14.43650785,9.751632,train
49,587724199895564295,32.1040761,14.34956218,21.591854,valid
50,587724231563477157,8.94555592,13.98374942,16.172161,valid
51,587724232101199896,10.88497099,14.342568,34.684746,test
52,587724232102510722,14.00830566,14.23035527,19.287523,train
53,587724232103297136,15.80369525,14.23416019,5.936991,test
54,587724232105525367,21.04705746,13.82021631,8.156256,test
55,587724232638464033,11.83079296,14.70351299,16.768358,train
56,587724232646852733,31.52484646,13.28521705,20.368248,train
57,587724233178284101,18.78474019,14.90093554,11.667809,train
58,587724233179529386,21.78971209,14.77627712,22.052816,test
59,587724233180643460,24.33747518,14.46292626,12.417397,train
60,587724233719218375,28.41579993,14.62382797,8.055635,test
61,587724234249076842,11.87604346,16.1369602,12.697712,test
62,587724240159834294,57.72958643,-7.06062776,20.106247,train
63,587724240160489610,59.24010121,-6.73448267,7.698454,train
