objid,ra,dec,hubble,group
588017703470628879,187.57518,12.323105,E1,valid
587733603732291636,249.15482000000003,36.20042,E1,train
587739407858335813,191.84904,35.352066,E1,train
588010880382599199,209.5583,5.4082932,E1,train
587731512068014123,16.788172,-0.62173855,E1,train
588010879828623384,170.29231,5.363494,E1,test
587736619865407501,248.25674,22.797398,E1,train
587739827669237918,225.51326,21.326948,E1,train
587742645165621263,245.71686,11.371007,E1,valid
587739811572285552,241.14839,16.902995999999998,E1,train
587735663161311290,153.68889,38.981003,E1,test
587733195160485985,196.40178,53.56425,E1,test
587741532784295972,167.67851000000005,28.693142,E1,test
588017702935461925,191.59448,11.876607,E1,test
588016840704196932,116.67274,18.734835,E1,train
587741724967501878,183.52087,24.067392,E1,valid
587742578051186747,180.77959,20.805424,E1,train
587741600422756412,188.28519,26.349361,E1,valid
587736976890200124,247.47241,20.23255,E1,valid
587732482746613920,174.15268,49.06305,E1,train
587742062161494145,221.04828,19.02023,E1,train
588017703476658186,201.6564,11.869513,E1,valid
587739648891158567,163.34323,31.822279,E1,train
587735428542562313,193.99799,48.445454,E1,train
587742575903899704,181.21144,19.247713,E1,train
587735696989028418,218.27548,53.2653,E1,test
588017605232361559,219.17767,39.9436,E1,valid
587748928164724838,175.02669,-0.8377519,E1,train
587742773475868757,158.55585,14.95939,E1,valid
588013383258210462,120.33138999999998,29.179377,E1,train
587731870172315741,185.42299,55.787180000000006,E1,test
587739608627937400,186.30457,32.233771999999995,E1,train
587733399708369014,214.86801,52.135376,E1,test
588018090545447011,243.54514,29.851671000000003,E1,train
587739607547183124,167.71855,30.164968,E1,train
587733605330255918,218.28569,56.2919,E1,train
587742775624990771,162.20741,17.125114,E1,test
587739707957772334,241.4152,18.164352,E1,train
587722983370588250,225.4385,0.00847839,E1,test
588848900977066057,158.71075,0.6763991,E1,train
587735662083178503,142.51485,34.2237,E1,test
587725818037534990,242.40392000000003,53.04121800000001,E1,train
587741708343640073,168.84576,25.939726,E1,train
587725578036445267,263.6909,58.937557,E1,valid
588023046948257873,155.7233,24.606403,E1,test
588017978913783986,239.96504,25.94064,E1,valid
587739719754842189,196.99121,28.710629,E1,train
587739607554326557,186.63686,31.431309,E1,train
588011101035626607,243.76936,43.595512,E1,valid
587738947747315746,155.3654,36.452045,E1,train
587731512081121308,46.66025,-0.50999206,E1,train
587736477059121209,228.58493,8.28872,E1,test
588017721180946549,181.96228,42.571873,E1,train
587739811563503741,221.00055,23.631073,E1,train
587726033338106078,216.1511,2.745145,E1,train
588023720709980230,224.35538,19.596653,E1,test
588848899365601360,156.72746,-0.54149604,E1,valid
587724649803022358,200.82298,-2.1510842,E1,valid
587729158986072504,239.7325,2.8094318,E1,valid
587738411401478200,155.51381,13.769492,E1,train
587725993035432134,246.10207000000003,48.52843,E1,train
588023670779412617,176.75856000000005,20.915176,E1,valid
587739706884030676,241.08147,17.180398999999998,E1,test
587725818557235229,162.20375,66.61014,E1,train
587735666917769270,217.43588,53.82825500000001,E1,test
587742577516281899,185.57866,20.617887,E1,train
588017604165304490,235.16975,32.001755,E1,train
587742774023422053,183.9326,17.154902,E1,train
587736782532050985,239.22868,34.787975,E1,train
587741708881756185,172.00316,26.798056,E1,train
588023048021606445,154.55458000000004,25.046148,E1,train
587735347494125623,167.74983,13.667335500000002,E1,valid
588010358005760023,164.58911,3.657198,E1,train
588018056204058894,255.15913,24.438951,E1,train
587735665841012935,205.73482,55.603886,E1,train
587736524837224628,216.86201,6.3083982,E1,valid
587735742615781394,239.24438,31.909681,E1,valid
587741707806441533,168.1695,25.497961,E1,valid
588017729765703794,193.26556,7.6832595,E1,train
587734892746768454,165.32567,9.286677,E1,train
587742576455516172,216.59686,16.799007,E1,train
587739305288663089,178.99118,36.09280800000001,E1,train
588295840707444777,162.7326,47.026314,E1,train
587729226612015179,229.63535,58.41441999999999,E1,train
587739098066649151,194.73492,37.398174,E1,train
587742576988455031,207.40916,18.647806,E1,test
587733412593008707,212.956,52.81672,E1,test
587739504477863990,206.05882,29.804125,E1,train
588017627242758202,225.8148,37.766136,E1,train
587735429614731364,188.65968,49.607647,E1,test
587729970716868746,225.73087,-2.1863413,E1,train
587735695374614558,203.65446,55.42113000000001,E1,test
587745402542030890,149.53625,14.058652,E1,test
588017978358300686,191.21878,39.597965,E1,train
587742014359076890,188.39928,22.801144,E1,valid
587742013283762234,184.48497,21.927784,E1,valid
587729779050086549,203.46309,-1.2327507,E1,train
587729386619928605,201.56987,58.683292,E1,train
587745538911109277,159.00429,14.956485,E1,train
587732482212692037,184.47517,49.035625,E1,train
588017626701103211,212.51746,41.7558,E1,train
587735347500548187,182.83803,14.244228,E1,train
587729387149852828,170.65831,59.315376,E1,train
588018254833647837,244.30922,34.79907,E1,train
588010880382205986,208.62035,5.443382700000001,E1,valid
587742551227170922,241.44107,11.6709175,E1,test
587739408380264453,150.91762,31.161806,E1,valid
587722982300516593,233.79045,-0.6638919,E1,test
587726031696036009,144.21588,1.1233401,E1,train
587722982278758580,184.2046,-0.7417948000000001,E1,train
587732152568184850,143.2812,41.17379,E1,train
587725590920888382,263.0604,59.870872,E1,test
587732135921451077,178.37743,52.68944499999999,E1,train
587734894364065868,180.78355,11.155653,E1,test
587738947730604401,117.21419,18.107746,E1,train
587735665841012857,205.93756,55.63378,E1,test
587732135918370901,167.13759,51.439407,E1,valid
587729971785629958,214.31787000000003,-1.5892373,E1,valid
587741602572664853,194.47801,27.615911,E1,valid
588010358542630974,164.61338999999995,4.218118,E1,train
587726015610683489,191.15709,2.8590527000000003,E1,train
587742627986014464,217.79424,14.519308,E1,valid
587742552289312865,214.84622,18.601913,E1,valid
587739607561666684,206.04832,29.583263,E1,train
587742551226253592,239.32776,12.257418,E1,train
588017728158695498,201.50362,6.2231317000000015,E1,train
587728309103165709,170.40672,2.6940722000000004,E1,train
588298664651718710,199.38177,47.67665,E1,test
588010879302697044,195.48398,5.0748878,E1,train
587736525908803669,212.01668,7.3276286,E1,train
587744873711861885,122.57832,9.032488,E1,valid
587736813136117776,239.10379,8.943503999999997,E1,test
587738371671326907,124.00272,21.676086,E1,valid
587742190447034449,197.469,24.560467000000006,E1,train
588017625623167135,199.6907,43.235363,E1,train
587741532782395521,162.80421,28.006207,E1,train
587731891116769339,187.47038,57.72549,E1,test
587733399708369046,214.9405,52.1132,E1,test
587732483811705016,146.49498,43.304947,E1,train
587742772950859812,186.70932,16.271729999999998,E1,train
587731187806371940,341.43643,1.0910813999999998,E1,valid
588017991239008529,232.91151,6.679314999999999,E1,train
587734949121425544,135.67221,8.278457000000001,E1,test
587728308566753293,171.39082,2.31808,E1,train
588848900993122486,195.27367,0.7583972,E1,train
587728879262236769,144.31787,3.0901203,E1,train
587729158439895153,218.4094,3.6961553,E1,train
587736915147096094,232.04239,9.872274,E1,train
587736920508399782,245.80746,26.479286,E1,test
588017979424309335,168.31473,39.399963,E1,train
587736898502459802,245.1961,25.99741,E1,train
587725818560118838,179.10455,68.17891,E1,valid
587731186205524102,3.6445882000000007,-0.01250307,E1,test
588015510366388263,53.177715,1.0203285,E1,valid
587735344796860547,137.77321,9.349557,E1,train
588018091615584399,236.22394,35.52881,E1,valid
587739647816237077,160.45265,30.386524,E1,valid
587728881416536113,159.8174,5.4871407,E1,train
588017703476920565,202.33516,11.916115,E1,train
588023668094468210,175.4954,18.731634,E1,train
588017728151748831,185.60712,6.502485,E1,valid
587735236346118208,123.87375,25.553797,E1,test
587735695378284702,216.98979,52.34834,E1,test
587733608548401186,235.25478,47.57377,E1,train
587732482222129297,215.39975,44.70807,E1,train
588017115058143315,226.44711,38.946884,E1,train
587742551219372135,223.67303,16.2267,E1,valid
587726015089869102,227.85587,1.6856490000000002,E1,valid
587732134848757872,182.19684,52.000744,E1,valid
587739608621383698,168.73148999999995,31.154291,E1,test
587732771058417696,189.18971,9.7167,E1,train
587742594695823517,210.05557,16.727634,E1,valid
587739459371204625,217.7437,28.94888,E1,train
587739382595453056,211.47304,33.17085,E1,train
587725589847277640,261.54678,59.308647,E1,test
588017979974942800,209.08733,38.429638,E1,test
587726031722315945,204.33226,1.6817334,E1,train
588013382184141222,120.2217,28.13039,E1,valid
587732153104269438,140.86958,40.758904,E1,train
587736619865407654,248.33954,22.814219,E1,train
588017948274131084,172.01888,41.74593,E1,train
587733442656993337,234.04579,47.011898,E1,train
587745539981181132,150.38521,14.347919,E1,test
587742902866542707,197.61069,16.901651,E1,train
587739132419571750,216.30222,33.473724,E1,valid
588015507669057700,23.553278,-1.1248433999999998,E1,test
587735696980050013,182.49493,58.060246,E1,train
587739153352163630,117.93451,16.523283,E1,train
587741532784492595,168.25716,28.750422,E1,train
587732053774106997,120.4823,29.269793,E1,valid
587733080814780480,191.85097,54.986996,E1,test
587742015421874238,161.43056,21.86712,E1,train
587730845815341325,316.9151,-1.2281955,E1,train
588009372836823138,175.33856,63.07809,E1,train
588007003654914159,241.48372,48.23435,E1,test
587733432463131188,258.24655,22.325436,E1,train
587742550678831251,214.95282000000003,17.492104,E1,valid
587725818029932751,216.65671,64.47114599999999,E1,train
588017702412681493,224.21187,8.831445,E1,valid
588017626700775492,211.62613,41.943787,E1,train
587741533860266179,173.42815,30.26543,E1,test
588016841245720615,125.37524,25.565973,E1,train
587742629591777420,206.5789,17.290306,E1,train
588007004182544612,212.48318,61.688976,E1,train
588017605757501488,183.04181,45.676506,E1,train
587736620394152033,231.05605,33.400166,E1,train
587742014356914200,183.02614,22.81045,E1,train
587734623784272012,141.69583,39.548107,E1,train
587739814243860607,241.79932,18.610102,E1,test
588011097262719074,171.48343,61.22748000000001,E1,valid
587741489291460819,151.77985,25.00018,E1,train
587732703394070723,140.20923,6.085349,E1,train
587741710484701265,152.5868,24.8079,E1,train
587735695375138941,205.63808,54.96145600000001,E1,train
588023670778953872,175.59059,20.87238,E1,train
587729160038187112,190.26083,5.6958413,E1,train
588010360698306730,183.39441,6.082604,E1,test
587724650864705575,173.27408,-1.3695326,E1,train
587739609175949433,215.67056,28.856691,E1,train
588297864712093939,127.02354,30.452145,E1,valid
587731870170480840,177.96844,55.61825,E1,test
587742013298311246,219.73178,18.170134,E1,valid
587741721748308040,190.48663,27.330933,E1,test
588298663574831126,188.64928,47.760105,E1,test
587742013816897728,175.31795,22.15944,E1,test
588013383281541253,186.98505,52.523487,E1,train
587729388225953915,180.97647,60.81857700000001,E1,valid
587739303140196521,176.46732,34.25166,E1,valid
588017979450196262,239.04791,26.770071,E1,valid
588011219140673693,226.31682,55.82786,E1,train
587726014547099808,214.3486,1.6446962,E1,valid
587739652105764976,233.97557,22.766743,E1,test
587745243091173529,150.09872,15.967339,E1,test
587732703397609477,148.27757,6.707756,E1,train
588017978351419530,171.02698,38.85641500000001,E1,test
588017704535982216,168.05298,12.689399,E1,train
587739719760150667,210.49974,26.863976,E1,valid
587741603110125590,196.03319,27.964947,E1,train
588011123039141971,181.3503,61.87532,E1,train
587726032256303295,197.7773,2.0540602,E1,train
587741534393598020,164.13097,29.547434000000006,E1,train
587745541054464075,149.2091,15.058037,E1,train
587731886805615021,116.42951,30.087290000000007,E1,valid
587729158440616025,220.06833,3.5201309000000003,E1,train
