objid,ra,dec,hubble,group
588017703996096547,160.9904,11.70379,SBa,train
588007004186476581,227.44485,57.0002,SBa,train
588010360698961934,184.84267,6.0986786,SBa,train
587738410330292307,161.64565,13.750862,SBa,train
587742864209084513,171.62413,16.863422,SBa,train
587726031719301138,197.38805,1.6730622,SBa,test
587733080271749233,167.73697,53.38777,SBa,valid
587738196660650025,146.28736999999995,68.594574,SBa,train
588017730302771288,193.7619,8.065547,SBa,train
587726015606685723,182.0463,2.8782847,SBa,train
587739609713410096,217.31926,28.821884000000004,SBa,train
587731892188545037,178.74466,58.49361,SBa,train
587739504479109227,209.23332,29.164377,SBa,test
587736584426094619,210.08383,38.915424,SBa,train
587742611345834108,233.84673,12.047592,SBa,valid
587729153595932708,171.37688,63.4463,SBa,valid
587735240099954710,129.38628,28.705193,SBa,train
588009372297723957,164.78749,61.53066999999999,SBa,test
587742628529766517,233.74391,11.750277,SBa,train
587739720308424791,237.59467,18.939274,SBa,train
587728679541604461,183.81601,65.98532,SBa,valid
588010878771068969,207.4116,4.2382817,SBa,test
587734623237111983,119.585266,25.149214,SBa,train
588017947753250860,219.34227,36.567852,SBa,train
587738411940642859,160.91211,14.871856,SBa,train
587738574073757740,209.21255,37.797237,SBa,test
588017726011867141,186.69183,7.919859,SBa,train
587733409915797539,232.43753,42.918648,SBa,test
587729386614489134,177.26682,59.43268000000001,SBa,test
588011125190885402,202.51488,62.511562,SBa,test
587729773682884875,208.0174,-2.2066112,SBa,train
588017702946930712,218.18309,9.89171,SBa,test
587741722289176700,200.73172,26.980738,SBa,test
587739407321006093,190.43562,35.062756,SBa,train
587727944029962369,140.90208,2.1364744,SBa,test
587729158442057733,223.27185,3.331782,SBa,test
587730845814030428,313.86508,-1.225244,SBa,train
587735342654095374,148.7065,9.2710705,SBa,test
587741533329096812,188.46307,30.277473,SBa,train
587741603110977632,198.36229,27.80237,SBa,valid
587738951489486893,191.10915,37.121212,SBa,train
587741722823950350,195.35886,27.885986,SBa,train
587734622171168831,136.49768,35.377373,SBa,train
588297864726642799,164.86397,46.12237,SBa,test
588010358548070424,177.00095,4.4881434,SBa,train
587732483837067338,228.28072000000003,41.26463,SBa,test
587726033334632485,208.23566,2.8142743,SBa,test
587742578050203720,178.33467,20.751709,SBa,test
588017566025842748,183.13469,12.12381,SBa,train
587739506623643665,201.8202,32.030712,SBa,train
587738196650164241,115.95978999999998,49.614204,SBa,test
587739377231462496,126.300285,20.334745,SBa,test
587741532774858770,144.31331,23.590609,SBa,test
587742062142488583,174.45197,22.691284,SBa,train
587742611883032611,234.6324,12.188701,SBa,train
587732772130979887,186.46114,10.459054,SBa,train
587733411526672449,234.17567000000003,43.539318,SBa,train
587739652107665466,238.23344,21.100508,SBa,train
587734623237111914,119.48537,25.160868,SBa,valid
587742775641571449,201.9457,17.778831,SBa,train
587725576426356774,262.00595,57.521824,SBa,train
587741707812143142,182.57605,26.430737,SBa,test
587742062143013024,175.88098,22.725435,SBa,train
587738946683076613,182.70668,39.47281,SBa,train
587734622178312221,155.13225,43.021595,SBa,train
587742014892343326,179.49597,23.124899,SBa,train
588298663047725135,219.23782000000003,41.828114,SBa,valid
587729777445306532,216.79921,-2.2624106,SBa,train
587742616173740156,243.5137,14.282114000000002,SBa,train
587742627446849636,212.38486,14.831834,SBa,valid
587738573536100464,206.98225,37.82633,SBa,test
587722981752438860,208.22693,-1.1146163999999998,SBa,train
588010358539157716,156.6742,3.861925100000001,SBa,train
587742566789414994,165.86105,18.1299,SBa,test
587736940908249166,215.35463,35.27063,SBa,train
587732771595616283,189.99065,10.172468,SBa,train
587745245237149816,146.2379,16.70744,SBa,test
588297865261547571,158.78583999999995,45.084652,SBa,test
587741421633404998,120.7068,15.808276,SBa,test
587741391035760741,144.49165,25.494787,SBa,test
587735044153409625,138.18489,34.925564,SBa,train
587734621627940968,123.193535,26.361776000000006,SBa,valid
587733409915863108,232.65247,42.71716,SBa,valid
587733398643212373,238.22018,40.646713,SBa,valid
587741603109797916,195.20335,28.158340000000006,SBa,valid
587722984440529128,216.83485,1.0258641,SBa,train
