objid,ra,dec,hubble,group
587724648188543033,192.05688,-3.3328447,SBb,train
587731512078893077,41.60486,-0.49865448,SBb,valid
588017948822863950,208.3401,40.36394,SBb,train
587728676861051075,203.04324,62.76773000000001,SBb,test
587731886272413783,123.241356,36.25463,SBb,test
587728679541932159,185.6948,65.84379,SBb,train
587739097249808422,162.10341,34.71141,SBb,train
588017990702858263,234.40091,5.9740148,SBb,train
587742572687917067,176.26616,19.97368,SBb,train
587738951493156928,201.5381,35.934425,SBb,train
588017978361446420,200.485,38.73471,SBb,train
588017603622076464,219.31123,38.45427,SBb,train
587739828749009268,239.63474,17.441457999999994,SBb,train
587729387677679742,137.66528,50.37982,SBb,train
587739379914965160,220.6385,28.726454,SBb,train
587742902325673990,187.91284,16.853904999999994,SBb,train
587731513681772657,24.00065,0.6635328,SBb,valid
587732482748121135,179.32228,49.2831,SBb,valid
587726100950876200,223.42693,3.5825002,SBb,valid
587732469852078148,132.5492,35.07641,SBb,train
587741722824343608,196.44818,27.734138,SBb,test
587735044149084285,128.3464,29.538809000000004,SBb,train
588017979966947360,185.41322,40.84893,SBb,train
587739380460486809,240.75468,20.955925,SBb,valid
588017604139352106,159.78941,41.686676,SBb,train
587739706865877000,197.44786,28.906942,SBb,train
587739096985698342,174.13902,36.41034000000001,SBb,valid
587733604267131173,245.81894,39.919876,SBb,valid
587732156852797482,120.08743,26.613525,SBb,test
587742549599977500,202.6606,18.134607,SBb,train
587739303150026776,203.37093,33.042374,SBb,test
587741721210060891,186.95975,26.993526,SBb,test
587726014005641268,203.85231,1.4105946000000005,SBb,train
588017949361700948,214.09941,39.502193,SBb,train
588023045870256231,145.78564,21.182364,SBb,valid
587736809916203016,217.07677,13.780226999999998,SBb,train
588013384342044771,142.04182,44.66475300000001,SBb,train
587732701776969793,125.54451,3.2680447,SBb,valid
587739381520728095,208.58313,32.929928000000004,SBb,valid
587730022259490897,230.48083,5.062968700000001,SBb,train
587736808840822795,213.13214,13.304742,SBb,valid
587742576453877812,212.82442000000003,17.50645,SBb,train
587731892186513497,170.13055,57.781406,SBb,train
587725469600055395,143.1044,57.48289000000001,SBb,valid
