objid,ra,dec,hubble,group
587725474420097049,161.65356,63.22424,SBc,train
588011217525997677,210.19058,59.328316,SBc,train
587734690886713453,134.71028,6.292994,SBc,valid
587736618792059114,248.60617,21.540905,SBc,train
587739828738916399,216.09558,24.614122,SBc,valid
587739828210958448,236.74535,17.884176,SBc,train
587731511542349882,42.366455,-0.8729911,SBc,train
587739610240843792,192.53632,33.159153,SBc,valid
588010880372244552,185.8428,6.0407233,SBc,train
587734305413529813,330.81665,0.57109374,SBc,test
587739719763558489,218.94058,24.725796,SBc,train
587738946662629527,129.5456,24.895277,SBc,train
587738946131132437,141.8479,30.440815,SBc,valid
587739130806861890,210.42244,33.826817,SBc,train
587737825679048796,128.82275,55.828842,SBc,test
587741602022228046,159.91263999999995,25.322737,SBc,valid
587739131345698890,215.73055,32.850655,SBc,train
588017704554856491,212.1374,11.81623,SBc,train
587732134845677639,171.10263,51.23493,SBc,train
587739157651914755,143.8595,29.812622,SBc,train
587736524837683304,217.98909,6.250407,SBc,valid
587732702866636842,161.87313999999995,7.251064299999999,SBc,test
588017625618382866,184.55357,44.17325,SBc,train
587727942952419348,132.16756,1.0387847,SBc,train
587731874462629960,124.4558,38.79534500000001,SBc,test
587742645164179632,242.61064,12.305677,SBc,train
587739377236181097,136.78441,25.342459,SBc,test
587725577499181249,262.58926,59.63989300000001,SBc,train
587726032799203375,211.5392,2.331116,SBc,test
587739610235666467,178.46278,33.364902,SBc,valid
587732578302689330,143.661,5.8414407,SBc,test
587728880872128554,142.56328,4.144214,SBc,train
587729158433472535,203.66359,4.129957,SBc,valid
587725040092446735,181.19669,-2.7200785,SBc,test
588017702415892488,231.46912000000003,7.819623,SBc,train
587738067810779141,135.09425,64.914375,SBc,test
587738196652982642,121.05483999999998,55.39766,SBc,train
588017978367148044,216.17557,35.26717,SBc,train
587728310178807862,174.72888,3.5808760000000004,SBc,train
588017977802227763,138.76471999999998,29.269976,SBc,test
587739406787018756,198.30606,33.984444,SBc,train
587730022797803649,233.80199,5.0630035000000015,SBc,valid
587742611347210626,237.05266,11.279514,SBc,train
587741817851674654,139.1726,18.963453,SBc,train
587739609160417293,174.3737,32.25246,SBc,test
587742062136786955,160.47058,21.252548,SBc,train
587725816405033006,143.21107,59.744648,SBc,train
587739651033923677,237.77881,20.202505,SBc,valid
587738946665709572,136.22833,28.384304,SBc,valid
588017728151289901,184.49959,6.6541886,SBc,train
587741489832329277,161.45752,27.61979,SBc,test
588017567636258930,182.67441,13.331270000000002,SBc,train
587742062697185376,218.35304,20.005661,SBc,train
587732482197094615,137.19838,37.50158,SBc,valid
587741531720122408,192.7572,28.927965000000004,SBc,train
587731513152766115,41.937046,0.41415563,SBc,valid
587736546309046366,220.42897,5.9527555,SBc,test
587739815851393124,235.67424,22.88149,SBc,valid
587732054318121026,135.06508,40.296753,SBc,train
587729752748982355,258.05685,30.167824,SBc,test
587739608621973526,170.26996,31.252266,SBc,train
587741488762781822,172.42259,28.25982,SBc,train
587729386615865431,183.57536,59.615444,SBc,train
587738946676326440,163.2919,37.424644,SBc,train
587730022258769983,228.80933,5.1898480000000005,SBc,valid
587732135387070608,187.77821,52.41433,SBc,test
587725589310537740,261.03372,58.995068,SBc,train
588017603600056471,153.17886,39.37395,SBc,train
587739098061471762,179.79243,37.7934,SBc,train
587739811021783065,208.94495,25.840368,SBc,train
587728905566093388,123.59176,39.251347,SBc,train
588848900438818878,155.47166,0.2953778,SBc,valid
587736525367869462,202.56529,7.486208,SBc,train
587733411531522132,244.923,36.088226,SBc,train
587742774558195782,178.81975,17.487574,SBc,train
588848898841116701,184.9511,-0.87544525,SBc,train
587730022259753053,231.06943,4.855292,SBc,test
587736813136052491,239.10793,9.055179,SBc,train
588023721247965364,227.13042,19.184343,SBc,train
587742775085760596,156.76645,16.017944,SBc,test
588017726020649012,207.05234,7.394647999999999,SBc,test
587730022259032221,229.46541,5.1077002999999985,SBc,test
587739153356095531,125.88611000000002,21.338093,SBc,train
588017565484056670,171.64185,11.440079,SBc,train
587736585501868153,216.21378,38.253307,SBc,train
587739407317205030,179.86943,34.893448,SBc,valid
587739828736163848,209.20477,25.915903,SBc,valid
587732135380058154,162.2187,50.036655,SBc,train
587739810498347418,240.4036,16.431182999999994,SBc,valid
587741602573058113,195.53282,27.648298,SBc,train
588017704542732354,183.80515,13.184528,SBc,test
587729653427142833,256.76517,31.423704,SBc,test
587736897961656491,236.6884,31.011238,SBc,train
587733441049395265,239.98795,41.47779,SBc,train
588017566019223626,167.6915,11.6115465,SBc,train
587739305297117195,202.65402,34.917393,SBc,train
587742061614333985,196.0451,22.28966,SBc,train
587729158966345769,194.58815,4.885653,SBc,train
588009371220574227,151.19707,57.60163000000001,SBc,train
587738951496171572,209.67014,34.52454,SBc,train
588017704563310828,231.59245,9.396441,SBc,train
587742062151663675,197.29524,22.466335,SBc,valid
587742062698496134,221.35976,19.46572,SBc,test
587742062162280616,222.79109,18.575394,SBc,train
588017978915160212,242.81003,24.225021,SBc,test
587745403078639624,148.80813999999995,14.299301000000002,SBc,train
587735349641478199,167.36435,15.280233,SBc,train
587725816958418968,224.84898,61.047047,SBc,test
587734950204997726,158.16246,12.177873,SBc,train
587726014546706638,213.47792,1.7310374,SBc,valid
587742864204628006,160.9499,15.895148999999998,SBc,train
587739809961148484,239.44902,16.282308999999998,SBc,valid
587742953323954209,185.96136,4.087145,SBc,train
587739609696108637,171.29756,32.25883,SBc,valid
587739809410514985,207.0616,24.777746,SBc,valid
587725576963555379,263.20538,56.901287,SBc,train
588013384350236719,167.94461,52.11743,SBc,train
587739096457674760,199.06746,35.762413,SBc,train
587736525911359607,217.86781,7.063919,SBc,train
587738616488591414,169.39001000000005,36.064053,SBc,train
587739504477470832,204.88896,29.997076,SBc,valid
587739610233700356,173.01181,32.86299,SBc,train
587744638027694333,126.25555,13.537095,SBc,train
587739608102535257,216.2208,27.88349,SBc,valid
588015507661979748,7.386986,-1.0956858,SBc,test
587731869626335353,151.53372,50.240017,SBc,train
588010879308660763,209.09059,4.601693,SBc,train
587736586049552492,242.39574,26.91276,SBc,test
588015510363045948,45.59815,0.9793091,SBc,train
587731520660242805,116.81812,26.95099,SBc,test
588010879841992790,201.04016,5.259718,SBc,train
587739827136954541,235.88197,17.312897,SBc,test
587742627985162310,215.82448,14.79229,SBc,train
588017704532443148,159.69772,12.144014,SBc,train
587738950952878089,191.73367,36.530945,SBc,test
587738409251373097,149.6964,11.3887,SBc,valid
588017703482228913,214.70207,10.843819,SBc,train
