objid,ra,dec,hubble,group
587735695913320507,210.8022,54.348953,Sa,test
588017702391578633,175.24481,11.471134,Sa,train
588009371227258884,180.55087,62.137238,Sa,valid
587738947748626521,159.0677,37.324688,Sa,train
587731869633871916,179.11723,55.125233,Sa,valid
587738569776955447,184.29758,15.323976000000002,Sa,test
587739505005297793,181.01595,31.895788,Sa,train
587732576700399634,162.80971,5.8400197,Sa,valid
587731522281668676,138.06052,44.954853,Sa,test
588011217525669941,208.8169,59.50661,Sa,train
587732484369743913,216.86827,46.146576,Sa,valid
587742189910425622,198.02783,24.09501,Sa,train
587731186195628090,341.10153,-0.16209964,Sa,train
587741603105210388,183.34247,28.510963,Sa,train
588295840177389601,185.9952,48.77947,Sa,train
587741709407158353,143.74,21.705261,Sa,train
587741490912100417,177.01398999999995,30.359331,Sa,valid
587731173306663288,315.2823,-0.19517802,Sa,test
587735697516068872,178.64029,58.36706,Sa,train
587732591714893851,179.04298,60.52251999999999,Sa,valid
587732484348903501,147.1818,44.081425,Sa,test
588009368545984617,135.0844,52.49424000000001,Sa,train
587732470388424740,131.03445,34.717243,Sa,train
587741602032058423,184.96909,27.620995,Sa,train
587731511532847214,20.599072,-0.8752021999999999,Sa,train
588017110216671302,166.15398000000005,45.12519,Sa,test
587741723357282317,186.25195,28.558598,Sa,train
588017724937142430,184.49216,7.185912599999999,Sa,valid
587726100412301389,219.57547,3.4103239000000003,Sa,valid
588848900983357543,173.05608,0.81928366,Sa,train
587735742617616406,243.14676,29.365067,Sa,train
587741489303453815,182.2917,29.176905,Sa,train
588015508750794869,41.86597,-0.2851322,Sa,test
587741816240799826,139.00745,17.58982,Sa,valid
587742190438252630,175.41371,24.800499,Sa,train
587737826754166871,131.08931,58.841984,Sa,train
587741600411549721,159.99138,24.091251,Sa,valid
587736812600426681,241.80414,7.9789910000000015,Sa,train
587734948052336668,146.30998,9.110338,Sa,train
588015508210253889,33.409836,-0.71729046,Sa,train
588017724407545981,201.14653,6.5291185,Sa,train
588023669707440224,181.13547,20.204937,Sa,valid
587732050555961424,141.1572,49.357063,Sa,valid
587741828047175765,166.7132,23.01632,Sa,valid
587729158431637533,199.4944,4.403408,Sa,test
587736803201712190,191.93983,13.76281,Sa,train
587733197844709467,196.51852,55.656048,Sa,train
588015510347710572,10.566157,0.8454906999999999,Sa,test
588023668094533714,175.65114,18.845451,Sa,test
587739407858466990,192.19112,35.332703,Sa,valid
588018056733130844,240.66896,37.359493,Sa,train
587726100413939852,223.2619,3.2960346,Sa,train
587735347499106307,179.44191,14.297416,Sa,train
587742576981508255,190.66348,19.945301,Sa,train
588017948282060879,196.46648,41.721912,Sa,train
587731891111788592,166.40338,56.52493000000001,Sa,train
588017713124605974,216.55083,48.56398,Sa,valid
587741602571878410,192.49113,27.822416,Sa,train
588009365861498889,136.79623,50.712746,Sa,valid
587738574608859290,204.41615,39.15457,Sa,train
587733081348112551,177.66222,55.35386999999999,Sa,valid
588017947213299757,210.81984,38.53049,Sa,train
587741533304062219,126.86048999999998,17.284077,Sa,test
588013382201245790,163.49934,49.659714,Sa,train
587739707954888840,235.02817,20.680605,Sa,valid
587741534402117683,186.61055,31.229342,Sa,train
587737809030152231,116.65712,44.79052,Sa,train
587741421102235727,133.16835,21.422394,Sa,train
587726031697412111,147.34548999999996,1.1454223,Sa,train
587741821063266359,144.28853999999995,19.835945,Sa,train
587744729298239519,138.55315,16.742323000000006,Sa,train
587734947522740233,163.10823,10.547246,Sa,train
588017702413664275,226.3773,8.52435,Sa,train
587741828049403907,172.15042,23.404642000000006,Sa,test
587735342653636749,147.77512,9.008597,Sa,train
587735348037681183,183.52719,14.725802,Sa,valid
588017979954561092,149.92172,35.392803,Sa,train
587732583665893484,164.68713,59.5107,Sa,train
588023670242344990,176.27455,20.437893,Sa,train
587742013829677069,206.63425,20.847517,Sa,train
587738950953795613,194.4487,36.370712,Sa,valid
588018055653228553,224.64995,44.88361,Sa,train
587739504475045936,198.63522,30.705784,Sa,train
587733081348505684,179.02998,55.39075500000001,Sa,train
588017627776876609,218.71991,40.748016,Sa,train
588017977829228547,213.2135,35.71089,Sa,train
588015509812674591,14.703588,0.5872520999999999,Sa,train
587734949124898843,143.51131999999996,9.479202,Sa,train
587739720834941082,213.31705,27.008076000000006,Sa,train
588017604159209500,220.16231,38.63782,Sa,train
587742013270392859,152.05403,18.70709,Sa,train
588015508736966677,10.157717,-0.330676,Sa,train
588017977818153017,181.63849,39.237667,Sa,train
587736812061524121,237.13582,8.587927,Sa,train
587732771596992573,193.22333,9.989241,Sa,test
587739097522241538,173.01,36.697994,Sa,train
587741534391566387,158.91377,28.565805,Sa,train
587729387143757905,146.99347,54.01473000000001,Sa,train
587742576461480147,230.53261,13.92822,Sa,train
588017977289539644,205.52481,37.04121,Sa,train
587748927627722875,174.63863,-1.1844825,Sa,test
587739158731554822,158.62422,35.256767,Sa,valid
587742012732473412,149.75093,17.817133,Sa,train
587731513150734392,37.22794,0.37030742,Sa,test
587741489298604048,169.5695,28.260439,Sa,train
588015508205797426,23.258257,-0.6898257,Sa,train
587732134308610121,170.50938,50.593723,Sa,train
587725551746285647,166.97333999999995,66.60470600000001,Sa,train
587732703396102158,144.84697,6.4016695,Sa,test
587742772953481327,192.97939,16.28284,Sa,train
587741816780095493,144.37923999999995,19.589367000000006,Sa,train
587739720298725419,214.8191,26.298597,Sa,train
587741726578507838,184.58928,25.216766,Sa,train
587732702326685867,154.89603,6.326364,Sa,valid
588018056194162877,235.5645,39.983727,Sa,test
588017991230357545,213.05302000000003,8.661838000000001,Sa,valid
587742190440022050,179.77278,24.988964000000006,Sa,test
587742188826853390,173.42516,23.412731,Sa,test
587728880877174934,154.0854,4.822009,Sa,train
587735664773300283,225.60571,48.87768,Sa,train
587731681193033765,134.42415,43.127476,Sa,train
587741727123570765,205.21317,24.473295,Sa,valid
587732583664582834,159.10698,58.5562,Sa,train
587742774549479605,158.19817,15.860825,Sa,train
588017990686146721,196.06268,9.22346,Sa,train
587725589846753397,260.7056,60.44487,Sa,test
587733605332156611,224.74858,53.92328000000001,Sa,valid
588017566025777287,182.94841,12.143713,Sa,test
587737826216771681,130.49393999999998,57.591923,Sa,test
588010358003269780,158.83751999999996,3.5583916,Sa,valid
587742772949418053,183.2877,16.29695,Sa,train
587729387687575684,174.05122,59.9765,Sa,test
587733608016511091,245.88644,39.121086,Sa,train
587725551205351526,147.73434,62.18571,Sa,train
587733079194009742,154.24456999999995,49.627186,Sa,train
587726031710322821,176.93204,1.8262177,Sa,valid
588017704553939028,210.01851,12.111507,Sa,train
587742189362806808,171.18672,23.614923,Sa,valid
588015508741619729,20.807114,-0.38527453,Sa,train
587742863139209267,180.83536,16.51008,Sa,test
587742903942709270,203.37164,17.47061,Sa,train
587732772126654612,176.452,10.476894,Sa,train
587739459371991131,219.69127000000003,28.505442,Sa,train
587736546313043978,229.53505,5.310651999999998,Sa,train
587742009505874148,121.39209,10.393395,Sa,valid
587725818552385730,140.65906,60.865448,Sa,valid
588017991773520201,227.5767,7.7054462,Sa,train
587732576699023548,159.69487,5.6969066,Sa,train
588017605239439565,236.62495,32.11727,Sa,valid
587722981750276247,203.22969,-1.1594608999999998,Sa,train
587725469052502129,118.31733,39.050137,Sa,test
587739827665109194,215.74628,23.794344,Sa,train
587742576993828978,220.0813,16.685116,Sa,train
587739376702062744,143.24455,27.50008,Sa,train
588013382738837525,165.6455,50.582287,Sa,train
588017978903429204,214.89706,36.140667,Sa,train
587741600961986602,194.21783,26.487719,Sa,train
587741727112101895,176.14381,25.421448,Sa,valid
587737825142440094,130.06462,56.048508,Sa,train
588848899926392842,211.27457,-0.06405437,Sa,train
587736545776238709,229.71916,4.8656955,Sa,train
587738411399053394,149.9827,13.043817,Sa,test
587735348026605686,157.44493,13.018168,Sa,train
587739406246674617,188.7991,34.122223,Sa,valid
