objid,ra,dec,hubble,group
587742062688796700,197.90433,22.915482,Sb,train
587737808501932038,136.88992,60.47945,Sb,train
587732582056525908,170.57455,59.074516,Sb,valid
588017978901528612,209.65825,37.424484,Sb,train
587731870707089488,176.89325,55.967224,Sb,test
587733080273453120,174.20004,54.293545,Sb,valid
587731892191952986,193.84135,58.34409300000001,Sb,valid
587735695367536660,174.84317,56.270664,Sb,valid
587735347503235095,189.23491,14.217347,Sb,test
588018055655784570,231.53313,41.676064,Sb,train
587729778512822322,202.54788,-1.6631314,Sb,train
587734891677614093,175.89444,8.942468,Sb,train
588017724411084892,209.37346,6.096995400000001,Sb,train
587739408380264507,151.02188,31.18546,Sb,test
588010358005039204,162.99178999999995,3.7920625,Sb,train
587741709417906235,170.13252,26.963356,Sb,train
587729778512756836,202.5256,-1.7206008000000002,Sb,train
588010135191093265,133.72527,49.1604,Sb,train
587732577773420642,161.21553,6.596847500000001,Sb,train
587737810106056855,119.257774,49.567356,Sb,train
587732152572313651,154.97885,45.549755,Sb,train
587741600418496520,177.32816,26.121597,Sb,train
587744874789732404,131.4981,12.619895,Sb,train
588017702922748004,161.92282,11.077073,Sb,train
587725552280993849,155.18057,65.17206999999999,Sb,valid
587742863674900556,178.00853,16.809685,Sb,train
587739706884686238,242.5452,16.699606,Sb,train
588295842323628046,181.43163,50.555294,Sb,train
587736916216447050,222.1774,12.457221,Sb,valid
587742593620705411,206.7195,16.272844,Sb,test
587739815313211514,232.50362,23.638414,Sb,test
587732577757888951,125.72197,3.5711951,Sb,train
587741709946060845,148.48485,23.38322,Sb,valid
587741489283006484,132.10272,18.331131,Sb,train
587738570314416219,185.72739,15.821207,Sb,train
588016878289813653,125.68731,24.296926000000006,Sb,train
587739708486254659,222.39926,25.381334,Sb,valid
588017728688816282,186.02303,7.0412784,Sb,train
587741391039168516,152.6163,27.956097,Sb,train
587738951493222479,201.61891,36.010277,Sb,valid
587735696987193373,211.85402,55.10302,Sb,train
587739505550164053,202.4508,31.130144,Sb,test
587728880346202204,167.6023,4.830042400000001,Sb,test
587732484350804039,152.7266,45.950356,Sb,train
587739720288305246,188.17905,29.712383000000006,Sb,test
588017979970289795,195.52048,40.40836,Sb,valid
587739719220854813,204.35345,27.419212,Sb,valid
587729154132803722,171.32936,63.729225,Sb,train
587739405719765020,215.30455,29.993504,Sb,valid
587738946661908667,128.01457,24.010904,Sb,test
587729386068639824,143.48698000000005,51.52905,Sb,train
587729158967918748,198.17662,4.7296752999999985,Sb,train
587738615417208885,176.17334,35.967987,Sb,train
587733441591116099,250.09453,33.67975,Sb,test
587731872849461261,120.87061,33.462395,Sb,train
587736809914106013,212.25966,14.316992,Sb,test
587731892187627604,174.83885,58.268673,Sb,valid
587738066735005889,129.91637,60.96889,Sb,test
587726033317527673,169.07208,2.8888497,Sb,train
587739810493104293,228.56313,20.478655,Sb,train
587733410458042510,244.7275,35.153946000000005,Sb,train
587742953860628494,185.47855,4.4864774,Sb,train
587732769983561874,186.69678,8.884592999999997,Sb,train
588297863116554298,167.12541000000004,45.1308,Sb,valid
587742014346231845,156.85776,20.44761,Sb,train
588017978367148165,216.1458,35.279823,Sb,train
587742627445604489,209.51958,15.31484,Sb,train
587738570318675978,195.68156,15.506751,Sb,test
587733441047625773,235.97958,44.305958,Sb,train
588017115590230192,213.41682000000003,43.866585,Sb,train
587742903405445126,202.33652,17.04769,Sb,valid
587739814778634483,237.36743,21.034119,Sb,test
588013383805239381,142.38382,44.424244,Sb,train
588017991222427786,194.71196,9.653956,Sb,train
588016840710160533,128.48606999999998,26.972658000000006,Sb,train
587739827662356641,208.94308,25.15191,Sb,train
588013382190039133,132.17815,37.218636,Sb,test
587728879806185615,160.46078,4.3307805,Sb,train
588007004165963807,137.5228,54.580307,Sb,train
587741708880773200,169.56128,26.620554,Sb,train
587741708868059215,138.76158,19.6971,Sb,test
587734623237308486,119.946976,25.35696,Sb,train
587727944033304748,148.54453999999996,2.2871943,Sb,test
588017991232848043,218.70357,8.16577,Sb,valid
587742903405379703,202.31857,17.051851,Sb,train
587739707421556887,242.7131,17.057404000000002,Sb,train
587728309103427790,170.99847,2.6918626,Sb,train
587737826757115943,141.14444,63.50626800000001,Sb,valid
587739158194618384,158.51001000000005,34.869503,Sb,test
587731679581372618,133.17356999999998,40.684467,Sb,test
587736543626526740,209.83461,10.139324,Sb,train
587738195576750256,117.53565,50.04531,Sb,valid
588023669168406703,175.8801,19.6278,Sb,test
587733604804198413,246.55927000000003,39.967194,Sb,train
587735661015924822,160.18511999999996,39.074318,Sb,train
587738409251635215,150.26416,11.461418,Sb,train
588017978911752434,235.3441,28.229755,Sb,train
588017704024801570,227.8868,9.612506,Sb,train
587738570322870287,205.59955,14.73913,Sb,train
588010879845924986,210.07675,5.0450673,Sb,train
587742889435922717,244.29845,49.964417,Sb,train
587733608555216924,249.44658,36.114983,Sb,train
587725470132732028,130.3838,51.246296,Sb,valid
587732050557730827,146.19608,51.688698,Sb,train
587736915150766288,240.45714,8.148282,Sb,train
587742953861021802,186.44463,4.509868,Sb,train
587739608089755716,182.7344,31.657576,Sb,train
588017603609755743,182.32295,44.090168,Sb,valid
587742551760502960,233.53262,14.3956375,Sb,valid
587741601490993168,174.12704,26.86079,Sb,train
588017978345062477,153.27422,35.282013,Sb,train
587732053235794483,118.42321,26.492691,Sb,train
588295842859843682,179.21725,50.81699,Sb,train
587741722285309962,190.77231,27.714067,Sb,train
587725470670192770,131.50925,52.533073,Sb,valid
587739721368404061,204.79517,28.959217,Sb,valid
