objid,ra,dec,hubble,group
588017569236910085,189.13628,11.25798,Sc,test
587742575925526661,232.50346,12.989323,Sc,train
588023721784705044,226.86374,19.597755,Sc,train
587736808302182427,209.01418,13.505839000000002,Sc,train
587731870702633034,159.68694,53.50144,Sc,test
587737810650923091,140.08493,64.102974,Sc,train
587739407862661170,203.73863,34.044083,Sc,valid
587733079743856673,202.31754,53.081985,Sc,valid
587732470920249536,120.65218,27.437494,Sc,valid
587732703411372072,180.01318,8.181724,Sc,train
587742628521050166,213.5558,15.622395999999998,Sc,train
588017949357965355,203.20293,41.871834,Sc,valid
587742189381484744,217.32137000000003,20.65453,Sc,train
588017116123431006,202.04187,46.67211500000001,Sc,train
588017704542404760,183.04915,13.246513,Sc,test
587739720303181999,225.67502,23.33362,Sc,train
587741533304193140,127.1291,17.467194,Sc,valid
588023239671349320,139.00735,17.82069,Sc,train
587741723360428130,194.52328,28.242596,Sc,train
588848900453105747,188.11644,0.39063096,Sc,test
587731512610914367,30.549358,-0.13043508,Sc,train
587729751669080067,247.2517,41.28427,Sc,test
587735665840881790,205.41347,55.67056700000001,Sc,train
587735043617259581,140.21967,35.368282,Sc,valid
587732483806003277,132.3183,36.1198,Sc,train
587739295086542906,162.35445,32.772717,Sc,valid
587741603103768670,179.68597,28.289558000000003,Sc,train
587729155743219767,169.61613,65.03219,Sc,test
587732484353753123,162.03878999999995,48.331535,Sc,train
588009370152992879,178.24301,61.21608000000001,Sc,valid
587742014377033948,231.51111,16.323229,Sc,test
587739114173366433,147.67708000000005,30.49283,Sc,valid
587735044151509021,133.58998,32.68086,Sc,train
587729774757085408,208.99791,-1.2617334999999998,Sc,test
587741603100622899,171.56564,27.867123,Sc,valid
587742627449143300,217.63564,14.024393,Sc,train
587730847424512345,313.6351,0.04196954,Sc,test
587739845929926848,240.149,15.685633,Sc,valid
587739607546658825,166.24365,30.027346,Sc,valid
588015507677904953,43.763313,-1.1894639,Sc,train
587738066727534662,114.45592,46.39765,Sc,train
587729776902209721,202.59914,-2.9043548,Sc,train
587731869628432476,158.4494,52.371265,Sc,train
588017979978416210,218.40503,35.966393,Sc,train
587735348016054627,133.29716000000002,9.14816,Sc,train
587742014347477149,159.96866,20.847038,Sc,train
588009367473225802,138.74077,53.38640600000001,Sc,train
588848900976083057,156.42555,0.76302505,Sc,train
587738947220799529,185.26192,39.868423,Sc,train
588017725480632498,199.79755,7.4307666,Sc,test
588010358545252539,170.61424,4.2868010000000005,Sc,valid
587731187282477155,10.9661455,0.8019641,Sc,valid
587725039019950218,184.03554,-3.5701396,Sc,test
587729774754201835,202.4598,-1.4290379,Sc,valid
587742774013657229,160.65178,15.74924,Sc,train
587739646743412797,163.06232,30.057865000000003,Sc,valid
587733442656010331,231.44347,48.491177,Sc,train
587725041164419138,177.21002,-2.032236,Sc,test
587729774217461829,202.71532,-1.7787066000000002,Sc,train
587730023333232703,230.52173,5.854864599999999,Sc,train
588295842855125101,162.64193999999995,48.693466,Sc,test
587741391032942717,137.88301,23.045439,Sc,train
587735346965446792,187.02829,13.9117565,Sc,train
587739457763672193,224.86436,25.58409,Sc,train
587738068342735012,120.760254,56.106735,Sc,train
587732581519392845,169.7011,58.6094,Sc,train
588013383792853159,115.951584,25.86721,Sc,test
588010877692412030,196.22589,3.8244617,Sc,train
587736808842592381,217.30069,12.86089,Sc,test
587744873718415456,137.1799,13.233473000000002,Sc,train
587732577774469219,163.51825,6.7253914,Sc,test
587738947209003170,151.78355,34.988926,Sc,train
588016892784869477,151.6682,38.168873,Sc,test
587739458838790160,228.3661,25.207047,Sc,train
587727944566767883,140.78384,2.486073,Sc,train
587724648180416563,173.4386,-3.4370134,Sc,train
588015510349611150,14.9255085,0.9165958,Sc,train
587736940910280806,220.63521,33.74637,Sc,train
587725469591863635,122.36346,43.934925,Sc,train
588009368550178971,148.53851,58.34097,Sc,train
588017977281871911,183.28593,38.752407,Sc,train
588007004697591851,124.14192,46.069286,Sc,train
587739406265483328,236.42964,22.878628,Sc,valid
587726014542381068,203.52533,1.7544641,Sc,train
587729231983608001,256.88657,36.45104,Sc,test
587736478131945704,226.63531,9.449558,Sc,train
587741816239227130,135.41653,16.473719,Sc,valid
587741601498333274,193.02863,27.026335,Sc,train
587724649256124521,177.98402,-2.6424215,Sc,train
587735665852743716,240.65805,41.29343400000001,Sc,train
588017949895688355,205.91888,41.69581,Sc,train
587733442122940541,240.36586,42.38821,Sc,test
587742015425347644,169.82259,22.882273,Sc,valid
587737809035067446,126.17918,54.22424,Sc,train
588017605232099484,218.49431,40.244385,Sc,valid
587739157658337339,160.28932,34.71695,Sc,train
587726100956578048,236.50546,2.7142339,Sc,train
587725818030850281,220.5075,63.330704,Sc,train
587736542558159048,222.19061,8.100798,Sc,train
587741726575099917,175.85551,25.005444,Sc,train
587738568705179818,188.93251,14.411957,Sc,train
587736941444595860,214.07744,36.21451,Sc,train
588009366399156386,138.48088,52.29087,Sc,valid
587729781201895689,259.1223,29.446255,Sc,train
588848899903520799,159.05954,-0.1590211,Sc,train
588017977839386953,237.971,25.97833,Sc,train
587725502871044114,251.6028,63.417007,Sc,train
587741709416792103,167.23819,26.596138,Sc,train
588017603610345533,184.23276,44.109154,Sc,train
587728668805890394,123.45312,41.649513,Sc,valid
588017571924279380,196.221,13.236879,Sc,valid
587729970177900754,220.82343,-2.7540011000000004,Sc,test
587742549601747101,206.93713,17.71845,Sc,train
587726101482962981,212.47418,4.5765080000000005,Sc,train
587741600960413746,190.30882,26.736128000000004,Sc,train
588017721720176789,189.32277,42.859493,Sc,train
588023722049339476,217.97539,21.93843,Sc,train
587726033342431349,226.12389,2.3330324,Sc,train
587736479464882277,205.28859,12.771521,Sc,train
587736915147751595,233.5831,9.422632,Sc,train
588298661971034203,210.29527,43.58353,Sc,valid
588017991777058857,235.55025,6.6448207,Sc,train
587739827675791368,240.3463,16.218120000000006,Sc,valid
588295841780007086,158.6953,46.97494,Sc,test
588015508751909007,44.298904,-0.22309743,Sc,train
587736963994747036,216.38843,33.848125,Sc,train
587726016684228815,190.78902,3.581217,Sc,train
587732482764832786,231.46413,38.770504,Sc,train
587742190439039004,177.34201000000004,24.938467000000006,Sc,train
587728880341483596,156.88986,4.466768,Sc,train
587728930797781264,118.134895,33.48166,Sc,train
587739132962865231,232.36577000000003,28.309402,Sc,valid
587732134307364963,166.07501000000005,50.034103,Sc,valid
587731520671187078,139.42397,44.038254,Sc,train
587739828212465807,240.17982,16.716265,Sc,train
587742571610243085,166.83778,18.43145,Sc,test
587741727123767450,205.56055,24.302279,Sc,valid
588018252686622849,244.00374,32.848835,Sc,test
587738946132115605,144.24216,31.331306,Sc,valid
587741490891325518,126.56889,17.362436,Sc,train
588015508740964403,19.355705,-0.3402447,Sc,valid
588017979442724899,221.39288,34.699833,Sc,test
587736542024302911,229.04138,6.9515224,Sc,train
587732134301532272,147.85504,44.923687,Sc,train
587736920508399689,245.76239,26.538223,Sc,train
587735490826600590,235.647,37.604073,Sc,valid
588017977812975669,166.60622,37.739067,Sc,train
587725474955198506,153.15344,61.94316,Sc,test
588017704557281316,217.72307,11.236636,Sc,test
587736619867242956,251.93198,20.263432,Sc,valid
588018253759316197,242.54138,35.09448,Sc,train
588009372838133805,181.81522,63.359497,Sc,valid
588017702940246182,202.79192,11.433951,Sc,test
587731679574950133,120.167244,30.401276,Sc,valid
588010878764777610,192.94722,4.5747585,Sc,train
587738409254125621,156.058,12.2249155,Sc,train
588015510355574945,28.525883,0.9505932,Sc,train
588018254304182449,257.35184,22.2146,Sc,valid
587742189380960489,216.16489,21.076826,Sc,train
587722982278496424,183.54716,-0.8315708,Sc,train
588017977272303631,156.2266,35.12748,Sc,test
587728880345546762,166.11003,4.8343277,Sc,train
587726032238674086,157.4214,1.9200245,Sc,train
587739719757725861,204.44583,27.828173,Sc,train
587739719767490750,228.26318,22.042622,Sc,train
587737827291168939,131.09393,59.29411,Sc,train
587726100412760244,220.52638,3.3307521,Sc,train
587726102023635130,221.26015,4.5071483,Sc,train
588010359605887231,140.52586000000002,3.8972704,Sc,valid
588017565489627259,184.6468,11.87041,Sc,train
587739608625119368,178.7588,32.074659999999994,Sc,test
587742611876872416,220.52032000000003,15.104071,Sc,test
587741709956808816,175.19618,27.898628,Sc,train
587745402005487725,150.4525,13.775591,Sc,valid
587731873389478142,126.47464,39.186016,Sc,train
588017116663382118,211.92384,45.25049600000001,Sc,train
587745539446472858,155.4325,14.910919,Sc,train
588018253754335414,231.20526,42.17256,Sc,train
587725550659633284,123.20822,47.44266,Sc,train
587734304345948330,344.7757299999999,-0.29626238,Sc,train
587725491059687609,253.42885,64.08525999999999,Sc,valid
588010878766219439,196.34555,4.6453815,Sc,train
588023669175746698,193.74054,19.681261,Sc,train
587739380991197394,226.9635,27.452007,Sc,train
587732050553077840,133.39938,45.335503,Sc,train
587734303803965482,333.09897,-0.795932,Sc,train
587739115781357763,140.72429,29.329016,Sc,train
587741421099155681,126.46116,18.166697,Sc,train
588297865267445884,177.8195,47.968323,Sc,train
587739610230947959,165.75958,31.973057,Sc,train
588017947742896238,189.36375,41.950172,Sc,valid
587731890580619387,190.44142,57.260345,Sc,test
587730847428182531,322.04868,0.06627329,Sc,test
587729752750031121,259.61438,28.15601,Sc,train
587739845925798123,230.77136,18.787249,Sc,test
587731520661094663,118.32535,28.428581,Sc,train
587725469596713159,133.14844,52.366474,Sc,valid
587738196113621221,117.029,50.11348,Sc,valid
587724649255272543,176.01636000000005,-2.558377,Sc,train
588023670247260206,188.27637,20.755438,Sc,train
587741709402571075,133.25816,18.164055,Sc,train
587742772950335545,185.44463,16.331406,Sc,train
588017729766097053,194.19356,7.796431,Sc,test
587725491062702091,258.65573,57.82729000000001,Sc,valid
587728905565766025,123.11374,38.620476,Sc,train
588010358536274079,150.01358000000005,3.6434345,Sc,train
588010878229545131,196.80832,4.1944504,Sc,train
587739630633418780,226.88533,25.484962,Sc,train
587725993573482673,248.86017,46.678383,Sc,train
587741566588092513,158.4155,28.984089,Sc,test
587724650334716011,188.97807,-1.8538665,Sc,train
587728906635182220,114.80258,31.35156,Sc,train
587726032804774040,224.2862,2.034353,Sc,valid
588298661972345058,214.28415,42.682774,Sc,train
587741725512958094,204.89066,23.123968,Sc,valid
588017112363499684,163.35936,46.45578,Sc,test
587739721898066015,185.86848,30.984465000000004,Sc,test
587739845391876411,237.33461,16.289175,Sc,test
587725980688973968,127.27982,52.03196,Sc,train
587731522818408488,137.3359,45.065517,Sc,valid
587742575914451009,206.69981,17.905241,Sc,train
587728880331129156,133.22913,3.1523297,Sc,train
587731521734050093,116.25284,27.47665,Sc,test
588017603608707154,178.97873,43.94262,Sc,train
587732134847840284,178.8762,51.80742,Sc,train
587725489988894976,256.86694,57.641018,Sc,valid
588017721724174340,201.51337,41.92126,Sc,valid
588017979414872187,142.99109,32.582092,Sc,test
587741421634388352,122.821106,16.93944,Sc,train
587735043078684820,136.41286000000002,33.006855,Sc,test
588015510339256441,351.18597,1.0301045,Sc,train
588023669704622171,174.2898,19.89797,Sc,test
587741386735092358,119.04133,14.260619,Sc,train
587739407867379723,216.0708,31.41507,Sc,valid
587739707951677537,227.61856,23.403944,Sc,train
587729752742232119,247.02606,42.816208,Sc,valid
587731185655218396,332.9511,-0.58340734,Sc,train
587741531718484109,188.50171,29.079088,Sc,valid
587745539435200576,129.6513,9.54562,Sc,test
587739114167468242,133.81993,24.764492,Sc,valid
587732483289907396,196.58344,49.305782,Sc,test
587734621630627994,128.55875,30.249807,Sc,valid
587735349649670299,186.80476,15.979601999999998,Sc,valid
588018252686033082,242.88646,33.79393,Sc,test
588010136263917744,130.58398,48.313812,Sc,train
587726033337123057,213.99509,2.7102988,Sc,train
588848899927834903,214.70859,-0.09380282,Sc,train
587738570852401305,188.26836,16.117539999999998,Sc,train
587733398636855317,221.32921,49.12621,Sc,train
587729227684577303,226.4249,60.797653,Sc,train
587739845392728403,239.19159,15.5908785,Sc,test
587736975809839254,232.6413,27.052954,Sc,train
587729387674140870,129.02358999999998,44.7272,Sc,test
587728307491307654,167.53288,1.5087093,Sc,train
588017604685987975,190.18643,44.815132,Sc,train
588023721247178971,225.21832,19.609512,Sc,train
588007004183658671,217.05656,60.63089,Sc,test
587739827678937316,247.12334,13.263511,Sc,train
587725818023182387,178.57811,67.60112,Sc,train
587745970538414123,241.3847,19.934639,Sc,train
587738952033435755,210.79999,34.684597,Sc,train
587732578300985510,139.79045,5.4442687,Sc,test
587738066196037641,125.03629,56.72645,Sc,train
587724649794240676,180.69637,-2.1556547000000004,Sc,train
587736585513402495,243.61919,25.694088,Sc,test
587736813135462586,237.64632000000003,9.357703,Sc,valid
587725504484540624,258.80328,57.760574,Sc,test
587739459905519717,211.33467,30.81158,Sc,train
587726016694649018,214.53668,3.2520754000000003,Sc,valid
587739375629893821,147.50298,27.9964,Sc,train
587741708328435967,132.67553999999998,17.09277,Sc,train
587734863757639814,155.38414,9.37334,Sc,test
588848900973461606,150.356,0.8332278000000001,Sc,train
587738067812942015,144.06642,68.39936,Sc,test
587728918987014307,225.70955,58.545757,Sc,train
587731869089529987,152.01088,49.9955,Sc,train
587731185124638747,347.3072200000001,-0.94280165,Sc,valid
587732772127834261,179.14926,10.524545,Sc,train
587742190454308998,215.31949,22.041594,Sc,train
587732772114530444,148.37401,8.512795,Sc,valid
587739707413823700,225.12819,23.605932,Sc,valid
587741488757473444,158.89587,26.258463,Sc,test
588023668636188967,187.21524,19.480389,Sc,train
587731514231619699,53.543953,1.1033534,Sc,valid
587728905025159433,116.90061,31.616556,Sc,train
587730021721309294,227.394,4.874753,Sc,train
587734949118804279,129.6405,7.208375999999999,Sc,train
587725039027224738,200.68544,-3.538486,Sc,valid
588016891710799974,151.126,37.065186,Sc,valid
588015509802057817,350.3926,0.44766656,Sc,train
588007005791191198,204.20778,64.54459,Sc,train
587741726042095806,185.68239,24.82048,Sc,test
588015509816213564,22.787191,0.5232020000000001,Sc,valid
587738948820336755,153.12351999999996,36.615257,Sc,test
587733080810782805,175.93832,54.84549000000001,Sc,train
588017704003371110,177.96947,12.791207,Sc,test
587733603182116871,214.44676,55.51627,Sc,train
587742567863418924,166.38058,18.834455,Sc,valid
