objid,ra,dec,petroR90_g,group,hubble
587722981751193901,205.4512332,-1.11215049,5.710853,train,E0
587722982286950556,202.81476067,-0.65272224,7.963961,valid,E0
587722982825001153,205.53341269,-0.27543561,15.578838,valid,E0
587722983367180444,217.6187829,0.17258408,6.894572,valid,E0
587722983906148504,222.50903232,0.57878033,8.733236,train,E0
587722984432402610,198.2280834,1.03597606,15.487199,valid,E0
587722984439611576,214.71573371,0.90133406,8.134744,train,E0
587722984441250004,218.39744082,0.90736115,8.990603,valid,E0
587724648722792624,185.98561308,-3.11722137,9.036441,test,E0
587724648725610650,192.41870639,-2.911856,9.620427,train,E0
587724649255469221,176.38155502,-2.5256504,7.12067,train,E0
587724649263792321,195.51048062,-2.60222667,6.42686,test,E0
587724649266020605,200.60640007,-2.55163086,7.668372,train,E0
587724649797976080,189.2529263,-2.0925931,7.040978,train,E0
587724650336092348,192.2259061,-1.68029292,9.564019,train,E0
587724650337206457,194.65372172,-1.79300847,9.298045,train,E0
587724650339827847,200.63349926,-1.71404874,10.038641,train,E0
587724650864181415,172.11627717,-1.32510673,6.961866,train,E0
587725039019294859,182.55937446,-3.66564657,10.455084,train,E0
587725039020277922,184.89368957,-3.63086976,4.372535,train,E0
587725039560687742,192.87326796,-3.22998037,5.891065,valid,E0
587725039561801815,195.50466686,-3.1235731,8.707161,train,E0
587725040090939564,177.83696608,-2.82760573,6.424821,valid,E0
587725040096247955,189.87115169,-2.894494,7.253794,test,E0
587725040096575543,190.66413322,-2.87830657,9.854802,train,E0
587725074458280018,146.22226241,-0.37590084,6.284972,train,E0
587725469054533945,121.92635365,42.84448756,5.317194,test,E0
587725469594681449,127.92647861,48.98347981,9.462029,test,E0
587725471206080641,128.40378478,51.09971808,7.140094,train,E0
587725473345437851,158.15684604,61.58335687,6.385226,train,E0
587725490525044957,256.4399349,59.26143957,7.818755,train,E0
587725505020887229,258.96571142,59.02343858,5.32655,train,E0
587725505021412017,259.73745716,57.85063405,7.335635,train,E0
587725550144454793,214.97864944,63.16025746,14.701318,train,E0
587725550670250112,156.03656704,63.83569084,9.435906,train,E0
587725551201484857,134.53106748,56.47960842,8.439007,test,E0
587725551207841808,158.94387645,64.93787708,7.971934,valid,E0
587725551731409003,118.64895703,44.15181431,14.797305,train,E0
587725552276144307,136.27346849,58.63213883,5.597971,train,E0
587725552812949701,135.55966361,58.80261816,6.088097,train,E0
587725575885750404,255.91978752,65.5652163,14.36683,train,E0
587725576424194334,259.45954686,62.16738002,7.750411,train,E0
587725576425963691,261.5637509,58.40136597,10.600952,train,E0
587725589311717705,262.34216787,56.31091975,4.959694,train,E0
587725589847212045,261.4745971,59.52563684,6.349774,test,E0
587725816408899636,159.50676096,64.26636122,12.826689,train,E0
587725816949637262,180.05453981,66.8714518,8.658657,test,E0
587725816958812338,226.21790506,60.46007535,4.774568,valid,E0
587725816960647303,232.69923817,57.7553395,8.567955,train,E0
587725817485852810,176.07307766,67.2440251,9.494077,train,E0
587725818021806316,170.74689272,67.20868687,5.247036,valid,E0
587725979616280650,131.02846244,53.37350579,8.973721,train,E0
587725980151644328,126.8645659,50.89396606,9.136477,valid,E0
587725981225910444,126.96813591,52.5035457,9.888609,valid,E0
587725982301552788,130.76844114,56.28929187,5.094232,valid,E0
