objid,ra,dec,petroR90_g,group,hubble
587722982293176496,217.04387462,-0.68460688,16.920734,train,S0
587722982821658818,197.92351693,-0.24661727,14.045776,train,S0
587722982823493798,202.05918781,-0.39533439,10.044973,train,S0
587722982829326530,215.37927941,-0.21312303,14.13959,train,S0
587722982832865628,223.52353051,-0.34454171,9.338167,valid,S0
587722982836535366,231.84856405,-0.2521119,7.061965,test,S0
587722982837059869,233.0154393,-0.26459322,6.596018,test,S0
587722983359840456,200.8834333,0.07180835,8.941888,test,S0
587722983363117214,208.4283156,0.06087678,14.380423,train,S0
587722983889240184,183.85941249,0.52637582,12.519728,train,S0
587722983899856931,208.06235055,0.59475309,9.431787,test,S0
587722983903920399,217.38595772,0.49380755,10.026242,test,S0
587722984432009290,197.38286974,0.85702807,30.940876,valid,S0
587722984440791232,217.30229529,0.85043713,11.067325,test,S0
587724648180547812,173.71735966,-3.31185578,13.979851,train,S0
587724648718860498,177.01456101,-3.06223628,9.414273,train,S0
587724648726986830,195.53616924,-2.94256936,7.799901,test,S0
587724649254617250,174.4747777,-2.60051101,15.196819,valid,S0
587724649255403683,176.23885624,-2.5037448,12.864612,train,S0
587724649794437323,181.27799652,-2.20955184,16.199942,train,S0
587724650872569971,191.30413121,-1.3336391,12.963019,valid,S0
587725039016476731,176.11998612,-3.57085679,15.368635,train,S0
587725039017066617,177.40904705,-3.56906943,18.463543,train,S0
587725040088973450,173.34660272,-2.73797056,12.660337,train,S0
587725040100180082,198.86040623,-2.6756884,16.728691,train,S0
587725040630562889,184.01467966,-2.31089158,8.893752,train,S0
587725041700700283,175.82499255,-1.54644316,15.299683,train,S0
587725074991218943,137.29947804,0.00799842,8.111792,train,S0
587725075526779171,134.25333619,0.50553675,15.776468,valid,S0
587725076067909782,143.9719039,0.87595076,15.764887,valid,S0
587725469052698697,118.60366697,39.3715286,18.243462,train,S0
587725469053944044,120.72330486,41.75399152,6.177799,train,S0
587725469056762056,126.18714254,46.90719277,25.576982,valid,S0
587725469058793627,130.91503487,50.38654391,7.86091,test,S0
587725470134370424,134.64319763,54.03682603,12.741596,valid,S0
587725470673928361,142.26018255,58.35018383,12.075608,train,S0
587725471203852539,123.53649286,47.21287642,10.731132,valid,S0
587725471205490852,127.03065382,50.21748327,8.446733,train,S0
587725471205556327,127.14341999,50.29422241,15.754321,test,S0
587725471207456912,131.86890965,53.57713216,8.098036,train,S0
587725471208767691,135.60581428,55.60923756,14.680529,test,S0
587725472807649357,154.52104904,60.34672129,15.882767,valid,S0
587725491062636831,258.6959556,57.85481053,15.073256,train,S0
587725491062898768,258.85113349,57.35028534,12.701517,valid,S0
587725491596558516,254.20026136,64.36924583,9.909634,test,S0
587725492136771692,260.42940855,57.28459163,18.870934,train,S0
587725504481853663,254.4751894,63.43316943,11.972036,train,S0
587725505021739214,260.2281523,57.09797304,12.033744,train,S0
587725505558806667,261.27853988,56.87832975,21.77198,train,S0
587725550662779002,129.99433426,53.14088543,12.890807,test,S0
587725550675296442,183.15465325,66.83960295,10.569922,train,S0
587725551192113224,115.16367545,39.23329478,43.389622,test,S0
587725551217148067,210.66770923,65.01020627,13.004084,train,S0
587725551217737884,213.52942422,64.29901156,10.340822,valid,S0
587725551730295009,116.7871546,42.07869406,11.333817,train,S0
587725551736258709,128.4059165,53.22807098,12.985593,test,S0
587725551738880214,135.548628,57.67000793,10.902331,train,S0
587725551748382798,178.82937617,67.4025469,16.943762,train,S0
587725552269394252,119.92685994,46.59723076,10.849222,train,S0
587725552269459549,120.19920668,46.69048516,12.669786,train,S0
587725552282304704,162.15801774,66.36204038,54.690453,test,S0
587725552804626744,116.81608628,43.58463298,9.10148,train,S0
587725552806592794,120.13964468,47.50975267,13.20433,valid,S0
587725552821534933,175.16661653,68.12016109,13.407229,train,S0
587725576962310209,261.84122417,59.64380643,13.193994,test,S0
587725577498591551,261.99124776,61.00607817,5.796268,test,S0
587725589308244216,257.71316556,63.85365662,13.235485,train,S0
587725590918660134,260.21282003,64.78866477,11.8644,test,S0
587725773994525001,117.93399178,42.25345213,12.052388,train,S0
587725774530740588,116.4002837,41.19377199,13.401325,train,S0
587725774531592570,117.76624272,42.91536176,8.630937,train,S0
587725774532247753,118.86381026,44.0293433,10.464174,test,S0
587725774534606938,123.11640444,48.6572931,9.516008,train,S0
587725775605530895,117.16689495,43.56159476,20.490925,valid,S0
587725775608611057,122.76734026,49.58357377,14.838119,train,S0
587725816419057730,213.82876385,63.653226,17.357546,test,S0
587725816424235059,233.50954744,56.68570679,37.704063,train,S0
587725816424235062,233.51882011,56.6906051,52.911537,train,S0
587725816427577352,242.0906701,51.10191718,7.661802,train,S0
587725816949178575,177.52475361,66.71657077,12.106894,train,S0
587725816961695856,235.84586171,56.10247858,16.25806,train,S0
587725816963334288,240.07888169,53.34695947,6.950238,train,S0
587725816964513961,242.8092816,51.19238357,15.029449,train,S0
587725817501712619,244.23615953,50.93127886,16.074879,train,S0
587725818017480838,148.84951295,63.17822879,9.698128,train,S0
587725818027376887,203.50816843,66.71042247,10.124643,train,S0
587725818035372217,236.48478807,56.72229682,9.222637,valid,S0
587725818559660057,176.16273353,67.95583162,16.366955,train,S0
587725818562084975,190.83362036,68.04293129,14.977155,train,S0
587725819098824827,190.22419875,68.54726343,13.279605,train,S0
