objid,ra,dec,petroR90_g,group,hubble
587722981752438860,208.22692428,-1.11461639,44.105026,train,SBa
587722982282035453,191.68011227,-0.7103474,12.225821,train,SBa
587722982290686153,211.3552463,-0.81134372,13.066448,train,SBa
587722982291538119,213.302863,-0.75219055,9.074111,train,SBa
587722982300058102,232.82639186,-0.71539577,9.050727,train,SBa
587722982820085889,194.30862799,-0.32953973,9.48743,test,SBa
587722982827622551,211.50593527,-0.31055397,18.796543,valid,SBa
587722982832668754,223.04597024,-0.25610106,14.310637,train,SBa
587722983361609774,204.91911923,0.04017027,10.046169,train,SBa
587722983363248237,208.68604607,0.11512119,19.268953,train,SBa
587722983365738669,214.34239088,0.02369384,15.324406,train,SBa
587722983370981660,226.2977941,0.11729289,9.20271,train,SBa
587722983371506052,227.56457132,0.04029495,10.939178,test,SBa
587722983892648021,191.58247338,0.58030142,10.932428,train,SBa
587722983902544078,214.25699075,0.47706888,15.083599,valid,SBa
587722984440529128,216.83485001,1.02586407,28.863043,valid,SBa
587724648190574744,196.69786582,-3.41507929,9.442519,train,SBa
587724648722989092,186.42043721,-2.95074463,26.43479,test,SBa
587724649254223913,173.59719058,-2.52932595,19.119503,train,SBa
587724649266020472,200.60887479,-2.41827481,20.602861,train,SBa
587724649796206692,185.21599851,-2.08575804,11.673916,valid,SBa
587724650335568060,190.98523288,-1.76992914,8.884045,test,SBa
587724650337271960,194.85971169,-1.78280982,13.429914,train,SBa
587725039016345749,175.78616869,-3.69634178,11.355707,train,SBa
587725039556493362,183.33185652,-3.17941975,11.501048,train,SBa
587725039558197379,187.19904199,-3.22762479,6.545277,test,SBa
587725040089301085,174.09474743,-2.82450791,11.50473,train,SBa
587725040092053716,180.38962444,-2.8582072,9.001752,test,SBa
587725040627220810,176.4836585,-2.30679033,9.590944,test,SBa
587725041167761578,184.8321442,-1.99465624,7.715837,test,SBa
587725041171562645,193.56825659,-2.03455246,10.027388,train,SBa
587725073918132295,138.77628644,-0.71839662,19.013149,test,SBa
587725074456379740,141.99878407,-0.38016418,10.355891,test,SBa
587725471203328190,122.52285667,46.19302939,25.01923,train,SBa
587725471206736027,129.90966228,52.32098655,11.922647,test,SBa
587725471206801501,130.0394623,52.45598823,26.771349,test,SBa
587725471210733719,141.96012725,58.54282936,17.19383,train,SBa
587725471211651227,144.90826035,59.79125674,17.988787,test,SBa
587725474955526255,154.74170553,62.25598844,12.957841,train,SBa
587725490524520682,255.84836027,60.44486358,10.754572,valid,SBa
587725503409684778,255.77830993,59.79122717,13.543468,train,SBa
587725503944655108,253.05988563,63.96081471,16.367456,train,SBa
587725505018658971,255.36757888,63.69111641,18.348511,train,SBa
587725505021280402,259.68219876,58.13511871,25.54545,test,SBa
587725505555398897,255.91452095,64.13428024,14.33848,train,SBa
587725550674509964,178.4735466,66.60789475,9.213425,test,SBa
587725551193227296,116.93030012,41.38637628,12.06831,test,SBa
587725551199322263,128.72213449,52.80429133,10.209982,test,SBa
587725551199780967,129.80401372,53.62351375,18.996586,train,SBa
587725551199977587,130.33523984,53.93865249,19.58466,train,SBa
587725551208104053,160.53954992,65.10153659,8.110388,test,SBa
587725551210790997,174.70804999,66.93798302,15.891195,test,SBa
587725551731736722,119.16819706,44.86980899,13.907682,test,SBa
587725551749300348,184.36699422,67.55897188,15.827987,train,SBa
587725552805740776,118.71613136,45.82250474,12.185896,train,SBa
587725552809738434,126.74501662,53.21244553,14.021804,train,SBa
