objid,ra,dec,petroR90_g,group,hubble
587722981750014126,202.73578379,-1.15253501,11.228204,train,SBb
587722982822379684,199.4982348,-0.29533663,15.150682,valid,SBb
587722982833062291,224.02348138,-0.26188738,9.352686,train,SBb
587722982835290632,229.09723333,-0.28106772,8.919491,test,SBb
587722983358333168,197.42192135,0.0103523,6.917675,test,SBb
587722983366262983,215.59878341,0.18229696,14.933126,train,SBb
587722983372292306,229.36384731,0.11940809,12.399167,train,SBb
587722983374324164,234.03494114,0.09205537,9.973962,train,SBb
587722983898743007,205.56048145,0.47190355,9.048543,train,SBb
587722983899660407,207.5823298,0.54810078,8.226258,train,SBb
587722983904575550,218.83216762,0.47572807,7.224259,train,SBb
587722984429060253,190.60696834,0.94687177,12.802462,train,SBb
587722984433582198,200.84093369,0.92201611,5.57048,train,SBb
587722984438300866,211.61998146,0.8701023,8.589002,train,SBb
587724648184938507,183.71348416,-3.48950268,13.043752,train,SBb
587724648188543033,192.05688405,-3.3328447,40.124928,train,SBb
587724648718139563,175.34098388,-3.05373643,10.123219,valid,SBb
587724648725610658,192.43613277,-2.97402512,16.172054,valid,SBb
587724649255665885,176.86145367,-2.61643326,6.98817,valid,SBb
587724649261301846,189.72160765,-2.69007158,8.14034,train,SBb
587724649793388677,178.83604669,-2.14143765,13.432714,test,SBb
587724649799483512,192.73137618,-2.22927858,9.808437,train,SBb
587725039554134148,177.93200136,-3.20098499,9.142136,train,SBb
587725039563440143,199.20907576,-3.06272545,14.497624,valid,SBb
587725040087990329,170.97262396,-2.71068116,9.634107,train,SBb
587725040089759828,175.03048323,-2.86004942,8.816618,train,SBb
587725040090939486,177.71955006,-2.80463511,9.541487,valid,SBb
587725040097951920,193.8730676,-2.73781564,8.834852,valid,SBb
587725040099328108,196.91219917,-2.79282989,9.633535,test,SBb
587725040627613830,177.28901968,-2.30788025,9.236108,train,SBb
587725040630759592,184.54297573,-2.37614132,7.270945,test,SBb
587725040634232997,192.4910939,-2.3988099,9.431274,test,SBb
587725040635674829,195.78099954,-2.3653287,7.379808,train,SBb
587725041168089234,185.63902455,-2.02551135,9.077396,train,SBb
587725041701486721,177.67382618,-1.45500367,10.367488,valid,SBb
587725074995609782,147.32950414,0.02890341,9.258997,train,SBb
587725469056893023,126.45644744,47.17441721,10.582791,train,SBb
587725469597434070,134.84709351,53.59864203,10.77716,valid,SBb
587725469600055395,143.10440076,57.48289258,20.131433,valid,SBb
587725470129782832,123.82028654,46.0752463,15.911561,train,SBb
587725470135025800,136.47613735,55.03591451,7.215974,valid,SBb
587725471208112379,133.69814233,54.57611475,14.698714,train,SBb
587725491060342986,254.84026211,62.77659352,10.572371,train,SBb
587725491060539609,255.13681474,62.39974807,11.235126,valid,SBb
587725491062309199,257.8893339,58.55253424,12.024031,valid,SBb
587725491598590074,257.91748179,59.99564948,27.593773,train,SBb
587725503947735340,258.53015452,57.47742467,8.001432,train,SBb
587725503948718112,259.59889571,55.35998877,9.502622,train,SBb
587725505019117923,256.15042791,62.73482773,8.478877,train,SBb
587725505555988817,257.24790034,62.89801374,17.022411,train,SBb
587725505559855518,262.39924226,54.4944374,11.132832,valid,SBb
587725550132396180,152.01806534,62.47579183,6.221804,valid,SBb
587725550659633214,123.10700102,47.54257889,14.055228,valid,SBb
587725550660485328,124.78584361,49.12802282,8.141416,test,SBb
587725550672609386,167.95438469,65.81557119,16.205561,test,SBb
587725551197946034,125.57087551,50.38088836,9.286957,valid,SBb
587725551203057809,139.34904169,59.05197285,8.447522,train,SBb
587725551211970634,181.79840592,67.23518273,27.696976,train,SBb
587725551731736880,119.18216851,44.85671324,12.339188,valid,SBb
587725551741501594,144.52459403,61.52772049,7.89887,train,SBb
587725551746875424,170.20782823,66.94582211,7.286624,train,SBb
587725552264675555,112.59570299,37.37518773,15.858709,train,SBb
587725552282239090,161.7310129,66.31476346,7.062922,train,SBb
587725552287678577,193.51670392,67.80070529,10.38513,test,SBb
587725552290889892,211.4536991,65.78722288,14.504731,train,SBb
587725552809410691,125.8155925,52.71321085,6.570135,train,SBb
587725552813539432,137.2208065,59.72257576,13.782194,train,SBb
587725552817602637,153.75180163,65.13992551,26.13545,test,SBb
587725575887519804,258.69810854,61.63518909,12.21661,train,SBb
587725576425177410,260.67131894,60.01069657,21.248589,valid,SBb
587725589310144785,260.41937799,59.73140122,6.957359,train,SBb
587725591457759368,263.89253726,59.88994794,13.141581,valid,SBb
587725774532641069,119.6710711,44.85785178,7.774484,train,SBb
587725775071805655,123.37634982,49.41479951,10.090824,test,SBb
587725775605465446,117.03860932,43.59067606,14.452173,test,SBb
587725775608152312,121.7806521,48.77355045,9.701715,train,SBb
587725816412635238,179.41195681,66.40974182,8.849527,train,SBb
587725816413749420,185.84112401,66.59750194,13.121247,test,SBb
587725816425283711,236.44965044,55.10842569,9.936418,train,SBb
587725816948654095,174.3669329,66.54107247,12.734753,train,SBb
587725816952324231,195.50255577,66.68247272,8.041121,valid,SBb
587725818017874094,150.5790553,63.66356262,9.736566,test,SBb
587725818018726032,154.35585901,64.71651622,20.650066,train,SBb
587725818021216288,167.21813698,66.71799904,11.752707,train,SBb
587725818033012934,229.09389351,60.39269305,8.87994,test,SBb
587725818568376485,223.99273965,62.88343857,8.910062,train,SBb
587725818570801346,232.86776825,59.37148795,6.940277,train,SBb
587725818575388801,244.97292172,51.54651774,21.636398,train,SBb
587725819090174133,143.58760681,62.47567342,6.178024,train,SBb
587725819097907301,184.68875512,68.6024863,13.168085,valid,SBb
587725819109441741,238.62245867,56.69511847,17.352224,train,SBb
587725980690153569,130.05819772,54.16238663,10.542927,test,SBb
587725980690350204,130.80927006,54.46612942,8.380561,train,SBb
587725980691267704,133.12130299,56.11268731,14.490908,train,SBb
587725981763174571,127.373136,53.38528104,8.162107,train,SBb
587725993573679329,249.08091053,46.2451894,11.414547,train,SBb
587725993574662372,250.871185,44.39767211,9.05268,train,SBb
587726013994893363,179.34419314,1.49514959,7.144598,test,SBb
587726014005641268,203.85231315,1.4105946,32.090862,train,SBb
587726014011408563,217.07668061,1.12956917,12.858692,train,SBb
587726014533861447,184.11490841,2.05956688,12.451116,train,SBb
587726014540284092,198.83983315,1.92753015,16.93549,train,SBb
587726014547689624,215.66304565,1.68948308,6.417753,valid,SBb
587726014555160849,232.74150064,1.13227334,9.281642,train,SBb
587726015069421771,181.18666232,2.48587419,7.200474,train,SBb
587726015072567425,188.25571207,2.33457671,8.52315,test,SBb
587726015078334687,201.5087373,2.28066729,11.466991,train,SBb
587726015085478016,217.79562832,1.94776192,9.922114,test,SBb
587726015091835060,232.37531501,1.64952252,4.778038,train,SBb
587726015607013486,182.73336813,2.79457764,10.704633,train,SBb
587726015622807741,218.92462928,2.48075217,16.49402,train,SBb
587726015629361642,233.9292481,1.91085077,8.684633,valid,SBb
587726016145457245,186.33212693,3.28340385,6.485609,train,SBb
587726016150700216,198.40098929,3.15073744,8.575549,test,SBb
587726016151027756,199.14933819,3.06439107,17.975058,train,SBb
587726016152797206,203.10458737,3.06124373,8.67001,train,SBb
587726016153583688,204.96383509,3.03810988,13.729686,train,SBb
587726016159547504,218.65537304,2.88239163,10.059246,test,SBb
587726016685932638,194.55867299,3.53481001,12.79946,valid,SBb
587726016687439969,198.03788706,3.61483259,12.011938,valid,SBb
587726031179219105,190.10625979,1.3258694,7.774093,train,SBb
587726031179808942,191.4607813,1.34095557,8.527707,train,SBb
587726031691514192,133.9486006,0.79428453,14.394646,valid,SBb
587726031694004458,139.69016641,0.92994755,7.375067,valid,SBb
587726031696035891,144.25436927,1.09547822,6.955085,train,SBb
587726031710912518,178.18100485,1.74076835,18.448679,train,SBb
587726031721791515,203.08493757,1.56687098,21.107206,test,SBb
587726032237428888,154.62891071,1.91096957,7.138464,train,SBb
587726032237494415,154.69000416,1.82970408,13.619271,test,SBb
587726032242016326,165.13547998,2.11606197,19.928221,train,SBb
587726032254337132,193.16784475,2.1773685,7.652052,train,SBb
587726032256827533,198.87808098,2.06976709,12.89306,train,SBb
587726032781639783,171.32151796,2.44692185,10.282275,train,SBb
587726032788914313,187.96918398,2.68010161,7.912385,valid,SBb
587726032793043095,197.47440316,2.4775978,6.254841,train,SBb
587726033304944853,140.33783655,2.22647764,10.454475,train,SBb
587726033309335802,150.43730425,2.64313352,6.190966,valid,SBb
587726033319559179,173.69272647,2.92105192,11.553195,train,SBb
587726033329651859,196.83392846,2.99888879,8.095226,valid,SBb
587726033334763705,208.55319142,2.88078142,11.04798,test,SBb
587726033851711632,162.92944514,3.21136245,7.926001,train,SBb
587726033853415591,166.88906142,3.25517449,11.388967,train,SBb
587726033866784923,197.46288252,3.30928727,8.702857,test,SBb
587726033873862912,213.67750359,3.10942471,13.108967,train,SBb
587726100412432418,219.82479121,3.3683527,22.680351,train,SBb
587726100415906014,227.78064916,2.86711572,14.315112,train,SBb
587726100418068586,232.74676036,2.62419715,11.679374,train,SBb
587726100948975663,219.10068119,3.81893229,9.06344,valid,SBb
587726100950876200,223.4269329,3.5825002,44.783524,train,SBb
587726102028288125,231.90675803,3.9415703,9.630827,test,SBb
587726102558408821,216.53495458,5.23793148,26.085396,train,SBb
587727867253555564,115.30950799,34.7396057,8.98793,train,SBb
587727867254931772,117.48231663,37.35320391,9.227779,train,SBb
587727942958514319,146.1081313,1.42936408,9.883674,valid,SBb
587727943490339001,134.64993531,1.53042167,9.208579,train,SBb
587727944029962495,140.95008842,2.11274836,19.166403,train,SBb
587727944566898835,141.00434292,2.47843511,10.109634,train,SBb
587727944567816336,143.17623818,2.53359185,12.115073,train,SBb
587728307485868148,155.06966761,1.20405129,13.87134,train,SBb
587728307490652349,166.05862988,1.34131017,7.3323,train,SBb
587728307492290594,169.83653446,1.42632844,7.891367,train,SBb
587728308023394458,156.61807972,1.65832398,9.33672,test,SBb
587728308027195588,165.38120946,1.75756186,19.799459,train,SBb
587728308027981894,167.15836856,1.87645885,14.514537,train,SBb
587728308032700482,177.930413,1.9912852,11.709195,train,SBb
587728308566819005,171.6055932,2.40444791,11.894635,valid,SBb
587728309101854898,167.38967653,2.74134545,15.896564,valid,SBb
587728309103165553,170.38697326,2.81044035,20.444242,train,SBb
587728309103558836,171.28080747,2.73467325,8.902362,train,SBb
587728309632958631,154.16904858,2.85700198,9.455058,train,SBb
587728309633220661,154.82781654,2.96060481,6.467272,train,SBb
587728309639774260,169.85925272,3.20160047,13.016702,train,SBb
587728310172319822,159.83619832,3.36923282,9.490085,train,SBb
587728665580601572,126.75316003,45.5317569,7.14756,test,SBb
587728666653688002,124.59201096,44.84912003,6.895967,test,SBb
587728668269871147,125.46377763,42.86736987,10.188865,test,SBb
587728669875503547,115.59142787,34.46310192,10.538671,valid,SBb
587728669878059389,119.77733868,39.28245874,4.809251,train,SBb
587728669880877107,125.01057254,44.26404732,12.477274,test,SBb
587728670419190011,127.59411801,47.15633224,10.253668,train,SBb
587728676859281503,194.30060563,63.62828318,12.457295,valid,SBb
587728676860854290,201.93265221,62.76657386,22.039251,test,SBb
587728676861051075,203.04324837,62.76772979,35.3461,train,SBb
587728677391368413,169.66862916,63.45432984,11.26322,valid,SBb
587728677932367984,191.1911343,64.62581178,9.340555,train,SBb
587728678466027678,173.92646242,64.79167273,7.195837,test,SBb
587728679002505414,171.71960162,64.84410424,14.088326,test,SBb
