objid,ra,dec,petroR90_g,group,hubble
587722982280724639,188.63142788,-0.76511714,13.093633,train,SBc
587722982295470273,222.23498477,-0.72718631,10.884791,train,SBc
587722982298484915,229.12461398,-0.65648757,11.360975,valid,SBc
587722982827163823,210.41871851,-0.3954838,11.455392,train,SBc
587722982830113139,217.29079067,-0.351682,14.594813,valid,SBc
587722983371899178,228.41747141,0.16041694,6.594308,train,SBc
587722983374913992,235.39147793,0.18050738,11.061775,train,SBc
587722983898349836,204.66556314,0.54583913,16.998373,valid,SBc
587722983908311395,227.37275621,0.44800555,8.335443,train,SBc
587722984429387955,191.36213295,1.00239438,9.529826,test,SBc
587722984433516760,200.81627632,1.00627641,9.645341,train,SBc
587724648187494529,189.566373,-3.3358484,10.115849,train,SBc
587724648718598371,176.43442159,-2.91125511,9.408824,valid,SBc
587724649262481585,192.50920143,-2.53181189,8.375183,train,SBc
587724649800400936,194.8574267,-2.24845317,8.617782,test,SBc
587724650328227984,174.24011468,-1.68477057,20.361046,valid,SBc
587724650335633529,191.06841971,-1.83294054,8.597667,train,SBc
587724650867130596,178.89264335,-1.35452792,12.145925,train,SBc
587724650876502133,200.17339292,-1.34915409,9.011826,train,SBc
587725039017197738,177.79730777,-3.66946183,8.804887,train,SBc
587725039021195377,186.9092485,-3.65076177,7.668908,valid,SBc
587725039552364715,173.96102011,-3.09570309,10.19114,test,SBc
587725039558721645,188.39316735,-3.19601487,6.297965,train,SBc
587725040089235662,173.94086401,-2.7637798,11.469151,train,SBc
587725040092446735,181.1966868,-2.72007841,27.372335,test,SBc
587725040099328093,196.90146795,-2.82017897,13.237781,train,SBc
587725040628859010,180.1772972,-2.36751401,7.254545,test,SBc
587725041161994328,171.60780935,-1.87800125,14.035248,train,SBc
587725073919115472,140.97498787,-0.68262729,10.482051,test,SBc
587725074988728465,131.60197576,0.02802721,9.258574,valid,SBc
587725469054075169,121.11201108,41.94840399,10.778579,test,SBc
587725469062135920,140.07595696,55.55172764,7.551003,train,SBc
587725469596844209,133.35878968,52.58503299,8.856148,valid,SBc
587725470128406707,121.14744959,43.64974231,8.956074,test,SBc
587725470136991937,142.78534467,57.97987046,10.444566,train,SBc
587725470671241231,134.18645734,54.24292883,6.894162,test,SBc
587725470672879773,139.16853668,56.77225665,15.106716,train,SBc
587725471208243343,134.01784451,54.73686765,8.462433,train,SBc
587725474420097049,161.65355882,63.22423943,58.878494,train,SBc
587725490525503670,257.51362306,58.2719984,7.411614,test,SBc
587725490527863003,260.32395176,53.13794084,15.406113,train,SBc
587725491060473906,254.99843034,62.54164054,9.217996,valid,SBc
587725491597214011,255.57283662,62.86246754,9.021477,train,SBc
587725504483033280,256.81476851,61.03050943,14.398344,train,SBc
587725505021280621,259.45221016,58.05528118,14.657775,test,SBc
587725505555136612,255.27946582,64.67685962,12.178499,train,SBc
587725505557037212,258.91163424,60.63504449,6.880244,train,SBc
587725550144323690,214.28907405,63.30693031,11.018997,valid,SBc
587725550655242458,115.62524219,39.04093162,15.456373,valid,SBc
587725550662320313,129.02425238,52.29718254,7.937622,train,SBc
587725550662385818,129.12194289,52.40799601,9.603155,test,SBc
587725551200895094,132.64433747,55.53974267,14.180745,train,SBc
587725551214461071,196.42268595,66.68446318,7.786528,train,SBc
587725551738683429,134.88973102,57.34189987,11.247193,valid,SBc
587725551749431398,185.37662321,67.61170927,8.591208,train,SBc
587725552284991642,177.29566871,67.7954256,7.522763,valid,SBc
587725552805544305,118.32854705,45.4620244,13.562001,test,SBc
587725552823304369,186.2451323,68.35631699,9.486662,valid,SBc
587725576423080154,257.63120449,64.65406284,8.072577,train,SBc
587725576963555379,263.20536984,56.90128728,15.912053,test,SBc
587725577499181249,262.58927309,59.63989447,20.481277,train,SBc
587725589310537740,261.03371583,58.99506876,26.907867,train,SBc
587725589844590731,257.6201042,65.11984732,13.471114,train,SBc
587725774529298757,114.16033056,38.3226184,12.01877,train,SBc
587725774529823090,114.92491226,39.33333235,8.129749,valid,SBc
587725816405033006,143.21107113,59.74464873,14.08673,test,SBc
587725816424890546,235.2729731,55.65841799,7.594401,train,SBc
587725816942428362,144.72514848,60.83110494,10.414697,train,SBc
587725816954880193,209.45917363,65.01203067,10.897618,train,SBc
587725816958418968,224.84898056,61.04704777,16.968174,train,SBc
587725817482117311,156.16534365,64.60297378,4.985716,train,SBc
587725817483362369,162.45015127,65.70008631,13.251245,valid,SBc
587725817492275444,212.37164581,64.91393178,12.075909,train,SBc
587725817500008683,240.03570455,53.86508452,10.258869,train,SBc
587725818016891082,146.62649808,62.44724908,6.614705,train,SBc
587725818033733689,231.43497271,59.35259913,11.171637,train,SBc
587725818033799331,231.65464611,59.23246853,13.069271,test,SBc
587725818038124833,243.64629023,51.93374768,7.638091,train,SBc
587725818560970859,184.09272397,68.23517683,8.630177,train,SBc
587725819098759258,190.05483984,68.63142545,13.364119,test,SBc
587725980152627399,129.20181559,52.71548222,12.85356,test,SBc
587725980153872527,132.30780559,54.86482335,14.610708,test,SBc
587725980689825923,129.38511262,53.58306083,9.715856,train,SBc
587725981224992901,124.79154587,50.86747431,15.567866,train,SBc
587725981228793960,134.66308316,57.37564894,7.232247,train,SBc
587725992503672951,254.43527811,38.60095233,6.070846,valid,SBc
587725993574138125,249.92756792,45.29615342,11.083365,valid,SBc
587725993575907702,253.0993907,41.91075214,10.742184,train,SBc
587725994647748898,250.75893041,46.09680404,10.322073,valid,SBc
587726014004461708,201.18433371,1.41238377,9.615351,train,SBc
587726014010163358,214.25273551,1.29564426,10.566935,test,SBc
587726014546706638,213.47791362,1.73103741,12.500057,test,SBc
587726014548279538,217.12946499,1.64648668,9.069077,train,SBc
587726014551818594,225.21062862,1.33774533,14.951053,train,SBc
587726015078268950,201.31279648,2.3463691,9.099269,train,SBc
587726015083970902,214.43384317,1.98130786,9.720464,train,SBc
587726015090327890,228.94241103,1.76292381,6.379028,train,SBc
587726015609438243,188.24522779,2.87702758,4.866542,train,SBc
587726016148406440,193.16993791,3.17953801,11.009164,train,SBc
587726016151158981,199.37595457,3.10289789,5.068581,train,SBc
587726016685408470,193.447835,3.70210831,7.784842,train,SBc
587726031168995396,166.72353977,1.24980184,7.260492,valid,SBc
587726031169454205,167.70877303,1.20897018,14.173375,test,SBc
587726031177121931,185.35033577,1.29113594,10.752259,train,SBc
587726031179481239,190.69818568,1.37807295,10.346656,test,SBc
587726031179612330,191.04084909,1.30196799,14.358809,train,SBc
587726031188066455,210.32548662,1.16854915,7.135407,train,SBc
587726031702786236,159.66313967,1.4496069,9.547655,test,SBc
587726031708749844,173.26192251,1.71295201,10.974993,train,SBc
587726031709536393,175.04049484,1.63703163,9.74888,valid,SBc
587726032240246903,160.99329932,1.9358213,19.998842,train,SBc
587726032246014077,174.16655443,2.13620639,10.343613,valid,SBc
587726032260366467,206.97372784,1.9135955,16.29248,train,SBc
587726032784064687,176.96955426,2.56695717,12.247194,valid,SBc
587726032786817127,183.194277,2.64316572,10.770422,valid,SBc
587726032786882666,183.36286619,2.63555883,8.984423,train,SBc
587726032793042979,197.42428415,2.45793736,11.546206,train,SBc
587726032799203375,211.53919315,2.33111594,15.431906,train,SBc
587726033305731179,142.1909217,2.39698853,7.28131,train,SBc
587726033306583232,144.04804659,2.4385677,9.038067,train,SBc
587726033307042207,145.14708628,2.3967624,8.676918,valid,SBc
587726033311301816,154.9071383,2.76412219,8.833783,train,SBc
587726033313136784,159.04679121,2.6735616,7.193065,train,SBc
587726033316216939,166.08006055,2.93439544,9.069331,valid,SBc
587726033321984022,179.26894132,3.0649066,8.007043,test,SBc
587726033326112936,188.8032127,3.00082693,11.007282,train,SBc
587726033333256308,205.08807471,2.78649917,7.220309,train,SBc
587726033333649525,205.92918323,2.91466351,9.169226,test,SBc
587726033857937586,177.25283316,3.34793922,11.826831,train,SBc
587726033872027786,209.40394467,3.23318862,9.829206,test,SBc
587726033872158862,209.72932119,3.25705286,10.12469,train,SBc
587726033872355440,210.13647292,3.24156857,9.718995,test,SBc
587726033873141813,211.97957789,3.17259492,14.659654,train,SBc
587726100409811069,213.82716382,3.59641865,8.253208,train,SBc
587726100949303450,219.78044708,3.73310692,12.339783,test,SBc
587726100950548645,222.67033528,3.58336783,9.298368,valid,SBc
587726100951662762,225.21772803,3.45832869,10.813987,train,SBc
587726102021210289,215.65798843,4.81348101,8.90908,test,SBc
587726102028157171,231.60054196,3.98015423,11.780464,valid,SBc
587726102558343305,216.32670881,5.27231203,10.577495,train,SBc
587727866178961488,114.96120296,32.58424106,8.110314,train,SBc
587727866183745776,122.9311589,41.55498736,18.697086,train,SBc
587727866716094799,114.81732826,33.34478736,7.060338,train,SBc
587727867256701097,120.58786949,40.54397531,11.265217,test,SBc
587727942952419348,132.16755964,1.03878473,25.674715,train,SBc
587727942959759494,148.94561422,1.60186536,8.282489,train,SBc
587727944029896720,140.67040862,2.11154316,9.688528,train,SBc
587727944034353420,150.96844207,2.42613949,13.09572,train,SBc
587728307485081700,153.30024679,1.24706113,7.880314,test,SBc
587728308026540155,163.882551,1.82502491,10.147754,train,SBc
587728308559806521,155.60831606,1.97471277,11.634012,train,SBc
587728308565639405,168.95535758,2.36530608,9.019781,valid,SBc
587728309633745029,156.06367214,2.89395727,11.377626,train,SBc
587728309640167441,170.65691569,3.11932672,13.318324,valid,SBc
587728309642068005,175.03630945,3.11983355,6.171483,train,SBc
587728310176317548,169.01577417,3.50037358,9.327481,valid,SBc
587728310178807862,174.7288891,3.58087616,26.114084,train,SBc
587728669338698008,115.98833459,34.44951647,9.946445,train,SBc
