objid,ra,dec,petroR90_g,group,hubble
587722981750276247,203.22968952,-1.15946091,17.306829,test,Sa
587722982286360744,201.43550299,-0.64696243,10.835892,train,Sa
587722982826573968,209.11539304,-0.37312183,8.241224,valid,Sa
587722982827163944,210.54409228,-0.23619206,22.049648,train,Sa
587722982832669003,223.08321841,-0.22581931,8.697767,valid,Sa
587722982834766073,227.90417504,-0.27293909,13.137946,test,Sa
587722983360430255,202.20470864,0.04950572,16.720652,train,Sa
587722983905100085,220.12240871,0.58408682,15.933392,valid,Sa
587722983905624360,221.26371937,0.52697745,19.960176,test,Sa
587722984432861243,199.29553874,0.9135623,15.577374,train,Sa
587722984438038540,211.01545268,0.89652514,11.439748,valid,Sa
587724648185135182,184.1836749,-3.43028068,13.789053,train,Sa
587724648728690896,199.57533294,-2.85822659,13.263505,train,Sa
587724649793650785,179.36059841,-2.24772719,14.334729,train,Sa
587724649793716442,179.50456654,-2.1772971,16.161713,train,Sa
587724650872373387,190.76253223,-1.28274192,18.521219,train,Sa
587725039022768172,190.49659876,-3.5834198,11.135434,valid,Sa
587725039557410957,185.36091464,-3.21978316,15.544539,test,Sa
587725039561474253,194.77094417,-3.14576093,13.713678,train,Sa
587725040089235580,173.82650884,-2.77406186,14.68623,valid,Sa
587725040626237583,174.20400175,-2.24652307,16.969732,test,Sa
587725040627155041,176.24515562,-2.39650012,12.25459,train,Sa
587725041165271214,179.13220135,-1.88501436,11.690358,train,Sa
587725041168613569,186.80999002,-2.0371564,17.802586,train,Sa
587725469052502129,118.31732764,39.05013609,15.362469,train,Sa
587725469595730039,130.45487714,50.78642666,12.676614,test,Sa
587725470125457836,116.15203472,38.04442,15.023732,train,Sa
587725470673404001,140.6797349,57.51776583,13.387371,valid,Sa
587725470673862874,142.28374137,58.30530892,11.025793,valid,Sa
587725471205556424,127.15633254,50.30031844,6.846684,train,Sa
587725490527142177,259.71244557,54.7531268,9.846301,train,Sa
587725492133560559,255.53699763,64.2058369,7.779387,train,Sa
587725492137558319,261.33769613,55.62192521,9.108196,test,Sa
587725503945965727,255.59343266,61.16655159,10.788197,valid,Sa
587725550674444415,178.08403693,66.54487602,12.927458,train,Sa
587725551205351526,147.73433907,62.18571044,22.379391,train,Sa
587725551218131104,215.22886116,63.94879024,7.605336,valid,Sa
587725551746285647,166.97333948,66.60470609,20.588383,train,Sa
587725551747334340,173.04027752,67.1011461,10.365288,train,Sa
587725575886274642,256.76091911,64.32598594,12.049301,train,Sa
587725589310472470,261.01417363,59.05758103,14.623837,train,Sa
587725589846753397,260.70558418,60.44486956,17.431282,valid,Sa
587725590919053461,260.79013093,63.90790206,12.571686,valid,Sa
587725591459529019,265.56368464,55.98630166,21.518253,valid,Sa
587725591459594503,265.60749749,55.80741874,15.899813,test,Sa
587725774531068215,116.88279363,41.91228495,8.919661,train,Sa
587725775068070062,116.74257278,42.32096626,11.226957,train,Sa
587725775602843958,112.93354174,38.33655618,11.545044,test,Sa
587725816405360811,144.36365954,60.32700993,10.309978,test,Sa
587725816410865782,169.41790809,65.7499696,13.774734,valid,Sa
587725817499484281,238.76041113,54.72669015,9.997325,train,Sa
587725818020954254,165.91869794,66.56955295,9.20279,train,Sa
587725818024362139,185.73585636,67.76043264,14.427529,train,Sa
587725818031112323,221.95969648,63.09253536,8.955791,train,Sa
587725818031505629,223.31524723,62.44057607,8.308134,train,Sa
587725818036551896,239.98910622,54.81994836,11.580487,train,Sa
587725818552385730,140.65906156,60.8654496,21.305931,valid,Sa
587725818557825112,165.32172045,67.10636792,17.971046,train,Sa
587725819100332196,199.60169518,67.95374941,13.918491,valid,Sa
587725993037922592,250.64498891,43.90499187,12.08281,train,Sa
587725993572827442,247.64109797,47.89631585,6.224966,valid,Sa
587726014010228938,214.33315346,1.17350798,8.930199,train,Sa
587726015077810368,200.27613948,2.28292443,12.263581,test,Sa
587726015080628399,206.73826398,2.11449172,14.191684,train,Sa
587726015084298375,215.17095899,1.99190363,10.982702,valid,Sa
587726015608455304,186.05473205,2.83436285,14.769076,train,Sa
587726015608783043,186.835345,2.72876828,6.287047,train,Sa
587726015620972649,214.64205718,2.4539391,13.916903,train,Sa
587726016145653902,186.88011722,3.25972177,13.990849,train,Sa
587726016150896791,198.78511722,3.21858211,10.875163,train,Sa
587726016156991665,212.73247307,2.85234082,13.453274,train,Sa
587726016164659596,230.33363416,2.52661824,11.410445,train,Sa
587726031174762518,179.85257042,1.43406203,14.494769,train,Sa
587726031695970407,144.14734928,1.11660866,15.59489,test,Sa
587726031697412111,147.34548741,1.14542231,11.98982,train,Sa
587726031701540990,156.78155804,1.49291571,20.079771,valid,Sa
587726031710322821,176.93203645,1.82621763,23.977318,train,Sa
587726031711830176,180.41565931,1.79837145,10.881287,train,Sa
587726031712878820,182.78701838,1.73928143,9.507544,train,Sa
587726031713992776,185.26734402,1.74461688,12.184273,train,Sa
587726031722184751,203.99410016,1.73006269,20.01812,valid,Sa
587726031731228873,224.66435896,1.28264949,14.076462,train,Sa
587726032240640139,161.88167528,2.07915791,10.268822,train,Sa
587726032765059337,133.41969201,1.56350665,10.983005,train,Sa
587726032775086189,156.3889208,2.3176957,10.617488,train,Sa
587726033321394204,177.9374612,3.09579938,10.308956,train,Sa
587726033334435979,207.76624831,2.73298718,12.31168,train,Sa
587726033843978455,145.31510394,2.82095618,19.617922,train,Sa
587726033846665306,151.39575445,3.05361101,17.054302,train,Sa
587726033857347721,175.8694945,3.388666,18.598812,train,Sa
587726033861935246,186.38329799,3.43788663,11.521339,train,Sa
587726033870913752,206.91018622,3.33413748,14.355412,train,Sa
587726100412301389,219.57547213,3.41032397,16.310812,train,Sa
587726100413939852,223.26189467,3.29603448,23.216387,train,Sa
587726100419641399,236.25146555,2.46799746,20.573601,test,Sa
587726100956119395,235.49696222,2.92481254,14.384684,train,Sa
587726102021865578,217.26277478,4.67839323,17.584352,train,Sa
587727865646612801,122.97696911,40.81289617,10.842877,train,Sa
587727942422233221,147.45675509,1.09257086,13.026974,train,Sa
587727942955237592,138.63567168,1.23729649,10.584297,train,Sa
587727943497416886,150.80630933,1.89534262,10.920795,test,Sa
587727944564015408,134.40439431,2.23945194,11.383707,valid,Sa
587727944568144055,143.79818836,2.57208463,15.010503,train,Sa
587728309641412839,173.60391,3.25040285,7.780316,test,Sa
587728669344399595,126.17535126,44.82587264,10.19151,train,Sa
587728669877403985,118.54389852,38.11510694,5.985777,train,Sa
587728669882188072,127.87003657,46.62471512,10.87737,train,Sa
587728679002505367,171.49118998,64.94349719,13.894367,train,Sa
587728679540359300,176.71995306,65.72445492,12.537484,test,Sa
587728879271280754,164.93560133,3.98505935,12.069534,train,Sa
587728879803629771,154.63319329,4.1041785,9.561946,train,Sa
587728880870228124,138.21109634,3.85615798,12.786935,train,Sa
587728880877174934,154.08540681,4.82200924,21.84444,train,Sa
587728880878682247,157.51993866,5.04753078,20.561203,valid,Sa
587728881413324877,152.44283685,5.17293465,20.049778,test,Sa
587728881419812962,167.29973208,5.67599146,8.957639,valid,Sa
587728931333276044,115.62079204,31.0988392,12.948526,test,Sa
587728931339698215,127.21731046,42.52189529,12.847423,test,Sa
587728932418486508,138.84324106,51.05037989,15.498483,train,Sa
587728947975946358,154.85190347,-0.69875791,6.952865,train,Sa
587729154669740167,171.48498855,64.33145086,13.052742,train,Sa
587729155208970351,183.99851854,65.21927161,20.940462,valid,Sa
587729155210019010,189.64867741,65.26662809,7.542094,train,Sa
587729157903351980,219.16047538,3.19346218,12.454943,train,Sa
587729157905186897,223.34748446,2.96654,13.204211,train,Sa
587729158431637533,199.4944004,4.40340825,28.435511,test,Sa
587729158440026208,218.71095433,3.64515806,12.373718,valid,Sa
587729158444875976,229.74481532,3.00727627,12.457146,test,Sa
587729158448152901,237.26655416,2.5283541,13.018188,test,Sa
587729158978273413,221.81501697,3.82789912,9.998375,valid,Sa
587729159508852867,207.47183745,4.8914693,11.919258,train,Sa
587729160053457118,225.19729255,4.64168497,15.24081,test,Sa
587729160054964605,228.71749106,4.38930621,12.51046,train,Sa
587729228220596282,223.74927539,62.27594368,18.775318,train,Sa
587729228762382424,240.16216914,54.98335052,13.84789,train,Sa
587729228763758694,243.51987646,52.40632841,12.429069,valid,Sa
587729232515563848,249.62317361,46.31388362,11.094585,train,Sa
587729232518578553,254.48059369,40.37153665,11.643901,valid,Sa
587729233058332833,258.90963559,34.8011583,12.418066,train,Sa
587729385537667170,164.55972586,57.16006883,12.618389,test,Sa
587729386082992254,201.02130797,58.28658171,12.764165,train,Sa
587729386620977345,206.06634392,57.93331321,14.524686,train,Sa
587729387143757905,146.99347241,54.01472715,20.068497,train,Sa
587729387157651592,205.40956907,58.51089789,12.351442,train,Sa
587729387677286561,136.73261371,49.77317195,10.883689,valid,Sa
587729387687575684,174.0512305,59.97650335,19.799276,valid,Sa
587729388217565347,146.53489958,54.61456958,19.524744,train,Sa
587729408072941746,237.75410685,51.78721398,18.77256,train,Sa
587729408080871843,253.73131461,37.47638105,13.546032,valid,Sa
587729408613548198,246.67075065,45.60621387,17.944643,train,Sa
587729409686175766,245.35732848,48.13103359,10.188301,test,Sa
587729652350845236,252.07242079,35.84108585,10.712164,train,Sa
587729652887912660,252.79645257,35.7669072,13.290056,train,Sa
587729748448575738,230.32691633,2.26955338,9.047964,train,Sa
587729751132340562,247.11927138,40.72082169,14.15283,train,Sa
587729752209555683,254.04409416,34.83652797,21.168709,train,Sa
587729752211587548,256.9837538,30.94784336,10.897985,train,Sa
587729752741576991,245.90695251,44.019232,8.289519,valid,Sa
587729772071682184,206.55508988,-3.38486667,18.543688,train,Sa
587729778512888036,202.73927571,-1.74168321,8.727536,train,Sa
587729781199864051,256.28397099,33.43033858,10.02585,train,Sa
587729781201174641,258.11846529,30.90965932,15.528186,test,Sa
587729970718376125,229.07763648,-2.07064748,10.29541,train,Sa
587729970719817905,232.41715619,-1.90711524,10.40037,valid,Sa
587729971255902586,230.58689857,-1.5703667,12.192725,test,Sa
587729972323418375,216.38846073,-1.11394391,10.138578,train,Sa
587730021714559112,211.95386068,6.04489823,10.548882,train,Sa
587730021718622421,221.24562992,5.21956178,6.714987,train,Sa
587730022258770187,228.87402409,5.0131244,13.540842,train,Sa
587730022796558501,230.98412888,5.25553135,11.767044,train,Sa
587730022796624187,231.16234643,5.40748431,7.34517,train,Sa
587730022796820817,231.56550741,5.36355971,8.323786,train,Sa
587730023333691727,231.62791594,5.62138739,10.368843,train,Sa
