objid,ra,dec,petroR90_g,group,hubble
587722982284656858,197.67621817,-0.66456616,9.163369,train,Sb
587722982295404708,222.08932066,-0.80754179,10.646396,train,Sb
587722982297698635,227.37580482,-0.77117021,14.600284,valid,Sb
587722982818578564,190.85380235,-0.25574711,8.104207,train,Sb
587722982818906342,191.66339046,-0.32362591,9.105545,test,Sb
587722982823624928,202.45245628,-0.29416411,19.841438,valid,Sb
587722982835749172,230.06304911,-0.31782972,5.666265,valid,Sb
587722982837190737,233.34214169,-0.41568961,9.195703,valid,Sb
587722983365869710,214.64774986,0.15771696,11.225245,test,Sb
587722983370653979,225.58744393,0.18482869,8.346881,train,Sb
587722983899005139,206.15584113,0.56152758,8.574279,train,Sb
587724648723054727,186.57934688,-2.93162396,10.742202,train,Sb
587724649262809246,193.24615451,-2.47894116,11.898499,train,Sb
587724649792340018,176.39424883,-2.19062503,8.357574,test,Sb
587724650327441416,172.32470556,-1.70801056,14.918169,train,Sb
587724650864050209,171.73334974,-1.3210343,18.121054,train,Sb
587724650864574666,173.06048695,-1.3030212,11.347332,train,Sb
587725039561277607,194.25245428,-3.17256384,11.660709,train,Sb
587725040625844391,173.35586565,-2.38095781,17.225199,train,Sb
587725041163436170,174.94288989,-1.87526458,13.288157,train,Sb
587725469060432032,135.099711,52.95712629,8.520674,train,Sb
587725469064495288,148.09347027,58.93923758,12.651805,train,Sb
587725469593174252,124.74070042,46.35626655,12.903851,train,Sb
587725470132732028,130.3838025,51.24629713,25.708101,train,Sb
587725470662590693,116.18210961,38.63499133,13.250991,valid,Sb
587725470663639354,117.80287869,40.74246046,12.409751,train,Sb
587725470670192770,131.50924645,52.53307414,16.460064,train,Sb
587725470673076407,139.64384485,57.18221237,7.835448,train,Sb
587725489989288107,257.75447695,56.75826817,9.882343,valid,Sb
587725490525045016,256.63583258,59.23390288,8.945514,test,Sb
587725491062964264,259.03130039,57.23825804,13.829794,test,Sb
587725492134215978,256.5964909,62.75026381,7.317001,train,Sb
587725503408111766,253.01514116,63.11579187,15.197288,valid,Sb
587725504484868436,259.40591455,56.93691108,14.571212,train,Sb
587725550127677603,135.46165525,55.86513412,10.205072,train,Sb
587725551213084909,188.52360912,67.14488712,11.01452,train,Sb
587725551737766072,132.48178561,55.79177408,10.782055,valid,Sb
587725552269066552,119.49788769,46.01336741,15.617882,train,Sb
587725552280993849,155.18056696,65.17207452,18.367027,train,Sb
587725552290955459,211.92476278,65.61888655,11.885045,valid,Sb
587725552826581046,205.58718805,67.04467113,11.977967,train,Sb
587725577498984562,262.25740457,60.08939294,16.567186,test,Sb
587725577499246871,262.53521788,59.531818,12.531866,test,Sb
587725775603826784,114.5265056,40.23403349,9.957946,train,Sb
587725816412700763,179.81044642,66.39704,15.125257,test,Sb
587725816940724372,138.5524712,58.3507064,8.308826,valid,Sb
587725816949178553,177.47614464,66.71339072,9.777164,valid,Sb
587725816950882388,187.13432621,66.98305953,8.79026,train,Sb
587725816961171600,234.19282452,56.93341611,14.224315,valid,Sb
587725816964251809,242.27951093,51.59683675,13.63459,test,Sb
587725817494241313,221.19608999,62.76319465,8.145176,train,Sb
587725818037141609,241.46313293,53.73275872,13.675339,train,Sb
587725818566082775,213.67191247,65.64338534,12.049601,train,Sb
587725818567917683,221.79350569,63.42419359,18.614731,test,Sb
587725818571325658,234.29841132,58.51895618,10.488287,train,Sb
587725818572832893,238.61093926,56.03788992,15.687042,test,Sb
587725980154003642,132.82863867,55.07477979,13.131694,valid,Sb
587725994109174037,247.08744956,49.07701495,11.191278,test,Sb
587726013995942036,181.74157143,1.4806733,7.525008,train,Sb
587726014002430118,196.55457727,1.47851666,15.020596,train,Sb
587726014008524947,210.42784195,1.32723003,8.743592,train,Sb
587726014552342713,226.29563714,1.31014704,6.981524,train,Sb
