objid,ra,dec,petroR90_g,group,hubble
587722982278496424,183.54716272,-0.83157081,17.58506,test,Sc
587722982300254526,233.17290963,-0.6981823,7.965409,train,Sc
587722982830375059,217.74366722,-0.30306246,10.151033,train,Sc
587722983361610010,204.97221583,0.0483337,11.935383,train,Sc
587722983363969239,210.40830767,0.06737005,8.390398,test,Sc
587722983369998691,224.16413776,0.0499106,9.464767,train,Sc
587722983889633437,184.78929475,0.43410554,10.462942,valid,Sc
587722983895924839,199.17114833,0.58909062,6.67774,valid,Sc
587722983897956617,203.78303515,0.47172237,8.935904,valid,Sc
587722983908311408,227.37864218,0.51328044,9.997029,train,Sc
587724648180416563,173.43860398,-3.43701344,23.275364,train,Sc
587724648182120707,177.35904173,-3.41410275,9.936231,valid,Sc
587724648190181499,195.77883699,-3.31303157,7.551942,train,Sc
587724648721809548,183.71498341,-3.01116881,9.360284,train,Sc
587724649254420681,174.0448813,-2.5279486,10.078236,test,Sc
587724649255272543,176.01636058,-2.55837706,19.244816,train,Sc
587724649256124521,177.98402173,-2.64242142,17.128187,valid,Sc
587724649261432996,190.07653317,-2.57798272,8.323269,train,Sc
587724649794240676,180.69635937,-2.15565458,11.595073,train,Sc
587724650334716011,188.97806789,-1.85386643,20.510872,test,Sc
587725039019950218,184.03553208,-3.57013959,22.161461,train,Sc
587725039020146853,184.57579213,-3.68605213,6.315717,test,Sc
587725039027224738,200.68544292,-3.53848592,12.744231,train,Sc
587725039562981562,198.20199294,-3.14129741,9.905888,valid,Sc
587725039563309264,198.97218943,-3.24808737,9.329988,train,Sc
587725040089235606,173.88568916,-2.70873235,12.672475,valid,Sc
587725040095330473,187.82243216,-2.73824843,7.98115,train,Sc
587725040628662374,179.67913849,-2.39469897,7.192432,test,Sc
587725041164419138,177.21002127,-2.03223614,31.401159,train,Sc
587725041700634635,175.6488301,-1.54417401,9.130781,valid,Sc
587725074994626800,145.14600125,0.07022481,10.66393,test,Sc
587725076069154984,146.84078558,0.886239,13.472334,valid,Sc
587725469063184628,143.58515596,57.14612334,8.469567,train,Sc
587725469591863635,122.36345859,43.9349234,15.041189,test,Sc
587725469596713159,133.14843894,52.36647564,13.081419,valid,Sc
587725469599203460,140.10145835,56.23470505,11.622404,train,Sc
587725470134632556,135.38029839,54.29324645,10.769954,test,Sc
587725474955198506,153.15343769,61.94316143,12.817965,valid,Sc
587725489988370686,256.29527335,58.69479994,9.24766,valid,Sc
587725489988894976,256.8669464,57.64101975,14.71492,train,Sc
587725490525438045,257.33004971,58.47112025,9.740442,train,Sc
587725491059687609,253.42884706,64.08525471,16.321516,train,Sc
587725491062702091,258.6557355,57.82728999,13.367667,train,Sc
587725491062899106,258.98028723,57.27163216,11.78434,train,Sc
587725502871044114,251.60279809,63.41700739,13.750463,train,Sc
587725502872420635,254.45540593,60.52122229,14.434814,train,Sc
587725503410602284,257.32225577,57.87668746,10.775852,train,Sc
587725503411978631,259.05634395,54.80998389,11.839857,train,Sc
587725503947342030,257.72918403,58.32177969,10.507821,train,Sc
587725504482574464,256.05973089,62.04279587,8.40099,test,Sc
587725504484540624,258.80328647,57.76057251,17.113056,valid,Sc
587725550659633284,123.20822159,47.4426599,13.999063,valid,Sc
587725551191458216,114.23729926,38.00358351,12.889286,test,Sc
587725551192637722,115.94748945,40.32000058,8.641497,valid,Sc
587725551728263538,113.65259943,38.09479333,11.467132,train,Sc
587725551731671285,119.06059863,44.75413705,7.632751,valid,Sc
587725552275095706,133.13525196,56.80526465,14.16248,train,Sc
587725552824090744,191.01244317,68.42257756,9.12011,test,Sc
587725576422752469,256.84045811,65.35379114,10.117562,train,Sc
587725578037493906,264.84078754,56.56708709,9.296894,train,Sc
587725774529888536,115.07690465,39.43403661,7.300598,test,Sc
587725774532182269,118.8537851,43.97829571,8.534303,train,Sc
587725816412438592,178.17371633,66.30758085,12.250117,train,Sc
587725816951210192,189.31491542,66.89466677,7.90886,train,Sc
587725816956256461,215.97980962,63.70662469,9.935114,train,Sc
587725816960712788,232.65613211,57.66040392,9.811891,train,Sc
587725817489391744,196.96329853,66.90179724,8.377365,test,Sc
587725818021806112,170.56708728,67.18931026,11.181436,train,Sc
587725818023182387,178.57811694,67.60112218,12.209813,test,Sc
587725818030850281,220.50750004,63.33070536,15.081996,train,Sc
587725818565492907,210.63899171,66.0792821,7.274422,test,Sc
587725819108655238,236.33641206,58.09834487,9.545341,train,Sc
587725980688973968,127.27982544,52.03196096,17.071499,test,Sc
587725993035104537,245.46173629,49.16543429,12.222501,train,Sc
587725993035563185,246.36870278,48.40235856,11.111164,train,Sc
587725993037004997,249.07615986,45.72371271,13.399265,train,Sc
587725993573482673,248.86016295,46.67838168,16.763941,train,Sc
587725994109108481,246.92773947,49.20922496,7.893642,train,Sc
587725994650632560,255.39027823,40.34236576,8.943735,train,Sc
587726014004854879,202.12164855,1.41303461,8.982407,train,Sc
587726014542381068,203.52533179,1.75446415,15.658852,train,Sc
587726015074992282,193.86359246,2.31511876,11.69137,train,Sc
587726015078990004,203.02255905,2.37219022,6.726947,valid,Sc
587726015091311023,231.21171784,1.72331796,5.415781,train,Sc
587726016142442661,179.52223629,3.30358855,11.221044,test,Sc
587726016149192828,194.92350085,3.24221896,11.507095,train,Sc
587726016156401697,211.3321963,2.9706056,9.136763,valid,Sc
587726016679641250,180.2780377,3.59662574,9.970063,train,Sc
587726016683245662,188.41533354,3.60684731,9.832536,train,Sc
587726016684228815,190.78901743,3.58121715,11.379014,train,Sc
587726016691044536,206.36171338,3.43175912,8.167159,train,Sc
587726016692158584,208.80892487,3.40090735,9.225322,test,Sc
587726016694649018,214.53667658,3.25207533,15.114698,valid,Sc
587726031169192021,167.18003845,1.26083163,10.724911,train,Sc
587726031708160085,171.97271966,1.66267579,8.213163,valid,Sc
587726031712485491,181.8008019,1.75061851,11.600559,train,Sc
587726032238674086,157.42140874,1.92002448,15.883367,train,Sc
587726032239919317,160.3094349,1.95992603,10.540912,train,Sc
587726032258007113,201.64007319,2.17509378,20.122211,train,Sc
587726032767942842,140.02680329,1.96881438,9.412213,train,Sc
587726032772661514,150.89080702,2.10999603,7.18801,train,Sc
587726032792191186,195.52890544,2.66551945,8.946625,train,Sc
587726032794353786,200.40231092,2.60871302,8.857889,valid,Sc
587726032800645261,214.83989306,2.17276344,11.553562,train,Sc
587726032804774040,224.28618952,2.03435308,9.743835,train,Sc
587726033337123057,213.99508534,2.71029868,11.446882,train,Sc
587726033340399755,221.35893789,2.50052132,8.446533,train,Sc
587726033342431349,226.12389142,2.33303245,16.143764,train,Sc
587726033849286849,157.39411754,3.08166658,9.848101,train,Sc
587726033850597482,160.34440249,3.31819965,11.97145,valid,Sc
587726033878319271,223.80581024,2.83334501,9.906689,valid,Sc
587726100412760244,220.52638286,3.33075215,12.155755,test,Sc
587726100416757914,229.75403112,2.87263794,6.599938,train,Sc
587726100947796185,216.4707397,3.90754114,6.989432,train,Sc
587726100956578048,236.50545889,2.71423378,18.005499,train,Sc
587726100958019661,239.74543137,2.64223707,13.071929,train,Sc
587726101482962981,212.47418332,4.57650824,14.228457,train,Sc
587726101492727937,234.86802821,3.3701585,15.24717,train,Sc
587726102021013693,215.27193734,4.92149837,11.224242,train,Sc
587726102023635130,221.26015035,4.5071482,15.657203,train,Sc
587726102561620183,223.8881769,4.77501006,8.0068,valid,Sc
