objid,ra,dec,hubble,group
,236.22175,0.4043,S0,test_expert
,171.03596000000005,-1.1577309999999998,S0,train
,172.74129,-1.147517,S0,test_expert
,192.24962,-1.159842,S0,train
,211.84187000000003,-1.096381,S0,train
,165.36337,-0.718314,S0,train
,166.13325,-0.730511,S0,train
,191.63375,-0.643547,S0,train
,197.26512,-0.7660060000000001,S0,valid
,212.61179,-0.832369,S0,valid
,215.45733,-0.77745,S0,valid
,165.19458,-0.397,S0,train
,166.40821,-0.217431,S0,valid
,177.16842,-0.286192,S0,valid
,181.07946,-0.31550300000000003,S0,test_expert
,184.66762,-0.256472,S0,valid
,201.25933,-0.378422,S0,test_expert
,210.76008,-0.335539,S0,valid
,211.97225,-0.324375,S0,train
,227.46687000000003,-0.3847,S0,train
,176.35953999999995,0.004039,S0,valid
,177.84433,0.117317,S0,train
,180.27079,0.113767,S0,train
,189.96871,0.125486,S0,valid
,191.69771,0.117458,S0,train
,200.46625,0.139378,S0,train
,208.42829,0.060872,S0,test_expert
,211.03079,0.144011,S0,valid
,218.91696,0.204933,S0,train
,221.07867,0.041914,S0,train
,225.2015,0.176433,S0,train
,226.72854,0.186331,S0,train
,230.74525,0.098933,S0,train
,237.49804,0.201986,S0,test_expert
,170.77678999999995,0.612847,S0,train
,180.09962,0.490664,S0,test_expert
,182.36933,0.533275,S0,train
,205.49587,0.601475,S0,test_expert
,208.30879,0.447261,S0,test_expert
,216.48612000000003,0.612931,S0,train
,222.509,0.5787720000000001,S0,train
,226.16754,0.604508,S0,valid
,226.69983,0.507775,S0,train
,168.95583,0.860408,S0,train
,169.86167,0.968083,S0,test_expert
,176.22099999999998,0.939631,S0,train
,182.76692,0.9723,S0,train
,183.86683,1.017236,S0,train
,190.22346,1.008356,S0,train
,197.38283,0.857025,S0,test_expert
,217.50237,1.046081,S0,train
,154.6355,-0.992328,S0,valid
,169.15821,-1.027586,S0,train
,170.63383000000005,-0.8411639999999999,S0,valid
,173.03846,-0.942597,S0,train
,184.15208,-0.955947,S0,valid
,185.38204,-0.8527110000000001,S0,valid
,194.72767,-0.972731,S0,test_expert
,197.599,-1.010525,S0,train
,199.80733,-0.987783,S0,valid
,200.22767,-0.941189,S0,train
,201.84158,-1.008661,S0,train
,210.05529,-0.962736,S0,train
,216.88129,-0.922428,S0,train
,221.64346,-0.849569,S0,train
,134.078,-0.441497,S0,test_expert
,139.39553999999998,-0.582658,S0,train
,140.57221,-0.5469310000000001,S0,train
,156.72742,-0.541497,S0,valid
,182.18425,-0.5408470000000001,S0,train
,190.77708,-0.437919,S0,valid
,193.90896,-0.590661,S0,train
,219.21037,-0.6221220000000001,S0,test_expert
,222.76629,-0.462217,S0,test_expert
,231.85325,-0.444064,S0,test_expert
,134.94533,-0.005614,S0,train
,150.47058,-0.125156,S0,test_expert
,151.97046,-0.153783,S0,train
,153.49612,-0.081581,S0,train
,161.71525,-0.10855,S0,valid
,167.58562,-0.122303,S0,test_expert
,168.01075,-0.17482799999999998,S0,train
,168.36642,-0.056933,S0,train
,183.51646,-0.06965299999999999,S0,train
,212.97271,-0.050658,S0,train
,226.91383,-0.109469,S0,test_expert
,227.22475,-0.196956,S0,train
,132.79083,0.253589,S0,train
,139.03808,0.296525,S0,train
,150.29833,0.225683,S0,valid
,151.17012,0.369897,S0,train
,151.98504,0.272161,S0,test_expert
,152.05536999999995,0.383114,S0,train
,162.35162,0.231992,S0,test_expert
,162.59492,0.236392,S0,valid
,166.63862,0.280019,S0,train
,170.20537,0.390172,S0,test_expert
,180.69379,0.367664,S0,train
,182.01604,0.3788,S0,train
,189.69362,0.322522,S0,test_expert
,220.74267000000003,0.268989,S0,valid
,229.33629,0.237217,S0,test_expert
,231.8125,0.363586,S0,train
,131.94983,0.653714,S0,train
,132.55158,0.656828,S0,train
,155.63067,0.693028,S0,test_expert
,156.42553999999996,0.763019,S0,test_expert
,158.71071,0.6763939999999999,S0,test_expert
,163.60867,0.663733,S0,train
,164.72033000000005,0.679703,S0,train
,173.19187,0.762047,S0,valid
,184.85508,0.63095,S0,valid
,188.27512,0.778325,S0,train
,208.18375,0.802706,S0,test_expert
,218.13433,0.771506,S0,train
,218.33729,0.837333,S0,train
,223.70258,0.641333,S0,test_expert
,233.24192,0.710681,S0,test_expert
,180.873,1.229347,S0,valid
,199.50975,1.114081,S0,train
,14.81379,13.575942,S0,train
,18.97621,13.35335,S0,train
,27.29842,12.853253,S0,test_expert
,25.86108,13.320272,S0,train
,27.38967,13.233361,S0,train
,17.357670000000002,14.331564000000002,S0,valid
,21.85496,14.054542,S0,test_expert
,28.60171,13.541117000000002,S0,train
,29.48262,13.358139,S0,test_expert
,31.83462,13.031769,S0,train
,9.59879,15.039567000000002,S0,train
,22.12321,14.414186,S0,valid
,33.5505,13.436881,S0,train
,15.99479,15.247260999999998,S0,train
,23.28142,14.760856,S0,test_expert
,24.08058,14.656839000000002,S0,test_expert
,32.889790000000005,13.917125,S0,train
,7.79346,15.886889000000002,S0,valid
,18.22454,15.602467,S0,train
,18.3175,15.502928,S0,train
,18.20767,15.505422,S0,valid
,18.22508,15.546978,S0,train
,18.44842,15.508297,S0,valid
,18.57,15.592506,S0,train
,32.87821,14.300489,S0,train
,32.880959999999995,14.20065,S0,train
,9.76117,14.088872,S0,train
,14.08658,13.862139,S0,valid
,18.92429,13.621006,S0,test_expert
,23.47208,13.403403,S0,valid
,27.26054,12.927531,S0,train
,25.17779,13.551303,S0,valid
,29.33346,13.170392,S0,train
,27.36858,13.708817000000002,S0,train
,17.94237,14.977875,S0,test_expert
,22.17512,14.609256,S0,test_expert
,26.982290000000006,14.226781,S0,test_expert
,29.89467,14.008197,S0,train
,30.18,14.026433,S0,train
,12.19587,15.708944,S0,valid
,23.22958,14.969494,S0,test_expert
,28.91467,14.491769,S0,test_expert
,33.23996,14.102842,S0,test_expert
,15.916670000000002,15.886692000000002,S0,test_expert
,17.70025,15.847847,S0,train
,23.01908,15.500344,S0,train
,24.58175,15.400739000000002,S0,train
,29.28046,14.928783,S0,train
,30.95746,14.739131,S0,valid
,33.16142,14.366735999999998,S0,train
,57.69904,-7.028775,S0,train
,61.229,-6.573553,S0,test_expert
,49.45221,-7.616861,S0,valid
,52.9795,-7.336203,S0,test_expert
,36.32037,-8.693769,S0,train
,36.42562,-8.672519,S0,valid
,41.08362,-7.754144,S0,valid
,52.69021,-6.4239440000000005,S0,train
,61.40596,-5.315269,S0,train
,49.27775,-6.502167,S0,train
,51.35562,-6.1438690000000005,S0,valid
,53.47633,-5.860247,S0,train
,199.78967,-2.904092,S0,train
,193.79329,-2.161142,S0,valid
,200.37712,-2.145556,S0,test_expert
,171.66946000000004,-1.6937970000000002,S0,train
,176.27653999999995,-1.669189,S0,train
,182.63404,-1.314264,S0,valid
,186.78208,-1.354189,S0,train
,177.4155,-3.5296830000000003,S0,valid
,179.05778999999995,-3.671517,S0,valid
,198.68567,-3.612822,S0,test_expert
,195.89883,-3.194464,S0,train
,200.56117,-3.088189,S0,train
,180.7945,-2.8760000000000003,S0,train
,186.39271,-2.841411,S0,train
,192.67683,-2.825411,S0,train
,173.33661999999995,-2.345044,S0,test_expert
,175.3835,-2.323847,S0,train
,187.76921,-2.343742,S0,test_expert
,188.97862,-2.385842,S0,train
,176.34333,-1.876717,S0,train
,176.68466999999995,-1.894744,S0,valid
,179.57617,-1.958794,S0,valid
,182.56762,-1.993025,S0,test_expert
,182.75667,-1.879908,S0,valid
,140.37271,-0.268883,S0,train
,142.85291999999995,-0.352783,S0,train
,147.48492,-0.23135,S0,test_expert
,135.02104,0.079658,S0,train
,146.23183,0.068222,S0,train
,145.94779,0.4653,S0,train
,146.52029,0.871856,S0,train
,120.85025,41.914833,S0,test_expert
,138.83771000000002,54.998992,S0,train
,138.85812,55.05970600000001,S0,train
,120.40283,41.9909,S0,train
,124.09242,45.790997,S0,train
,125.34237,46.743794,S0,train
,125.28117,46.848833,S0,test_expert
,133.02721,52.932814,S0,test_expert
,136.93321,55.151753,S0,train
,138.0665,55.692792,S0,valid
,121.32067,44.40062800000001,S0,train
,123.21412,46.199264,S0,train
,123.80687,46.720422,S0,valid
,129.15933,50.929703,S0,train
,129.85821,51.687589,S0,train
,132.26512,53.749422,S0,valid
,135.60575,55.60932800000001,S0,train
,136.70308,56.31615600000001,S0,train
,152.31292,60.61863100000001,S0,train
,257.58221000000003,56.757281000000006,S0,train
,253.31292,64.47631899999999,S0,valid
,258.52771,57.993661,S0,valid
,258.88204,57.50255600000001,S0,train
,258.85108,57.350375,S0,train
,258.78571,57.31054399999999,S0,train
,258.9475,57.30195300000001,S0,train
,261.10504,53.518,S0,train
,259.73321,57.37195,S0,train
,259.895,56.630133,S0,train
,258.84717,59.588139,S0,test_expert
,255.92167,58.747308,S0,train
,257.934,56.94374200000001,S0,train
,258.50325,57.374144,S0,test_expert
,258.92017000000004,57.535361,S0,test_expert
,259.09992,57.422758,S0,train
,261.46896,53.539525,S0,test_expert
,260.38642000000004,56.988942,S0,test_expert
,260.84833,57.28353900000001,S0,train
,127.55896,47.581739,S0,train
,250.40571,40.163494,S0,test_expert
,121.21887,42.604517,S0,train
,123.19787,44.357381,S0,train
,139.57108,55.682622,S0,test_expert
,205.87658,62.919969,S0,train
,205.64775,62.889767000000006,S0,train
,240.27304,49.979761,S0,test_expert
,241.39421,49.093678,S0,train
,247.51137000000003,43.8249,S0,test_expert
,119.17871,41.003772,S0,valid
,123.89933,45.717617,S0,train
,128.77446,49.847647,S0,valid
,131.39883,51.533725,S0,test_expert
,132.25587,52.2563,S0,test_expert
,219.16646,60.417147,S0,test_expert
,246.05437,45.74782800000001,S0,valid
,249.82983,42.184125,S0,train
,252.18987,39.634419,S0,valid
,115.85578999999998,37.945375,S0,test_expert
,117.52958,40.165275,S0,train
,133.16258,53.47814399999999,S0,train
,227.56596,58.178592,S0,valid
,245.45437,47.052106,S0,valid
,122.84704,46.131083,S0,test_expert
,135.60317,55.390208,S0,train
,138.37637,56.857947,S0,test_expert
,143.71004,59.191997,S0,test_expert
,237.89392,53.395114,S0,test_expert
,243.20725,49.580342,S0,train
,247.95662,45.469847,S0,train
,249.23396,44.379042,S0,train
,122.13625,46.597944,S0,valid
,127.57662,51.161217,S0,valid
,129.93204,53.013861,S0,train
,138.096,57.66711700000001,S0,train
,154.84962,63.557297,S0,valid
,121.30775,46.331658,S0,train
,128.76762,52.831575,S0,train
,132.72104,55.419106000000006,S0,train
,133.89446,56.202089,S0,train
,143.53,60.710064,S0,train
,154.80229,63.967486,S0,valid
,162.01828999999995,65.401386,S0,valid
,209.57921,65.258136,S0,train
,118.39367,44.09540300000001,S0,valid
,131.10586999999998,55.024433,S0,train
