objid,ra,dec,hubble,petroR90_g,group
J15535740+00411711,238.48917000000003,0.688086,SBa,10.84,test_expert
J11050921-00474910,166.28837,-0.796972,SBa,17.55,train
J12012792-00430618,180.36633,-0.718383,SBa,73.48,train
J13085534-00480577,197.23058,-0.801603,SBa,11.58,train
J13223488-00404699,200.64533,-0.679719,SBa,7.71,train
J13575680-00400069,209.48667,-0.666858,SBa,15.29,train
J14045174-00382981,211.21558,-0.641614,SBa,30.14,train
J15252367-00423589,231.34862,-0.709969,SBa,12.83,train
J11155950-00205905,168.99792,-0.349736,SBa,13.85,train
J12175243-00214363,184.46846,-0.362119,SBa,14.6,train
J14144354-00165603,213.68142000000003,-0.282231,SBa,25.95,train
J14521103-00152198,223.04596,-0.256106,SBa,16.22,train
J11125628+00095554,168.2345,0.165428,SBa,26.85,train
J13544465+00065442,208.68604,0.115117,SBa,38.12,train
J14170167+00283744,214.25696,0.477067,SBa,18.3,train
J12095386+00554267,182.47442,0.928519,SBa,15.22,valid
J12422567+00564872,190.60696,0.946867,SBa,11.35,train
J09004017-00291232,135.16737,-0.486756,SBa,8.71,train
J10331982-00360583,158.33258,-0.601619,SBa,11.18,train
J11513146-00030364,177.88108,-0.051011,SBa,6.16,test_expert
J13510222-00091513,207.75925,-0.154203,SBa,57.94,train
J13365856+00133249,204.24400000000003,0.225692,SBa,17.25,train
J08533928+00452945,133.41367,0.758181,SBa,9.66,train
J09532021+00415173,148.33421,0.697703,SBa,17.72,test_expert
J13385342+00451924,204.72258,0.755344,SBa,10.7,valid
J13130860+01091267,198.28583,1.153519,SBa,9.99,train
J01490006+13123998,27.25025,13.211106,SBa,23.05,train
J02082987+12440008,32.12446,12.733356,SBa,11.37,train
J00375835+14325016,9.49312,14.547267000000002,SBa,24.0,train
J00570519+14543086,14.27162,14.908572,SBa,28.71,test_expert
J01172810+14421594,19.36708,14.704428,SBa,7.86,valid
J01294090+14301835,22.42042,14.505097,SBa,7.45,train
J00422985+15234806,10.62437,15.396683,SBa,57.56,train
