objid,ra,dec,hubble,group
J14252944-01035824,216.37267000000003,-1.066178,SBb,valid
J11553798-00461426,178.90825,-0.770628,SBb,train
J14052526-00484084,211.35525,-0.811344,SBb,train
J14162895-00443796,214.12062000000003,-0.7438779999999999,SBb,train
J14241099-00404407,216.04579,-0.678908,SBb,train
J13285351-00192166,202.22296,-0.322683,SBb,train
J13350454-00182303,203.76892,-0.306397,SBb,test_expert
J15101549+00022505,227.56454,0.040292,SBb,test_expert
J14351972+00283261,218.83217,0.475725,SBb,test_expert
J14272036+01013302,216.83483,1.025839,SBb,train
J11092013-00511302,167.33387,-0.853617,SBb,test_expert
J10335136-00334090,158.464,-0.561361,SBb,train
J13140861-00262802,198.53587,-0.441117,SBb,valid
J13154731-00274434,198.94712,-0.462317,SBb,test_expert
J15000802-00351099,225.03342,-0.586386,SBb,train
J15404056-00093356,235.169,-0.159322,SBb,valid
J08484563+00172946,132.19012,0.291517,SBb,train
J08535867+00210015,133.49446,0.350042,SBb,test_expert
J09172195+00191887,139.34146,0.321908,SBb,train
J09495304+00185414,147.471,0.315039,SBb,train
J11273673+00234277,171.90304,0.395214,SBb,valid
J12155250+00240250,183.96875,0.400694,SBb,train
J13370647+00220468,204.27696,0.367967,SBb,train
J14304601+00145162,217.69171,0.247672,SBb,train
J09161375+00420235,139.05729,0.700653,SBb,train
J10002436+00421651,150.1015,0.7045859999999999,SBb,train
J10210765+00405732,155.28187,0.682589,SBb,train
J10262113+00410574,156.58803999999995,0.684928,SBb,train
J11073160+00465916,166.88167,0.7831,SBb,test_expert
J11090839+00422620,167.28496,0.707278,SBb,train
J12393698+00450647,189.90408,0.751797,SBb,train
J13113747+00395692,197.90612,0.6658109999999999,SBb,test_expert
J15162503+00422898,229.10429,0.70805,SBb,valid
J13594601+01043290,209.94171,1.075806,SBb,train
J01092199+14203226,17.341620000000002,14.342294,SBb,train
J01092880+14214727,17.37,14.363131,SBb,train
J01545959+13285864,28.74829,13.482956,SBb,test_expert
J01132427+15142782,18.35112,15.241060999999998,SBb,train
J01184585+14593568,19.69104,14.993244,SBb,valid
J01101165+14125503,17.54854,14.215286,SBb,train
J00471939+14421264,11.83079,14.703511,SBb,valid
J00473033+15414944,11.87637,15.697067,SBb,test_expert
J00473025+16081300,11.87604,16.136944,SBb,train
J01210932+15414090,20.28883,15.694694,SBb,valid
J03331296-07325848,53.304,-7.549577999999999,SBb,train
J02515636-08223732,42.98483,-8.377033,SBb,train
J02285918-08305590,37.24658,-8.515528,SBb,train
J03131803-07294237,48.32512,-7.495103,SBb,train
J03404509-06052217,55.18787,-6.089492,SBb,train
J12145123-03292222,183.71346,-3.489506,SBb,test_expert
J12254090-02570269,186.42042,-2.950747,SBb,valid
J13122668-02272468,198.11117,-2.456856,SBb,train
J11414012-02144667,175.41717,-2.246297,SBb,train
J11582378-02163853,179.59908,-2.277369,SBb,test_expert
J11361399-02521369,174.05829,-2.870469,SBb,valid
J12541638-02020437,193.56825,-2.0345470000000003,SBb,train
J11445047-01360484,176.21029,-1.601344,SBb,valid
J09311954-00203992,142.83142,-0.344422,SBb,train
J08474787+51140218,131.94946000000002,51.233939,SBb,train
J09364939+57593189,144.20578999999995,57.992192,SBb,train
J08151687+46043087,123.82029,46.075242,SBb,train
J08092372+45292144,122.34883,45.489289,SBb,valid
J09192477+57054255,139.85321000000002,57.095153,SBb,train
J08100548+46113490,122.52283,46.19302800000001,SBb,train
J08400946+52272163,130.03942,52.456008,SBb,train
J08475647+53422206,131.98529,53.706128,SBb,valid
J08544753+54343432,133.69804,54.5762,SBb,train
J10180503+60204852,154.52096,60.346811,SBb,test_expert
J10315356+62240413,157.97316999999995,62.401147,SBb,valid
J17140903+58490644,258.53762,58.81845600000001,SBb,train
J17202958+58045508,260.12325,58.08196700000001,SBb,valid
J17012822+63412824,255.36758,63.691178,SBb,train
J17010706+64403692,255.27942,64.67692199999999,SBb,train
J17033946+64080380,255.91442,64.134389,SBb,test_expert
J08143888+44234072,123.662,44.394644,SBb,train
J10302092+61154962,157.58717,61.263783,SBb,train
J15571395+49491599,239.30812000000003,49.821108,SBb,train
J15513165+52054151,237.88187,52.094864,SBb,train
J16061486+49323062,241.56192,49.541839,SBb,valid
J09074406+55310599,136.93358,55.518331,SBb,valid
J13011644+65002027,195.3185,65.00563100000001,SBb,valid
J17025162+36400612,255.71508,36.668367,SBb,test_expert
J07593576+44182423,119.899,44.306731,SBb,train
J08151139+48031967,123.79746000000002,48.055464,SBb,train
J07403928+39135986,115.16367,39.233294,SBb,train
J08391294+53372487,129.80392,53.623575,SBb,test_expert
J07564036+44521131,119.16817,44.869808,SBb,train
J08452319+55070776,131.34662,55.118822,SBb,train
J07302296+37223063,112.59567,37.375175,SBb,train
J17225251+60074667,260.71879,60.129631,SBb,train
J17262583+58352007,261.60762,58.588908,SBb,valid
J17324928+56540480,263.20533,56.901333,SBb,train
J17323603+56504318,263.15012,56.845328,SBb,train
J17295933+60210119,262.49721,60.350331,SBb,train
J17302142+59382383,262.58925,59.63995300000001,SBb,train
J17311762+59293369,262.82342,59.49269200000001,SBb,train
J17102880+65071173,257.62,65.119925,SBb,test_expert
J17224380+62095803,260.6825,62.166119,SBb,valid
J17353420+59532408,263.8925,59.890022,SBb,valid
J07354150+37054482,113.92292,37.095783,SBb,train
J07335333+37013328,113.47221,37.025911,SBb,train
J07295430+37270634,112.47625,37.451761,SBb,train
J07480926+43352642,117.03858,43.590672,SBb,train
J10351919+64103915,158.82996,64.177542,SBb,test_expert
J12232185+66355124,185.84104,66.597567,SBb,train
J14275770+62560939,216.99042000000003,62.935942,SBb,train
J14393312+62001063,219.888,62.00295300000001,SBb,train
J11372805+66322802,174.36687,66.541117,SBb,train
J14592374+61024961,224.84892,61.047114,SBb,train
J15520333+54402034,238.01387000000003,54.67231700000001,SBb,train
J14344553+63293545,218.68971,63.49318100000001,SBb,train
J16134036+51254401,243.41817000000003,51.428892,SBb,train
J13010847+67575301,195.28529,67.964725,SBb,train
J14381858+64101751,219.57742,64.171531,SBb,train
J16195351+51324769,244.97296,51.546581,SBb,train
J08522909+56064593,133.12121000000002,56.11275799999999,SBb,valid
J09001641+58230773,135.06837,58.38548100000001,SBb,train
J16395761+43592825,249.99004,43.991181,SBb,train
J16582818+41403962,254.61742,41.677672,SBb,train
J13205613+01301325,200.23387,1.503681,SBb,valid
J13234070+01214254,200.91958,1.361817,SBb,train
J14243317+01103834,216.13821,1.177317,SBb,test_expert
J13323076+01505173,203.12817,1.847703,SBb,train
J14014450+01422842,210.43542,1.7078939999999998,SBb,test_expert
J14135470+01435173,213.47792,1.731036,SBb,train
J14450022+01243073,221.25092,1.408536,SBb,train
J12033294+02293450,180.88725,2.492917,SBb,train
J14434931+01553360,220.95546,1.926,SBb,train
J14354191+02285068,218.92462,2.480744,SBb,train
J14273564+02571612,216.8985,2.954478,SBb,train
J14343728+02525660,218.65533,2.882389,SBb,valid
J13374211+03282112,204.42546,3.4725330000000003,SBb,test_expert
J08554766+00473940,133.94858,0.7942779999999999,SBb,test_expert
J13322038+01340075,203.08492,1.566875,SBb,train
J10184857+01553364,154.70237,1.926011,SBb,train
J10294071+01555509,157.41962,1.931969,SBb,train
J11003251+02065782,165.13546000000005,2.116061,SBb,train
J11075534+02004771,166.98058,2.013253,SBb,train
J13475369+01544895,206.97371,1.913597,SBb,train
J14352369+01514847,218.84871,1.863464,SBb,test_expert
J15112960+01355154,227.87333,1.59765,SBb,train
J09522967+02091602,148.12362,2.15445,SBb,valid
J14060940+02195200,211.53917,2.331111,SBb,train
J08442845+02035017,131.11854,2.063936,SBb,train
J11113386+02572736,167.89108000000004,2.9576,SBb,train
J11262610+02555785,171.60875,2.932736,SBb,valid
J11344625+02551577,173.69271,2.921047,SBb,train
J11285556+03243267,172.2315,3.409075,SBb,valid
J13021014+03260073,195.54225,3.433536,SBb,train
J13503213+03113896,207.63387,3.194156,SBb,train
J14331751+03541222,218.32296,3.903394,SBb,test_expert
J14021220+04350861,210.55083,4.585725,SBb,valid
J15402217+03140958,235.09237,3.235994,SBb,valid
J14271822+04481015,216.82592,4.802819,SBb,train
J14272961+04464706,216.87337,4.779739,SBb,valid
J22041963-08254955,331.08179,-8.430431,SBb,train
J21020355-06174870,315.51479,-6.296861,SBb,test_expert
J21523655-07420961,328.15229,-7.702669,SBb,train
J21575985-07274952,329.49937,-7.463756,SBb,train
J22053157-07373481,331.38154,-7.626336,SBb,train
J22451429-08032630,341.30954,-8.057306,SBb,train
J01000412-11045739,15.017170000000002,-11.082608,SBb,train
J02175245-09475412,34.468540000000004,-9.798367,SBb,train
J23185406-10194228,349.72525,-10.328411,SBb,train
J02443820-08185062,41.15917,-8.314061,SBb,train
J04122896-05440331,63.12067,-5.734253,SBb,test_expert
J02003143-09020546,30.13096,-9.03485,SBb,train
J02380262-08041782,39.51092,-8.071617,SBb,test_expert
J01375024-08585001,24.45933,-8.980558,SBb,train
J01524842-08432076,28.20175,-8.722433,SBb,train
J00161785-09080295,4.07437,-9.134153,SBb,valid
J01243122-08412269,21.13008,-8.689636,SBb,train
J01572735-08101483,29.36396,-8.170786,SBb,train
J20511982-07185791,312.83258,-7.316086,SBb,test_expert
J21334425-08161563,323.43437,-8.271008,SBb,train
J21404521-07580737,325.18837,-7.968714,SBb,train
J20451459-05290353,311.31079,-5.484314,SBb,train
J20362347-04370747,309.09779,-4.618742,SBb,train
J21292379+10124740,322.34912,10.213167,SBb,valid
J23164467+13285883,349.18612,13.483007999999998,SBb,train
J21583769+11491288,329.65704,11.820244,SBb,train
J23413753+15050633,355.4063700000001,15.085092,SBb,train
J23071031+15003543,346.79296,15.009842,SBb,valid
J23113764+15044382,347.90683,15.078839000000002,SBb,train
J21084015+11214530,317.16729,11.362583,SBb,train
J21595337+13344746,329.97237,13.57985,SBb,test_expert
J23260704+15464294,351.52933,15.778594,SBb,valid
J00083428-10565755,2.14283,-10.949319,SBb,train
J00192083-10563884,4.8367900000000015,-10.944122,SBb,test_expert
J00540720-10503089,13.53,-10.841914,SBb,test_expert
J01133675-10344574,18.40312,-10.579372,SBb,train
J00392012-10285548,9.83383,-10.482078,SBb,valid
J00561434-10203001,14.05975,-10.341669,SBb,train
J00362892-10062219,9.1205,-10.106164,SBb,valid
J00340278-09421921,8.51158,-9.705336,SBb,train
J01004582-09110856,15.190920000000002,-9.185711,SBb,train
J01014005-09055034,15.41687,-9.097317,SBb,train
J01355108-10001068,23.96283,-10.002967,SBb,train
J01510789-09473132,27.782870000000006,-9.792033,SBb,train
J01544850-09400890,28.70208,-9.669139,SBb,train
J01430810-08592886,25.78375,-8.99135,SBb,valid
J01492341-08262960,27.34754,-8.441556,SBb,train
J01512609-08245486,27.85871,-8.415239,SBb,train
