objid,ra,dec,hubble,group
,190.49612,-1.178883,SBc,train
,188.53687,-0.355294,SBc,train
,199.49817,-0.295372,SBc,valid
,211.50592000000003,-0.310556,SBc,train
,168.84204,0.115392,SBc,valid
,169.73412,0.176111,SBc,train
,186.11379,0.152886,SBc,train
,229.36383,0.119406,SBc,train
,237.25504,0.512389,SBc,valid
,197.01283,0.959917,SBc,test_expert
,146.51279,-0.8457809999999999,SBc,test_expert
,154.95561999999995,-1.022647,SBc,train
,184.95112,-0.875447,SBc,train
,199.182,-0.957439,SBc,train
,211.80233,-1.012997,SBc,train
,185.90617,-0.472586,SBc,test_expert
,210.83642000000003,-0.549936,SBc,train
,181.85329,-0.158317,SBc,test_expert
,212.13171,-0.12703599999999998,SBc,train
,232.07333,-0.132136,SBc,test_expert
,155.47167,0.295372,SBc,test_expert
,162.32079,0.329331,SBc,valid
,199.53887,0.22282800000000005,SBc,train
,232.69375,0.277833,SBc,train
,146.46296,0.638694,SBc,train
,148.52467,0.650536,SBc,test_expert
,160.47253999999995,0.793203,SBc,test_expert
,171.07762,0.643733,SBc,test_expert
,189.79737,0.717464,SBc,train
,195.68137,0.663842,SBc,train
,202.30767,0.728517,SBc,train
,186.02037,1.189792,SBc,train
,16.80933,13.955125,SBc,train
,21.87929,14.819803,SBc,test_expert
,23.32379,13.332025,SBc,train
,26.00587,13.074144,SBc,train
,14.4245,15.068039,SBc,test_expert
,24.33746,14.462928,SBc,train
,28.515290000000004,14.909542000000002,SBc,train
,39.16279,-9.19975,SBc,train
,53.37275,-7.552336,SBc,train
,57.72958000000001,-7.060631,SBc,train
,47.41279,-7.846197,SBc,train
,57.10408,-6.626067,SBc,train
,55.02412,-6.617925,SBc,test_expert
,55.32371,-6.104517,SBc,test_expert
,192.43612,-2.974022,SBc,train
,199.771,-2.515314,SBc,train
,192.98346,-2.077561,SBc,test_expert
,198.61496,-2.130994,SBc,train
,195.22704,-1.346644,SBc,train
,199.20904,-3.062725,SBc,train
,199.37192,-3.1806330000000003,SBc,train
,181.19667,-2.720081,SBc,train
,190.29483,-1.590542,SBc,valid
,143.10433,57.482981,SBc,train
,141.95996,58.542922,SBc,train
,257.91746,59.99570600000001,SBc,valid
,257.24779,62.898058,SBc,valid
,134.75128999999998,52.570375,SBc,train
,133.05958,52.88998100000001,SBc,train
,133.64412,53.78936700000001,SBc,train
,210.12229,63.645119,SBc,test_expert
,246.12096,47.226261,SBc,test_expert
,249.52504,43.826147,SBc,test_expert
,214.28908,63.306969,SBc,valid
,123.10692,47.542656,SBc,train
,131.16717,53.951197,SBc,train
,130.33512,53.93872800000001,SBc,train
,132.64421000000002,55.539839,SBc,train
,203.87917,66.125342,SBc,train
,127.49975,52.697264,SBc,test_expert
,184.36696,67.559053,SBc,train
,119.04725,45.484736,SBc,test_expert
,118.71612,45.822508,SBc,test_expert
,153.75175,65.139972,SBc,valid
,260.67129,60.01075600000001,SBc,valid
,259.19883,61.920175,SBc,test_expert
,261.03371,58.995147,SBc,train
,261.445,59.615422,SBc,train
,263.07596,60.07781899999999,SBc,test_expert
,117.92371,42.303564,SBc,valid
,119.80475,44.320186,SBc,valid
,240.34579,52.353525,SBc,train
,204.01075,66.302592,SBc,test_expert
,222.11333,63.036253,SBc,train
,203.85229,1.410586,SBc,valid
