objid,ra,dec,hubble,group
,174.63862,-1.184489,Sa,train
,180.48183,-1.069261,Sa,valid
,184.47037,-0.6572279999999999,Sa,train
,194.31312,-0.657644,Sa,test_expert
,165.95571,-0.21015,Sa,train
,204.60862,-0.227614,Sa,test_expert
,219.56875,-0.349747,Sa,test_expert
,232.68812000000003,-0.369869,Sa,test_expert
,168.27571,0.06954400000000001,Sa,valid
,170.22783,0.172597,Sa,train
,173.66312,0.124761,Sa,train
,190.70675,0.024206,Sa,valid
,202.20471,0.049506,Sa,test_expert
,214.34237,0.023703,Sa,test_expert
,170.20004,0.468569,Sa,train
,170.24896,0.534225,Sa,train
,179.34596000000005,0.487192,Sa,train
,189.84346,0.4602310000000001,Sa,test_expert
,190.91112,0.547111,Sa,train
,195.267,0.573425,Sa,train
,212.79367,0.5787939999999999,Sa,train
,231.65692,0.5926170000000001,Sa,valid
,237.60067,0.569194,Sa,valid
,169.13767,0.928436,Sa,test_expert
,171.03146,0.971886,Sa,train
,212.74037,1.035739,Sa,train
,223.93596,0.8661190000000001,Sa,train
,168.04429,-0.979214,Sa,train
,201.27233,-0.903117,Sa,valid
,203.91154,-0.920039,Sa,valid
,210.79912,-0.974819,Sa,valid
,212.64112000000003,-0.988353,Sa,test_expert
,222.67733,-0.8758,Sa,valid
,160.93821,-0.423247,Sa,valid
,162.35358,-0.429883,Sa,train
,163.02825,-0.5608,Sa,valid
,179.80362,-0.5238189999999999,Sa,train
,182.57442,-0.517894,Sa,valid
,191.12025,-0.452917,Sa,valid
,216.61762,-0.570261,Sa,train
,233.09025,-0.430467,Sa,train
,234.593,-0.462117,Sa,test_expert
,146.29983,-0.119994,Sa,train
,165.15012,-0.012433,Sa,valid
,198.44858,-0.045597000000000006,Sa,train
,202.26346,-0.043619,Sa,train
,219.67908,-0.007744,Sa,train
,234.238,-0.08781900000000001,Sa,train
,132.63204,0.319064,Sa,test_expert
,147.19287,0.271931,Sa,train
,150.62846000000005,0.307311,Sa,test_expert
,167.16504,0.284308,Sa,train
,191.83046,0.404831,Sa,train
,200.34621,0.3424,Sa,train
,231.897,0.289189,Sa,valid
,134.61912,0.637119,Sa,train
,143.66378999999995,0.688078,Sa,train
,149.43021000000005,0.689936,Sa,test_expert
,151.05717,0.8124560000000001,Sa,test_expert
,160.14367,0.817411,Sa,test_expert
,167.44267,0.813725,Sa,train
,183.62175,0.830108,Sa,test_expert
,226.85671,0.6557470000000001,Sa,train
,179.23754,1.115867,Sa,train
,179.27471,1.125594,Sa,valid
,8.94417,13.880042,Sa,test_expert
,16.76983,13.590014000000002,Sa,train
,22.60583,13.228069,Sa,valid
,26.43783,12.938528,Sa,train
,23.53146,13.491832999999998,Sa,valid
,27.27992,13.094156,Sa,train
,27.84275,13.060347,Sa,train
,28.185,13.192556,Sa,valid
,9.90962,14.664228,Sa,train
,11.34292,14.566678,Sa,train
,27.18433,13.699425,Sa,train
,7.19508,15.091503,Sa,train
,16.42529,14.734469,Sa,train
,26.39058,14.025956,Sa,valid
,31.32308,13.505719,Sa,train
,9.45475,15.532167,Sa,test_expert
,13.71204,15.278125,Sa,test_expert
,7.24912,15.970569,Sa,valid
,9.57237,13.990419,Sa,valid
,17.5105,13.647469,Sa,test_expert
,22.52567,13.283919,Sa,train
,26.74658,13.125119,Sa,train
,33.5985,12.337647,Sa,train
,14.00825,14.230344,Sa,valid
,14.39975,14.601494,Sa,valid
,21.34221,14.838714,Sa,valid
,29.29075,14.549886,Sa,train
,30.32996,14.435567,Sa,test_expert
,33.87454,13.859217,Sa,test_expert
,12.85512,16.061156,Sa,train
,30.03971,14.731439000000002,Sa,train
,30.93583,14.709283,Sa,train
,37.92229,-9.300444,Sa,train
,42.38946,-9.002481,Sa,valid
,47.75321,-8.424553,Sa,test_expert
,48.35096,-8.212414,Sa,test_expert
,55.539,-7.437961,Sa,train
,56.43816999999999,-7.257453,Sa,train
,59.12775,-6.89165,Sa,train
,47.07362,-8.082828,Sa,train
,35.68154000000001,-8.719017,Sa,test_expert
,41.18925,-8.164153,Sa,train
,55.66708000000001,-6.381825,Sa,train
,61.56133000000001,-5.651867,Sa,test_expert
,44.84033,-7.307647,Sa,test_expert
,51.38079000000001,-6.128894,Sa,train
,51.257,-5.7457970000000005,Sa,test_expert
,174.57487,-3.354372,Sa,valid
,177.40996,-3.508231,Sa,train
,185.73942,-3.513011,Sa,valid
,186.501,-3.465292,Sa,train
,198.65754,-3.307658,Sa,test_expert
,181.53796,-2.948136,Sa,train
,176.23883,-2.503744,Sa,train
,179.68487,-2.645542,Sa,test_expert
,184.28837,-2.526006,Sa,train
,200.6555,-2.5139720000000003,Sa,valid
,173.18029,-2.199711,Sa,valid
,172.32467,-1.7080080000000002,Sa,train
,173.06125,-1.7383939999999998,Sa,train
,176.31261999999995,-1.702764,Sa,train
,178.87771,-1.261414,Sa,train
,176.11996000000005,-3.570875,Sa,valid
,176.60571000000004,-3.596908,Sa,test_expert
,180.96283,-3.7096,Sa,train
,190.49658,-3.583419,Sa,valid
,191.979,-3.627386,Sa,train
,194.82825,-3.679478,Sa,valid
,198.46233,-3.606256,Sa,train
,181.232,-3.199508,Sa,valid
,184.02479,-3.304839,Sa,test_expert
,185.36092,-3.219786,Sa,test_expert
,174.08037,-2.847411,Sa,train
,183.20108,-2.724619,Sa,test_expert
,198.86037,-2.675686,Sa,test_expert
,176.24512,-2.3965080000000003,Sa,train
,181.21171,-2.438019,Sa,valid
,182.24262,-2.403239,Sa,train
,171.52625,-1.833642,Sa,train
,174.94287,-1.875258,Sa,train
,131.94875,-0.38095,Sa,test_expert
,135.36396000000002,-0.418417,Sa,train
,139.17575,0.205556,Sa,train
,134.25333,0.505533,Sa,train
,118.19967,38.83110300000001,Sa,train
,137.62904,54.394778,Sa,train
,130.45483000000002,50.786492,Sa,train
,119.83478999999998,42.057067,Sa,train
,121.09637,43.582581,Sa,train
,125.90846,47.941072,Sa,train
,129.04858000000002,50.419064,Sa,test_expert
,133.10037,52.999022,Sa,test_expert
,134.64308,54.03690600000001,Sa,train
,137.19066999999998,55.505922,Sa,train
,116.18212,38.635,Sa,train
,131.23108,52.4842,Sa,test_expert
,120.36012,44.193611,Sa,valid
,129.87329,52.087136,Sa,valid
,156.05187,62.515614,Sa,train
,257.75442000000004,56.758278,Sa,train
,259.92467,52.895042,Sa,valid
,257.95754,57.11099399999999,Sa,train
,258.65567000000004,57.827364,Sa,test_expert
,258.82733,57.658858,Sa,test_expert
,259.03125,57.238339,Sa,valid
,259.64667000000003,56.057222,Sa,valid
,259.13992,57.869114,Sa,train
,255.53692,64.205911,Sa,valid
,261.12842,56.909772,Sa,train
,119.43429,40.022194,Sa,test_expert
,125.08854,45.534361,Sa,test_expert
,218.57071,59.65819200000001,Sa,train
,244.40154,46.082044,Sa,test_expert
,124.357,45.5812,Sa,test_expert
,193.79433,64.264622,Sa,train
,209.562,62.213361,Sa,train
,240.85046,49.452933,Sa,train
,240.88175,49.338219,Sa,train
,253.79387000000003,36.906264,Sa,test_expert
,119.33242,41.175289,Sa,train
,127.84521,49.227358,Sa,valid
,129.76733000000002,50.446139,Sa,train
,130.76629,51.325703,Sa,train
,149.21296,60.086736,Sa,train
,157.51775,62.208617,Sa,train
,159.26125,62.525508,Sa,valid
,122.83687,45.726767,Sa,test_expert
,128.18287,49.952425,Sa,valid
,156.72167,62.336586,Sa,test_expert
,211.40204,62.75076899999999,Sa,valid
,124.17217,47.613233,Sa,train
,130.31,52.195767,Sa,train
,135.93396,55.596783,Sa,valid
,226.0935,59.12548100000001,Sa,valid
,253.80067000000003,39.189428,Sa,train
,148.39337,61.261583,Sa,test_expert
,157.95012,63.657797,Sa,train
,222.97954,60.748392,Sa,train
,134.52053999999998,55.34235,Sa,test_expert
,120.53821,44.706269,Sa,train
,117.97942,42.855528,Sa,train
,119.063,44.038878,Sa,test_expert
,127.93704,52.354586,Sa,valid
,128.89342,52.788953,Sa,train
,130.71217,54.03014399999999,Sa,train
,147.73425,62.1858,Sa,valid
,115.53854,40.368494,Sa,test_expert
,116.78712,42.078692,Sa,train
,127.8105,52.706961,Sa,train
,160.06475,65.492053,Sa,test_expert
,172.79033,67.236186,Sa,train
,186.15354,67.649847,Sa,train
,115.48333,41.227639,Sa,test_expert
,129.01487,54.430836,Sa,test_expert
,155.18053999999995,65.172139,Sa,train
,164.31662,66.753097,Sa,valid
,177.9195,67.845036,Sa,train
,183.08917,68.120319,Sa,valid
,117.86762,44.89755,Sa,train
,126.60567,53.08276400000001,Sa,train
,156.51529,65.892028,Sa,train
,210.31192,66.33380799999999,Sa,test_expert
,215.99258,65.21678100000001,Sa,train
,258.69808,61.635281000000006,Sa,train
,259.30879,60.796158,Sa,valid
,259.67117,60.608206,Sa,train
,259.98271,60.149283,Sa,train
