objid,ra,dec,hubble,petroR90_g,group
J15534174-00342284,238.42392,-0.5730109999999999,Sb,18.65,train
J15471132+00242481,236.79717,0.406892,Sb,17.56,train
J12180855-01035082,184.53562,-1.064117,Sb,31.76,valid
J13070563-01103663,196.77346,-1.176842,Sb,0.0,test_expert
J13123698-01115102,198.15408,-1.197506,Sb,30.26,test_expert
J13325512-01093406,203.22967,-1.159461,Sb,23.18,train
J12141131-00495368,183.54712,-0.831578,Sb,21.97,train
J15093019-00461620,227.37579,-0.771167,Sb,23.8,valid
J11184296-00214198,169.679,-0.361661,Sb,13.43,train
J13112635-00145904,197.85979,-0.249733,Sb,63.29,train
J13580705-00233292,209.52937,-0.392478,Sb,18.6,train
J14021058-00141030,210.54408,-0.236194,Sb,39.34,test_expert
J14273171-00172447,216.88212,-0.290131,Sb,13.25,train
J15233398-00234535,230.89158,-0.395931,Sb,6.98,test_expert
J15272365-00150763,231.84854,-0.252119,Sb,6.07,train
J11590971+00000669,179.79046,0.001858,Sb,11.41,train
J12083130+00081139,182.13042,0.136497,Sb,50.91,train
J13104470+00015549,197.68625,0.032081,Sb,15.12,test_expert
J14013799+00040252,210.40829,0.067367,Sb,8.99,valid
J14183545+00092778,214.64771,0.157717,Sb,12.34,train
J15491928+00105757,237.33033,0.182658,Sb,22.79,valid
J11160933+00342472,169.03887,0.573533,Sb,27.11,train
J11204843+00345007,170.20179,0.580575,Sb,23.61,train
J13171077+00313919,199.29487,0.5275529999999999,Sb,19.24,test_expert
J13273815+00265482,201.90896,0.448561,Sb,14.12,train
J14450329+00313712,221.26371,0.526978,Sb,27.77,train
J11281639+00532878,172.06829,0.8913280000000001,Sb,26.42,test_expert
J13125605+00562821,198.23354,0.941169,Sb,10.8,train
J13171092+00544882,199.2955,0.913561,Sb,19.13,train
J13323885+00521371,203.16187,0.870475,Sb,14.29,train
J14231469+00584204,215.81121,0.978344,Sb,37.52,test_expert
J14280453+01002259,217.01887,1.006275,Sb,12.59,valid
J14461335+00515777,221.55562,0.8660469999999999,Sb,13.58,train
J11400622-00540511,175.02592,-0.901419,Sb,27.54,valid
J13330534-01020889,203.27225,-1.035803,Sb,23.71,train
J09220974-00322243,140.54058,-0.539564,Sb,17.96,train
J12572486-00372095,194.35358,-0.622486,Sb,8.76,train
J14082485-00352089,212.10354,-0.589136,Sb,14.7,test_expert
J09524393-00032991,148.18303999999995,-0.05830800000000001,Sb,13.42,train
J10295263-00102775,157.46929,-0.174375,Sb,13.53,train
J10361428-00093248,159.0595,-0.159022,Sb,10.36,train
J11092531-00055175,167.35546000000005,-0.097708,Sb,27.28,valid
J11390333-00122160,174.76387,-0.206,Sb,21.12,valid
J12095308-00005764,182.47117,-0.016011,Sb,18.43,test_expert
J12103557-00101738,182.64821,-0.171494,Sb,12.97,train
J13282885-00064014,202.12021,-0.11115,Sb,11.78,test_expert
J14115380-00020307,212.97417,-0.034186,Sb,16.371,train
J09545515+00224313,148.72978999999995,0.378647,Sb,16.64,valid
J10073413+00163813,151.89221,0.277258,Sb,15.02,train
J10215159+00243637,155.46496000000005,0.410103,Sb,8.43,valid
J10495939+00211173,162.49746000000005,0.353258,Sb,12.32,train
J11251790+00210174,171.32458,0.350483,Sb,24.43,valid
J13214648+00125521,200.44367,0.215336,Sb,31.76,valid
J14352534+00200371,218.85558,0.334364,Sb,6.63,train
J13475568+00465459,206.982,0.781831,Sb,30.74,train
J14032784+00435960,210.866,0.733222,Sb,25.03,train
J14545312+00382548,223.72133,0.640411,Sb,12.1,train
J15291142+00432728,232.29758,0.724244,Sb,14.75,train
J11000105+01064403,165.00437,1.112231,Sb,13.54,valid
J12160448+01104953,184.01867,1.180425,Sb,11.22,train
J13105862+01084252,197.74425,1.1451440000000002,Sb,15.21,train
J01032040+14014999,15.835,14.030553,Sb,11.62,test_expert
J01314228+13345576,22.926170000000006,13.582156,Sb,16.92,train
J02005507+12560874,30.22946,12.935761,Sb,10.37,valid
J01252368+14311195,21.34867,14.519986,Sb,34.82,valid
J01303999+14261325,22.66662,14.437014,Sb,16.09,valid
J00594011+15195152,14.91712,15.330978,Sb,12.88,test_expert
J01125942+15352920,18.24758,15.591444,Sb,16.48,train
J00354693+13590150,8.94554,13.98375,Sb,17.56,train
J00384743+14285892,9.69762,14.483033,Sb,20.99,train
J01492482+13220824,27.35342,13.368956,Sb,22.5,train
J02085136+13214896,32.214,13.3636,Sb,12.82,train
J01283987+14455380,22.166120000000006,14.764944,Sb,19.9,test_expert
J02035915+14183728,30.99646,14.310356,Sb,5.34,train
J01132448+15465794,18.352,15.782761,Sb,12.66,valid
J01565068+14522427,29.211170000000006,14.873408,Sb,18.77,valid
J01571006+14550094,29.29192,14.916928,Sb,13.77,train
J02112184+14301547,32.841,14.504297,Sb,16.16,train
J02425963-09012919,40.74846,-9.024775,Sb,23.63,train
J02401612-08463703,40.06717,-8.776953,Sb,68.61,valid
J02522339-08303751,43.09746,-8.510419,Sb,19.96,train
J02554652-08243160,43.94383,-8.408778,Sb,23.71,train
J03335881-07082663,53.49504,-7.140731,Sb,30.56,train
J03425917-06554557,55.74654,-6.929325,Sb,15.62,train
J03332945-06514828,53.37271,-6.863411,Sb,31.39,train
J03213997-06380822,50.41654000000001,-6.635617,Sb,21.83,train
J03251157-06105148,51.29821,-6.180967,Sb,24.46,train
J03141476-06051104,48.5615,-6.0864,Sb,42.32,train
J03301326-05323595,52.55525,-5.543319,Sb,30.73,train
J03300952-05311794,52.53967,-5.52165,Sb,68.83,test_expert
J11474598-03191167,176.94158000000004,-3.3199080000000003,Sb,16.54,test_expert
J12164407-03254900,184.18362,-3.430278,Sb,22.54,train
J12054768-02595549,181.44867,-2.9987470000000003,Sb,13.66,test_expert
J12442812-03001888,191.11717,-3.005244,Sb,20.79,train
J12225439-02400886,185.72662,-2.669128,Sb,13.02,train
J12390626-02302951,189.77608,-2.508197,Sb,19.39,train
J12592578-02145445,194.85742,-2.2484580000000003,Sb,6.82,train
J11321451-01181086,173.06046,-1.303017,Sb,10.41,valid
J11313813-03385182,172.90887,-3.647728,Sb,29.58,test_expert
J11493817-03340864,177.40904,-3.569067,Sb,16.9,train
J12044345-03330495,181.18104,-3.551375,Sb,7.09,train
J11360453-03060505,174.01887,-3.101403,Sb,17.81,valid
J12590502-03084473,194.77092,-3.1457580000000003,Sb,28.56,train
J11351836-02462661,173.8265,-2.774058,Sb,21.07,train
J11362274-02492822,174.09475,-2.824506,Sb,15.48,valid
J11364896-02144746,174.204,-2.246517,Sb,54.65,train
J12144025-02265421,183.66771,-2.448392,Sb,23.79,train
J12280520-01392932,187.02167,-1.6581439999999998,Sb,16.18,valid
J08540851+00295484,133.53546,0.498567,Sb,10.73,train
J09165003+00342175,139.20846,0.572708,Sb,12.44,train
J07531615+39030053,118.31729,39.050147,Sb,15.27,test_expert
J08244490+46542604,126.18708,46.90723300000001,Sb,25.65,train
J07530705+39443977,118.27937,39.744381,Sb,16.54,train
J08523561+52215945,133.14837,52.366514,Sb,16.16,valid
J07484187+39034180,117.17446,39.061611,Sb,9.8,train
J07594649+42152674,119.94371,42.257428,Sb,32.521,train
J08175979+46341474,124.49912,46.570761,Sb,61.78,test_expert
J07461882+39040065,116.57842,39.066847,Sb,43.15,train
J07493849+40111078,117.41037,40.186328,Sb,22.02,train
J07511269+40443287,117.80287,40.742464,Sb,15.3,test_expert
J08164150+47064982,124.17292,47.113839,Sb,17.4,train
J08460220+52315923,131.50916999999998,52.53311899999999,Sb,17.05,train
J08354921+51350022,128.95504,51.583394,Sb,21.36,train
J09091607+56354240,137.31696000000002,56.595111,Sb,11.59,test_expert
J10352806+61391217,158.86692,61.653381,Sb,13.91,train
J10375925+61531110,159.49687,61.886417,Sb,15.48,valid
J10421275+62590116,160.55312,62.983656,Sb,8.79,train
J10123681+61563560,153.15337,61.943222,Sb,15.01,valid
J10354956+63321393,158.9565,63.53720300000001,Sb,11.11,train
J16515060+63425262,252.96083,63.714617,Sb,26.22,valid
J17195687+54172558,259.98696,54.290439,Sb,15.55,train
J16534290+64050717,253.42875,64.085325,Sb,21.75,train
J17233715+53302872,260.90479,53.507978,Sb,13.99,train
J17163742+58244296,259.15592000000004,58.411933,Sb,33.84,train
J16482024+62583542,252.08433,62.97650600000001,Sb,28.5,train
J17045767+58164769,256.24029,58.279914,Sb,27.04,train
J17180743+55483067,259.53096,55.808519,Sb,28.21,test_expert
J17212512+54181805,260.35467,54.305014,Sb,25.75,train
J17165770+57284822,259.24042000000003,57.480061,Sb,22.96,train
J17191993+57540129,259.83304,57.900358,Sb,16.38,train
J17205474+57055300,260.22808,57.09805600000001,Sb,9.59,test_expert
J17244195+57095379,261.17479,57.164942,Sb,11.1,valid
J16264346+43532346,246.68108,43.88985,Sb,20.21,train
J16263106+43582643,246.62942,43.97400800000001,Sb,28.56,valid
J08550901+52281381,133.78753999999998,52.470503,Sb,35.25,train
J13483086+63074936,207.12858,63.130378,Sb,11.38,test_expert
J14195703+61283548,214.98762,61.476522,Sb,17.54,train
J15513219+52025345,237.88412,52.048181,Sb,18.94,train
J16131534+48140616,243.31392,48.235044,Sb,19.46,test_expert
J16304134+44304849,247.67225,44.513469,Sb,23.83,valid
J16542485+37495650,253.60354,37.832361,Sb,12.25,valid
J16595938+36014467,254.99742,36.029075,Sb,9.43,train
J08300200+49411014,127.50833,49.68615,Sb,25.58,train
J08435132+51592842,130.96383,51.991228,Sb,11.95,valid
J15551091+52100682,238.79546,52.168561,Sb,13.06,train
J16131487+48513741,243.31196,48.860392,Sb,16.56,train
J08501499+53403221,132.56246000000002,53.675614,Sb,4.29,valid
J15132919+58122487,228.37162,58.206908,Sb,10.11,train
J13020659+65474571,195.52746,65.796031,Sb,10.03,train
J07393536+37450559,114.89733,37.751553,Sb,8.57,train
J07390270+37505729,114.76125,37.849247,Sb,17.44,train
J07502212+41155408,117.59217,41.265022,Sb,17.48,train
J08024816+45020435,120.70067,45.034542,Sb,12.81,valid
J08060354+45505213,121.51475,45.847814,Sb,58.02,valid
J08361113+52310769,129.04637,52.51880300000001,Sb,10.73,test_expert
J08385318+53001677,129.72158000000002,53.004658,Sb,20.54,train
J08480576+54261633,132.024,54.43786899999999,Sb,14.06,train
J10350901+64270270,158.78753999999995,64.45075,Sb,10.95,train
J11392308+66211455,174.84617,66.354042,Sb,19.73,test_expert
J13275443+65503118,201.97679,65.841994,Sb,38.21,valid
J08001560+45135856,120.065,45.232933,Sb,37.39,train
J08093551+47202873,122.39796,47.341314,Sb,40.32,train
J08324278+52263264,128.17825,52.4424,Sb,13.99,train
J08344503+52425668,128.68761999999998,52.715744,Sb,37.29,valid
J10231965+64434642,155.83187,64.729561,Sb,27.34,test_expert
J11320967+67060431,173.04029,67.101197,Sb,12.73,train
J07563518+45330582,119.14658,45.551617,Sb,17.09,train
J10483794+66214352,162.15808,66.362089,Sb,80.93,test_expert
J14074195+65370822,211.92479,65.61895,Sb,13.05,train
J08332559+54333297,128.35662,54.559158,Sb,10.59,test_expert
J08440990+56152527,131.04125,56.25701899999999,Sb,13.75,train
J14380937+64244031,219.53904,64.411197,Sb,14.78,train
J17070259+64193382,256.76079,64.326061,Sb,22.54,test_expert
J17221957+59043545,260.58154,59.076514,Sb,21.15,valid
J17283753+57084237,262.15637000000004,57.14510300000001,Sb,17.29,valid
J17295239+56493490,262.46829,56.826361,Sb,17.77,train
J17202574+62361347,260.10725,62.603742,Sb,13.78,test_expert
J17270959+60014209,261.78996,60.028358,Sb,19.38,train
J17284976+58312536,262.20733,58.523711,Sb,32.18,valid
J17300844+59315481,262.53517,59.531892000000006,Sb,13.98,train
J17383901+56492759,264.66254,56.82433100000001,Sb,10.07,valid
J17253137+59330199,261.38071,59.550553,Sb,16.3,valid
J17304540+56580049,262.68917000000005,56.96680300000001,Sb,20.25,train
J17275528+59575897,261.98033,59.96638100000001,Sb,21.27,train
J17310675+59580037,262.77812,59.96676899999999,Sb,14.13,test_expert
J07513563+42524838,117.89846,42.880106,Sb,45.37,test_expert
J07424078+40554599,115.66992,40.929442,Sb,16.16,train
J07321400+38084865,113.05833,38.146847,Sb,11.56,test_expert
J11174030+65450023,169.41792,65.750064,Sb,26.29,test_expert
J11254206+65543881,171.42525,65.910781,Sb,21.13,train
J15165438+58495432,229.22658,58.83175600000001,Sb,33.06,train
J15353690+56274231,233.90375,56.461753,Sb,36.48,train
J09411291+61034110,145.30379,61.06141700000001,Sb,66.1,train
J12105356+66552689,182.72317,66.924136,Sb,24.41,train
J13142657+66274082,198.61071,66.461339,Sb,12.74,test_expert
J15364629+56560044,234.19287000000003,56.93345600000001,Sb,17.76,valid
J15373060+56435216,234.3775,56.73115600000001,Sb,13.42,valid
J14444705+62454762,221.19604,62.76322800000001,Sb,8.8,test_expert
J15322727+58104882,233.11362000000003,58.180228,Sb,17.59,test_expert
J15504213+55363862,237.67554,55.610728,Sb,7.96,test_expert
J12225659+67453782,185.73579,67.760506,Sb,30.76,train
J14420181+63195059,220.50754,63.330719,Sb,30.29,train
J15582398+54555219,239.59992000000003,54.931164,Sb,13.17,train
J11011722+67062322,165.32175,67.10645,Sb,41.65,train
J14144126+65383646,213.67192000000003,65.643461,Sb,14.14,train
J15025913+62091523,225.74637,62.154231,Sb,8.76,train
J15542663+56021660,238.61096,56.037944,Sb,36.5,train
J16073657+53573055,241.90237,53.958486,Sb,9.57,train
J16184649+51402579,244.69371,51.673831,Sb,9.82,valid
J09324924+62201272,143.20516999999995,62.33686700000001,Sb,34.3,train
J15145134+61393015,228.71392000000003,61.658375,Sb,15.9,test_expert
J08302488+51421254,127.60367,51.703483,Sb,11.01,train
J08343271+53513266,128.63629,53.859072,Sb,19.63,train
J08440262+55135438,131.01092,55.231772,Sb,43.77,test_expert
J08353556+54324110,128.89817,54.54475,Sb,15.12,train
J16254967+48060155,246.45696,48.100431,Sb,11.5,train
J16360351+45444761,249.01462,45.746558,Sb,21.24,train
J16383356+45083110,249.63983,45.141972,Sb,16.04,train
J16423479+43541797,250.64496,43.904992,Sb,13.17,train
J16584470+38483224,254.68625,38.808956,Sb,18.31,train
J16310805+47470166,247.78354,47.783794,Sb,11.57,train
J16545298+41121378,253.72075,41.203828,Sb,26.08,train
J16282098+49043743,247.08742,49.077064,Sb,18.99,valid
J12041999+01340324,181.08329,1.567567,Sb,45.96,train
J12073808+01342716,181.90867,1.574211,Sb,8.57,train
J12383859+01282254,189.66079,1.472928,Sb,25.48,train
J13184549+01231052,199.68954,1.386256,Sb,3.86,train
J15003931+01015143,225.16379,1.030953,Sb,19.62,valid
J13340608+01451607,203.52533,1.754464,Sb,58.46,train
J13421502+01512683,205.56258,1.857453,Sb,19.41,train
J14163082+01370798,214.12842,1.618883,Sb,14.83,train
J14175673+01431492,214.48637,1.720811,Sb,12.1,train
J14501033+01230052,222.54304,1.383478,Sb,11.04,train
J15095552+01241112,227.48133,1.403089,Sb,14.07,train
J13465718+02065213,206.73825,2.114481,Sb,20.83,valid
J14183769+02024521,214.65704,2.045892,Sb,11.56,valid
J14250676+02010397,216.27817,2.017769,Sb,17.47,train
J15012076+01454361,225.3365,1.762114,Sb,19.46,train
J15115734+01483429,227.98892,1.809525,Sb,18.17,test_expert
J15135790+01440459,228.49125,1.734608,Sb,6.58,valid
J15033206+02133244,225.88358,2.225678,Sb,8.22,valid
J12354804+03120646,188.95017,3.201794,Sb,18.39,train
J13075080+03114082,196.96167,3.194672,Sb,19.12,test_expert
J13354824+02595613,203.951,2.998925,Sb,21.94,train
J15132080+02304957,228.33667000000003,2.513769,Sb,40.01,valid
J12430936+03345236,190.789,3.581211,Sb,13.15,train
J10590585+01105539,164.77437,1.182053,Sb,23.57,test_expert
J12424072+01204480,190.66967,1.345778,Sb,80.75,test_expert
J09264472+01091545,141.68633,1.154292,Sb,11.34,train
J09354130+01134749,143.92208,1.229858,Sb,10.65,train
J09363536+01065980,144.14733,1.116611,Sb,16.82,train
J09363921+01150113,144.16337,1.250314,Sb,12.96,train
J09492291+01084351,147.34546,1.145419,Sb,12.29,valid
J09565055+01201932,149.21062,1.3387,Sb,60.0,test_expert
J10064947+01272629,151.70612,1.457303,Sb,10.47,train
J10270757+01293448,156.78153999999995,1.492911,Sb,70.84,train
J11325287+01485043,173.22028999999995,1.814008,Sb,22.06,train
J11474368+01493436,176.93200000000004,1.826211,Sb,39.53,valid
J12040974+01493345,181.04058,1.825958,Sb,21.17,valid
J13120384+01384403,198.016,1.645564,Sb,22.62,test_expert
J13344464+01421832,203.686,1.705089,Sb,5.51,train
J14095561+01283644,212.48171,1.476789,Sb,10.69,test_expert
J14104186+01284986,212.67442000000003,1.480517,Sb,10.28,train
J14583944+01165754,224.66433,1.28265,Sb,18.47,valid
J14304233+01525319,217.67637,1.881442,Sb,24.91,train
J14324552+01523887,218.18967,1.877464,Sb,12.21,train
J08534072+01334860,133.41967,1.5635,Sb,41.83,train
J11311090+02283276,172.79542,2.475767,Sb,31.75,test_expert
J12055945+02295366,181.49771,2.498239,Sb,7.0,valid
J12294970+02310916,187.45708,2.519211,Sb,11.45,test_expert
