objid,ra,dec,hubble,group
,236.30996,0.772192,Sc,test_expert
,179.86346,-1.155133,Sc,test_expert
,190.73858,-1.229425,Sc,valid
,191.97075,-1.185844,Sc,train
,173.18929,-0.741008,Sc,test_expert
,213.065,-0.633022,Sc,train
,226.44529,-0.714917,Sc,train
,229.44371,-0.776119,Sc,train
,173.98925,-0.273217,Sc,train
,202.45242,-0.294164,Sc,train
,204.68929,-0.416839,Sc,valid
,227.90417,-0.272944,Sc,train
,187.113,0.142406,Sc,test_expert
,213.375,0.185839,Sc,valid
,227.20683,0.178064,Sc,train
,169.70646000000005,0.619275,Sc,train
,187.279,0.5810810000000001,Sc,test_expert
,219.77975,0.508625,Sc,train
,230.40775,0.4660220000000001,Sc,test_expert
,173.13842,0.998064,Sc,train
,211.01546,0.8965139999999999,Sc,train
,214.56212,0.891086,Sc,train
,216.72121,0.962856,Sc,valid
,226.60608,0.929128,Sc,train
,153.44508000000005,-0.914236,Sc,train
,156.18,-0.880308,Sc,train
,156.20967,-0.895267,Sc,train
,160.21358,-0.922028,Sc,train
,165.74053999999995,-0.962117,Sc,train
,185.30392,-0.864242,Sc,test_expert
,193.90371,-0.883761,Sc,valid
,196.91121,-0.942461,Sc,train
,213.55487,-0.894394,Sc,valid
,221.83192000000003,-0.9575,Sc,train
,222.289,-0.902839,Sc,train
,139.37079,-0.620583,Sc,test_expert
,144.10962,-0.571353,Sc,train
,144.95767,-0.561531,Sc,train
,163.3365,-0.606383,Sc,train
,179.98436999999996,-0.548208,Sc,train
,211.21925,-0.611269,Sc,train
,130.61362,-0.14516700000000002,Sc,valid
,134.44717,-0.199961,Sc,train
,136.731,-0.031311,Sc,test_expert
,172.99428999999995,-0.050322000000000006,Sc,test_expert
,189.52221,-0.027017000000000003,Sc,train
,211.27454,-0.06405599999999999,Sc,test_expert
,214.70858,-0.093806,Sc,train
,131.70321,0.303519,Sc,train
,143.54362,0.257936,Sc,train
,145.80017,0.414161,Sc,valid
,150.29946,0.329339,Sc,train
,157.9405,0.387933,Sc,train
,159.239,0.22975,Sc,test_expert
,162.29692,0.379058,Sc,valid
,162.88429,0.257319,Sc,train
,167.17042,0.391736,Sc,train
,180.075,0.294986,Sc,train
,186.56012,0.267203,Sc,train
,221.21712,0.365806,Sc,train
,134.82992,0.7977609999999999,Sc,train
,149.35467,0.730928,Sc,test_expert
