objid,ra,dec,petroR90_g,hubble
587722981741625545,183.5668128,-1.13589456,6.268754,E2
587722981742149756,184.79642204,-1.09375499,5.909348,E0
587722981743198320,187.08245895,-1.12766972,5.481301,E3
587722981745098894,191.50576289,-1.07320013,8.210134,E1
587722981745230031,191.76845219,-1.21476953,4.040918,E3
587722981745361071,192.09307972,-1.1709462,6.521426,E0
587722981745492006,192.39745448,-1.05926786,7.151295,E3
587722981746671830,195.01043765,-1.21633969,4.315583,E3
587722981747982424,197.99812441,-1.13506563,6.987568,E1
587722981748047990,198.14058186,-1.09187545,5.481828,E1
587722981748572353,199.45458759,-1.20375779,9.085848,E2
587722981748703487,199.75719568,-1.14417982,9.397291,E3
587722981748965446,200.2913129,-1.20168168,3.54059,E3
587722981750407198,203.56332367,-1.08050765,3.987909,E3
587722981750669440,204.2234227,-1.0955498,5.825,E0
587722981751193901,205.4512332,-1.11215049,5.710853,E0
587722982278758580,184.20460114,-0.7417948,15.212095,E3
587722982281642176,190.78950114,-0.78370511,9.762815,E0
587722982283346153,194.64537906,-0.71145886,8.764482,E2
587722982284460121,197.20879913,-0.81731721,26.114828,E2
587722982284460285,197.23067521,-0.69870633,3.888007,E1
587722982284525759,197.37636458,-0.64458093,7.54231,E1
587722982285312200,199.13319776,-0.81435232,5.227158,E1
587722982285574398,199.75809827,-0.66221589,6.28204,E1
587722982285836460,200.29639978,-0.71900232,6.288136,E0
587722982285836514,200.33785512,-0.71122246,5.535733,E2
587722982285901983,200.39984599,-0.69846622,4.995341,E4
587722982285902085,200.48247435,-0.63868555,7.698207,E2
587722982286360622,201.48375592,-0.70239355,3.019877,E3
587722982286819508,202.5580832,-0.64792481,6.562038,E1
587722982286950556,202.81476067,-0.65272224,7.963961,E2
587722982288457791,206.2552075,-0.82326243,6.229826,E3
587722982289965171,209.67523388,-0.65800802,11.113002,E2
587722982290489533,210.89081572,-0.76794114,7.435701,E4
587722982290686147,211.35071143,-0.79290845,4.105525,E1
587722982290751667,211.47467423,-0.74541685,8.857888,E3
587722982291603595,213.47281556,-0.75754864,6.832651,E1
587722982291800248,213.92193208,-0.64771972,6.339069,E0
587722982292652177,215.85060574,-0.76445278,6.715055,E3
587722982293045429,216.72046013,-0.734437,4.9211,E1
587722982293176482,217.03262029,-0.66841606,4.948188,E3
587722982293242003,217.16033334,-0.8306571,8.288331,E0
587722982293766175,218.37600046,-0.81034133,5.224873,E1
587722982294618357,220.43594773,-0.82699578,6.244765,E1
587722982298222892,228.58241868,-0.83206809,6.441825,E1
587722982298484955,229.1519934,-0.66744961,7.5611,E0
587722982298550739,229.35780953,-0.64012614,5.9371,E0
587722982299926764,232.44322828,-0.77079374,5.15493,E3
587722982299926855,232.50744736,-0.77824611,5.998299,E3
587722982300516593,233.79045618,-0.66389192,13.651777,E3
587722982815957103,184.83688992,-0.2415394,5.327054,E1
587722982816088280,185.17863157,-0.29002542,5.5917,E1
587722982818054327,189.67864124,-0.33139555,4.689728,E0
587722982818250860,190.06231605,-0.22534916,6.292509,E2
587722982818971756,191.7083044,-0.2410498,7.544406,E1
587722982819037412,191.97024476,-0.22505724,6.953532,E3
587722982819365056,192.6996089,-0.24023107,7.692604,E3
587722982819627098,193.21424619,-0.32180765,4.485514,E1
587722982821068957,196.49335403,-0.37389301,4.585249,E3
587722982821920961,198.50113597,-0.35065762,6.566361,E1
587722982824607918,204.60739423,-0.4125972,4.235025,E3
587722982824935686,205.38905361,-0.4089114,7.440248,E0
587722982825001020,205.55085092,-0.29379893,3.706284,E1
587722982825001153,205.53341269,-0.27543561,15.578838,E2
587722982826180641,208.18598827,-0.25726262,6.830363,E1
587722982827491448,211.17041251,-0.41306738,6.864597,E4
587722982827622508,211.59486242,-0.22366437,10.1785,E3
587722982828343454,213.2087393,-0.29579883,9.666999,E1
587722982828605602,213.71537419,-0.29320897,11.348382,E2
587722982830506274,218.09195955,-0.22670848,5.58057,E2
587722982832144516,221.85016906,-0.40305029,10.592667,E1
587722982832668823,223.08090459,-0.26920906,5.378096,E3
587722982834438583,227.1336675,-0.28598721,6.157845,E0
587722982835224887,228.85190669,-0.34017977,6.128486,E3
587722982836142432,230.95007917,-0.28380012,3.969602,E1
587722982836863293,232.59935281,-0.33896213,10.600351,E1
587722983352041676,183.15344271,0.1938194,6.201512,E0
587722983352696940,184.5939018,0.16744472,6.994044,E2
587722983352959073,185.13673054,0.07150899,9.584965,E3
587722983353811110,187.15246857,0.19939638,4.538043,E2
587722983353876616,187.25946946,0.20005275,8.326436,E2
587722983355384011,190.66681128,0.15721292,6.716836,E3
587722983355777191,191.59730473,0.18098332,4.471951,E2
587722983355777219,191.64371995,0.12887326,8.438556,E1
587722983355908235,191.90821823,0.05749469,4.351756,E3
587722983356170385,192.46496755,0.19823401,6.089238,E2
587722983358464177,197.72734411,0.06396408,6.74188,E3
587722983358464224,197.7628945,0.05218017,4.532673,E2
587722983360102595,201.53053785,0.16148348,5.493609,E1
587722983360102619,201.54314592,0.08554842,5.47318,E3
587722983361085535,203.79521019,0.20722834,7.307558,E1
587722983362134316,206.16311653,0.04028191,5.886735,E1
587722983362199637,206.30194778,0.10811098,5.50649,E5
587722983363313823,208.78578238,0.16289091,4.651342,E1
587722983364427884,211.39752146,0.18498435,6.073931,E0
587722983365869690,214.60926275,0.16939658,6.374966,E0
587722983365935319,214.80302678,0.00162681,4.859489,E0
587722983367115055,217.58210206,0.1191366,8.971279,E1
587722983367180444,217.6187829,0.17258408,6.894572,E2
587722983368229192,220.05761279,0.01084985,9.575003,E1
