SDSS,petroR90_g,b_a,TT,Bar,RA,DE,hubble,ellip
J15534174-00342284,18.65,0.794,3,0,238.42392,-0.573011,Sb,-99
J15514683-00061862,13.93,0.954,-5,0,237.94512,-0.105172,E0,0
J15445322+00241548,11.33,0.848,-2,0,236.22175,0.4043,S0,-99
J15471132+00242481,17.56,0.854,4,0,236.79717,0.406892,Sb,-99
J15451439+00461989,38.48,0.329,5,0,236.30996,0.772192,Sc,-99
J15525543+00430487,6.54,0.76,-5,0,238.23096,0.718019,E2,2
J15535740+00411711,10.84,0.486,1,4,238.48917,0.688086,SBa,-99
J11012200-01082489,13.89,0.755,-5,0,165.34167,-1.140247,E2,2
J11240863-01092783,10.71,0.617,0,0,171.03596,-1.157731,S0,-99
J11305791-01085106,8.77,0.952,-2,0,172.74129,-1.147517,S0,-99
J11383327-01110416,33.85,0.671,2,0,174.63862,-1.184489,Sa,-99
J11592723-01091848,12.99,0.286,5,0,179.86346,-1.155133,Sc,-99
J12015564-01040934,22.83,0.234,1,0,180.48183,-1.069261,Sa,-99
J12180855-01035082,31.76,0.505,3,0,184.53562,-1.064117,Sb,-99
J12415907-01104398,11.24,0.921,6,2,190.49612,-1.178883,SBc,-99
J12425726-01134593,80.35,0.244,5,0,190.73858,-1.229425,Sc,-99
J12475298-01110904,30.27,0.146,5,0,191.97075,-1.185844,Sc,-99
J12485991-01093543,10.34,0.463,0,0,192.24962,-1.159842,S0,-99
J13070563-01103663,0,0.583,3,0,196.77346,-1.176842,Sb,-99
J13123698-01115102,30.26,0.773,3,0,198.15408,-1.197506,Sb,-99
J13325512-01093406,23.18,0.749,3,0,203.22967,-1.159461,Sb,-99
J14072205-01054697,15.99,0.541,0,0,211.84187,-1.096381,S0,-99
J14252944-01035824,11.15,0.683,3,4,216.37267,-1.066178,SBb,-99
J11012721-00430593,10.62,0.541,-2,0,165.36337,-0.718314,S0,-99
J11043198-00434984,5.22,0.788,-3,0,166.13325,-0.730511,S0,-99
J11050921-00474910,17.55,0.374,1,8,166.28837,-0.796972,SBa,-99
J11111691-00492703,20.86,0.872,-5,0,167.82046,-0.824175,E1,1
J11202363-00475977,12.14,0.944,-5,0,170.09846,-0.799936,E1,1
J11232698-00424885,5.39,0.972,-5,0,170.86242,-0.713569,E0,0
J11253507-00460566,18.67,0.834,-5,0,171.39612,-0.768239,E2,2
J11324543-00442763,19.36,0.815,6,0,173.18929,-0.741008,Sc,-99
J11553798-00461426,5.18,0.538,4,2,178.90825,-0.770628,SBb,-99
J12012792-00430618,73.48,0.707,2,4,180.36633,-0.718383,SBa,-99
J12141131-00495368,21.97,0.576,3,0,183.54712,-0.831578,Sb,-99
J12164910-00443047,16.25,0.844,-5,0,184.20458,-0.741797,E2,2
J12175289-00392602,12.07,0.592,2,0,184.47037,-0.657228,Sa,-99
J12463210-00383677,10.7,0.429,0,0,191.63375,-0.643547,S0,-99
J12571515-00392752,8.34,0.409,1,0,194.31312,-0.657644,Sa,-99
J13020358-00501235,15.3,0.893,-5,0,195.51492,-0.836764,E1,1
J13085011-00490235,26.63,0.667,-5,0,197.20879,-0.817319,E3,3
J13085534-00480577,11.58,0.342,1,8,197.23058,-0.801603,SBa,-99
J13090363-00455762,15.32,0.785,0,72,197.26512,-0.766006,S0,-99
J13223488-00404699,7.71,0.543,1,8,200.64533,-0.679719,SBa,-99
J13575680-00400069,15.29,0.621,1,8,209.48667,-0.666858,SBa,-99
J14045174-00382981,30.14,0.792,1,4,211.21558,-0.641614,SBa,-99
J14052526-00484084,16.02,0.559,3,4,211.35525,-0.811344,SBb,-99
J14080052-00491852,10.51,0.929,-5,0,212.00217,-0.821811,E1,1
J14102683-00495653,6.9,0.47,0,72,212.61179,-0.832369,S0,-99
J14121560-00375888,16.32,0.325,5,0,213.065,-0.633022,Sc,-99
J14122485-00495526,6.09,0.794,-5,0,213.10354,-0.832017,E2,2
J14150062-00474902,10.87,0.578,-5,0,213.75258,-0.79695,E4,4
J14162895-00443796,19.43,0.499,4,8,214.12062,-0.743878,SBb,-99
J14214976-00463882,9.19,0.91,-3,0,215.45733,-0.77745,S0,-99
J14241099-00404407,16.89,0.354,3,68,216.04579,-0.678908,SBb,-99
J15054687-00425370,26.21,0.404,5,0,226.44529,-0.714917,Sc,-99
J15093019-00461620,23.8,0.543,3,0,227.37579,-0.771167,Sb,-99
J15175157-00473554,11.27,0.865,-5,0,229.46487,-0.793206,E1,1
J15174649-00463403,21.15,0.751,5,0,229.44371,-0.776119,Sc,-99
J15252367-00423589,12.83,0.936,1,4,231.34862,-0.709969,SBa,-99
J15303329-00483353,19.98,0.925,-5,0,232.63871,-0.809314,E1,1
J15350971-00395002,9.67,0.88,-5,0,233.79046,-0.663894,E1,1
