objid,ra,dec,petroR90_g,hubble
587722981750276247,203.22968952,-1.15946091,17.306829,Sa
587722982278496424,183.54716272,-0.83157081,17.58506,Sa
587722982284656858,197.67621817,-0.66456616,9.163369,Sa
587722982286360744,201.43550299,-0.64696243,10.835892,Sa
587722982295404708,222.08932066,-0.80754179,10.646396,Sa
587722982297698635,227.37580482,-0.77117021,14.600284,Sa
587722982300254526,233.17290963,-0.6981823,7.965409,Sa
587722982818578564,190.85380235,-0.25574711,8.104207,Sa
587722982818906342,191.66339046,-0.32362591,9.105545,Sb
587722982823624928,202.45245628,-0.29416411,19.841438,Sb
587722982826573968,209.11539304,-0.37312183,8.241224,Sb
587722982827163944,210.54409228,-0.23619206,22.049648,Sb
587722982830375059,217.74366722,-0.30306246,10.151033,Sc
587722982832669003,223.08321841,-0.22581931,8.697767,Sb
587722982834766073,227.90417504,-0.27293909,13.137946,Sa
587722982835749172,230.06304911,-0.31782972,5.666265,Sb
587722982837190737,233.34214169,-0.41568961,9.195703,Sb
587722983360430255,202.20470864,0.04950572,16.720652,Sa
587722983361610010,204.97221583,0.0483337,11.935383,Sb
587722983363969239,210.40830767,0.06737005,8.390398,Sa
587722983365869710,214.64774986,0.15771696,11.225245,Sc
587722983369998691,224.16413776,0.0499106,9.464767,Sb
587722983370653979,225.58744393,0.18482869,8.346881,Sa
587722983889633437,184.78929475,0.43410554,10.462942,Sb
587722983895924839,199.17114833,0.58909062,6.67774,Sb
587722983897956617,203.78303515,0.47172237,8.935904,Sb
587722983899005139,206.15584113,0.56152758,8.574279,Sa
587722983905100085,220.12240871,0.58408682,15.933392,Sa
587722983905624360,221.26371937,0.52697745,19.960176,Sa
587722983908311408,227.37864218,0.51328044,9.997029,Sa
587722984432861243,199.29553874,0.9135623,15.577374,Sa
587722984438038540,211.01545268,0.89652514,11.439748,Sb
587724648180416563,173.43860398,-3.43701344,23.275364,Sb
587724648182120707,177.35904173,-3.41410275,9.936231,Sa
587724648185135182,184.1836749,-3.43028068,13.789053,Sa
587724648190181499,195.77883699,-3.31303157,7.551942,Sb
587724648721809548,183.71498341,-3.01116881,9.360284,Sa
587724648723054727,186.57934688,-2.93162396,10.742202,Sa
587724648728690896,199.57533294,-2.85822659,13.263505,Sa
587724649254420681,174.0448813,-2.5279486,10.078236,Sa
587724649255272543,176.01636058,-2.55837706,19.244816,Sa
587724649256124521,177.98402173,-2.64242142,17.128187,Sa
587724649261432996,190.07653317,-2.57798272,8.323269,Sc
587724649262809246,193.24615451,-2.47894116,11.898499,Sb
587724649792340018,176.39424883,-2.19062503,8.357574,Sb
587724649793650785,179.36059841,-2.24772719,14.334729,Sa
587724649793716442,179.50456654,-2.1772971,16.161713,Sa
587724649794240676,180.69635937,-2.15565458,11.595073,Sa
587724650327441416,172.32470556,-1.70801056,14.918169,Sb
587724650334716011,188.97806789,-1.85386643,20.510872,Sa
587724650864050209,171.73334974,-1.3210343,18.121054,Sa
587724650864574666,173.06048695,-1.3030212,11.347332,Sa
587724650872373387,190.76253223,-1.28274192,18.521219,Sa
587725039019950218,184.03553208,-3.57013959,22.161461,Sa
587725039020146853,184.57579213,-3.68605213,6.315717,Sa
587725039022768172,190.49659876,-3.5834198,11.135434,Sa
587725039027224738,200.68544292,-3.53848592,12.744231,Sa
587725039557410957,185.36091464,-3.21978316,15.544539,Sa
587725039561277607,194.25245428,-3.17256384,11.660709,Sb
587725039561474253,194.77094417,-3.14576093,13.713678,Sa
587725039562981562,198.20199294,-3.14129741,9.905888,Sa
587725039563309264,198.97218943,-3.24808737,9.329988,Sc
587725040089235580,173.82650884,-2.77406186,14.68623,Sa
587725040089235606,173.88568916,-2.70873235,12.672475,Sa
587725040095330473,187.82243216,-2.73824843,7.98115,Sb
587725040625844391,173.35586565,-2.38095781,17.225199,Sc
587725040626237583,174.20400175,-2.24652307,16.969732,Sa
587725040627155041,176.24515562,-2.39650012,12.25459,Sa
587725040628662374,179.67913849,-2.39469897,7.192432,Sa
587725041163436170,174.94288989,-1.87526458,13.288157,Sa
587725041164419138,177.21002127,-2.03223614,31.401159,Sc
587725041165271214,179.13220135,-1.88501436,11.690358,Sa
587725041168613569,186.80999002,-2.0371564,17.802586,Sa
587725041700634635,175.6488301,-1.54417401,9.130781,Sa
587725074994626800,145.14600125,0.07022481,10.66393,Sa
