objid,ra,dec,petroR90_g,hubble
587722981750014126,202.73578379,-1.15253501,11.228204,SBa
587722981752438860,208.22692428,-1.11461639,44.105026,SBa
587722982280724639,188.63142788,-0.76511714,13.093633,SBb
587722982282035453,191.68011227,-0.7103474,12.225821,SBa
587722982290686153,211.3552463,-0.81134372,13.066448,SBa
587722982291538119,213.302863,-0.75219055,9.074111,SBb
587722982295470273,222.23498477,-0.72718631,10.884791,SBa
587722982298484915,229.12461398,-0.65648757,11.360975,SBa
587722982300058102,232.82639186,-0.71539577,9.050727,SBa
587722982820085889,194.30862799,-0.32953973,9.48743,SBa
587722982822379684,199.4982348,-0.29533663,15.150682,SBb
587722982827163823,210.41871851,-0.3954838,11.455392,SBa
587722982827622551,211.50593527,-0.31055397,18.796543,SBb
587722982830113139,217.29079067,-0.351682,14.594813,SBa
587722982832668754,223.04597024,-0.25610106,14.310637,SBa
587722982833062291,224.02348138,-0.26188738,9.352686,SBa
587722982835290632,229.09723333,-0.28106772,8.919491,SBb
587722983358333168,197.42192135,0.0103523,6.917675,SBa
587722983361609774,204.91911923,0.04017027,10.046169,SBc
587722983363248237,208.68604607,0.11512119,19.268953,SBa
587722983365738669,214.34239088,0.02369384,15.324406,SBb
587722983366262983,215.59878341,0.18229696,14.933126,SBb
587722983370981660,226.2977941,0.11729289,9.20271,SBc
587722983371506052,227.56457132,0.04029495,10.939178,SBb
587722983371899178,228.41747141,0.16041694,6.594308,SBa
587722983372292306,229.36384731,0.11940809,12.399167,SBa
587722983374324164,234.03494114,0.09205537,9.973962,SBa
587722983374913992,235.39147793,0.18050738,11.061775,SBa
587722983892648021,191.58247338,0.58030142,10.932428,SBc
587722983898349836,204.66556314,0.54583913,16.998373,SBa
587722983898743007,205.56048145,0.47190355,9.048543,SBa
587722983899660407,207.5823298,0.54810078,8.226258,SBa
587722983902544078,214.25699075,0.47706888,15.083599,SBa
587722983904575550,218.83216762,0.47572807,7.224259,SBa
587722983908311395,227.37275621,0.44800555,8.335443,SBa
587722984429060253,190.60696834,0.94687177,12.802462,SBa
587722984429387955,191.36213295,1.00239438,9.529826,SBa
587722984433516760,200.81627632,1.00627641,9.645341,SBa
587722984433582198,200.84093369,0.92201611,5.57048,SBb
587722984438300866,211.61998146,0.8701023,8.589002,SBb
587722984440529128,216.83485001,1.02586407,28.863043,SBa
